region,balance
V6_R,3.129580089849466
V2_R,1.801992114329063
V3_R,2.1357691750154286
V4_R,3.4781335169715786
V8_R,3.822230501162273
4_R,0.3738002637603725
3b_R,0.43757695126364426
FEF_R,1.8892820447185448
PEF_R,0.7942318361897597
55b_R,0.3436049696273958
V3A_R,2.568180082982577
RSC_R,-0.06305164501406957
POS2_R,1.454400125806253
V7_R,3.047586293517953
IPS1_R,2.420379730710876
FFC_R,1.5113992300728396
V3B_R,3.8307621312380427
LO1_R,5.685345609442181
LO2_R,4.5044370018021125
PIT_R,3.115510706860583
MT_R,4.329579622305407
A1_R,0.006290645267908356
PSL_R,-0.6620103147725835
SFL_R,-1.0886013435257962
PCV_R,-0.3060175463730877
STV_R,-0.8930521509385148
7Pm_R,1.7509721949257584
7m_R,1.71371690451266
