region,categorization
FOP2_L,-0.32650127498169496
PFt_L,-0.8163620945641726
AIP_L,1.402485471960391
EC_L,0.2094905977760226
PreS_L,-0.649525071432159
H_L,-0.9328737916988564
ProS_L,-0.42972924532009754
PeEc_L,-0.1036787413596783
STGa_L,-1.1907575454611334
PBelt_L,6.6449655738358295
A5_L,2.7065310681677937
PHA1_L,-0.1959004575331458
PHA3_L,0.8991607794686509
STSda_L,0.9040195943165175
STSdp_L,5.822931621925881
STSvp_L,1.6842842213585145
TGd_L,-0.7244174979587719
TE1a_L,-0.32232364282190945
TE1p_L,-0.0692756291628681
TE2a_L,-0.48505695983959174
TF_L,-0.031346183414667016
TE2p_L,1.4894705342762584
PHT_L,0.8355406395875609
PH_L,1.2171423152457033
TPOJ1_L,2.7177015163017977
TPOJ2_L,-0.5195192644729034
TPOJ3_L,-0.8675763666413431
DVT_L,0.8943310624799573
PGp_L,0.4114357396629024
IP2_L,2.4057223647166093
IP1_L,2.2280001434944765
IP0_L,1.4804787238252135
PFop_L,-0.6970992677517954
PF_L,0.14492091048389746
PFm_L,0.49876969827819784
PGi_L,-0.5367945476914554
PGs_L,0.09834819122476435
V6A_L,0.6030674145367229
VMV1_L,-0.015299224283829058
VMV3_L,3.118189827726813
PHA2_L,0.4058631811048635
V4t_L,1.2477726818310477
FST_L,-0.2982479522946019
V3CD_L,1.161381433029402
LO3_L,-0.30609185211560597
VMV2_L,1.171233542012308
31pd_L,-1.2375653057249776
31a_L,-1.678744836638531
VVC_L,5.086395905966309
25_L,-2.929581299116149
s32_L,-2.3112854203685194
pOFC_L,-1.5576430546585867
PoI1_L,-0.22308120751156846
Ig_L,-0.4317026968248407
FOP5_L,-0.4098081721756579
p10p_L,-1.279098528464355
p47r_L,-0.6660234040040485
TGv_L,-0.3730494581900724
MBelt_L,2.6942947790289056
LBelt_L,6.919645802586234
A4_L,2.5875991642081764
STSva_L,-0.47629127648093206
TE1m_L,-0.20559459669665917
PI_L,-0.8761009499681864
a32pr_L,-1.8491347050506408
p24_L,-2.763980520281886
V1_R,0.1757717762026233
MST_R,5.258424190088236
V6_R,0.518569812127545
V2_R,0.5985252198018293
V3_R,1.7350522063341411
V4_R,4.043017125509412
V8_R,4.404179482943224
4_R,-0.5851915553915298
3b_R,-0.31622438971622274
FEF_R,0.8101617376596613
PEF_R,0.34466423961224807
55b_R,0.3237814839680869
V3A_R,-0.4129334153741997
RSC_R,-1.6390649069974093
POS2_R,0.18116437851390785
V7_R,1.241409912996082
IPS1_R,1.8556834248605132
FFC_R,10.379008896064743
V3B_R,2.248392446965983
LO1_R,1.914967074845434
LO2_R,3.962301692340837
PIT_R,5.453582562283371
MT_R,2.5455894474982697
A1_R,4.659158754548405
PSL_R,-0.2978984225533418
SFL_R,-1.342355130531913
PCV_R,-0.33548945052415735
STV_R,0.9676089745784863
7Pm_R,1.2947011560324038
7m_R,-0.5771735624063113
POS1_R,-0.4728405936075857
23d_R,-1.8717849114721137
v23ab_R,-1.1085929964837589
d23ab_R,-0.9876254586618665
31pv_R,-1.0484379583704666
5m_R,-1.4654877738470953
5mv_R,-1.1428840984264443
23c_R,-1.4667416487337714
5L_R,0.011742678156202929
24dd_R,-1.2304721137337304
24dv_R,-0.9400743151279363
7AL_R,0.3898743868588123
SCEF_R,-0.39887696496056935
6ma_R,-1.0077089135825703
7Am_R,0.2870244583271003
7Pl_R,-0.08424979867173164
7PC_R,0.8068770871383625
LIPv_R,2.2244600624002477
VIP_R,0.40135785810059244
MIP_R,1.2709424464733279
1_R,-0.34494183719355315
