region,speech perception
AAIC_R,-0.9277491726839774
FOP1_R,-0.030472272860357745
FOP3_R,-0.7605800678110048
FOP2_R,-0.2458536080296585
PFt_R,-0.5893176530666772
AIP_R,-1.3938938219139865
EC_R,-0.7595448954028279
PreS_R,-0.8469061534591569
H_R,-0.869620764135315
ProS_R,-0.4464570892214291
PeEc_R,-0.864021021370142
STGa_R,1.8109021948235986
PBelt_R,3.320235873573957
A5_R,7.73670434510519
PHA1_R,-0.6330838508306053
PHA3_R,-0.48390405697079386
STSda_R,5.040450998165319
STSdp_R,8.566149931008791
STSvp_R,8.029892784053084
TGd_R,-0.47586593183407905
TE1a_R,1.0887349461252613
TE1p_R,1.5411037617343912
TE2a_R,-0.3193637737198874
TF_R,-0.627510206445744
TE2p_R,-0.1739419047895697
PHT_R,0.12043463885746156
PH_R,0.20387701290620602
TPOJ1_R,2.939926044689871
TPOJ2_R,-0.3226811169076724
TPOJ3_R,-0.11240034795187996
DVT_R,-0.9035489211586282
PGp_R,-0.8267702289320055
IP2_R,-1.3777845135385454
IP1_R,-1.438389299414603
IP0_R,-0.6776182011363606
PFop_R,0.13883109328591592
PF_R,-0.16859939813530053
PFm_R,-0.7059510007660538
PGi_R,-0.47252370154795875
PGs_R,-0.6718287905069975
V6A_R,-1.097953415758598
VMV1_R,-0.7788489403255112
VMV3_R,-0.6903748749119974
PHA2_R,-0.7584294160966613
V4t_R,0.979547115646307
FST_R,-0.05008585583692176
V3CD_R,-0.8177789473282864
LO3_R,-0.9561947262265791
VMV2_R,-0.9221313113729727
31pd_R,-1.0311127429767784
31a_R,-0.8311434046956256
VVC_R,-0.5509832308714915
25_R,-1.3998485584202278
s32_R,-1.1482574295622057
pOFC_R,-1.2594359169099345
PoI1_R,-0.5966229077926533
Ig_R,-0.17579803732367097
FOP5_R,-0.41294772006642866
p10p_R,-1.144925188927397
p47r_R,-1.0806487142770602
TGv_R,-0.5533087242833378
MBelt_R,3.3916326676475888
LBelt_R,3.873047970710412
A4_R,3.5225519722145435
STSva_R,4.5026765700329925
TE1m_R,2.3684037643212568
PI_R,0.09557190082499564
a32pr_R,-1.392463932374543
p24_R,-1.448419805180965
