region,addiction
p47r_L,-1.3031179833484834
TGv_L,0.5070746257664123
MBelt_L,0.5483513844834369
LBelt_L,-1.2505909642008441
A4_L,-1.634735099627378
STSva_L,-2.0465187910938747
TE1m_L,-1.3992158874723648
PI_L,0.44490252163597316
a32pr_L,1.6323520672155851
p24_L,6.417612036860415
V1_R,-0.4393952885676622
MST_R,-1.9325371916123502
V6_R,0.5622275260703699
V2_R,-0.2618607868762297
V3_R,-0.4613667829182495
V4_R,-1.164267216311467
V8_R,-1.5497951535586838
4_R,-1.0060614494940394
3b_R,-1.0169688521068199
FEF_R,-1.092462373271691
PEF_R,-1.4796693955815752
55b_R,-1.2289332108962001
V3A_R,-0.3648162410886816
RSC_R,2.897971861135031
POS2_R,-0.13225910288723594
V7_R,-1.337645817128496
IPS1_R,-1.6870694543263407
FFC_R,-1.4824015998131728
V3B_R,-0.3972445994850238
LO1_R,-1.553484790972953
LO2_R,-1.8295845710850005
PIT_R,-1.424906440016512
MT_R,-2.113613092595648
A1_R,-0.5248928478984705
PSL_R,-1.570418587687528
SFL_R,-0.6883352921970407
PCV_R,-0.15042475510488246
STV_R,-1.8296193036540842
7Pm_R,-0.9911867098845193
7m_R,-0.7285460886131431
POS1_R,0.36488564834401477
23d_R,2.1704412206880175
v23ab_R,1.7426126305729093
d23ab_R,3.0036442089674016
31pv_R,3.4826797523297017
5m_R,-0.3871456117211005
5mv_R,0.14605721430116522
23c_R,1.6071764478295052
5L_R,-0.0304743277555907
24dd_R,0.35142377960407395
24dv_R,2.600319838124151
7AL_R,-0.7729466419459345
SCEF_R,-0.17080119202999375
6ma_R,-0.6653852389594699
7Am_R,-0.6854197332903604
7Pl_R,-1.5885710790179637
7PC_R,-0.7447168547412055
LIPv_R,-1.902203376158359
VIP_R,-1.4116614392938973
MIP_R,-1.932720954994573
1_R,-0.8461601169815722
2_R,-1.2138430866728576
3a_R,-1.0622866343093231
6d_R,-1.2431596939832743
6mp_R,-1.3436816187293894
6v_R,-1.3936657149880585
p24pr_R,2.9105369810631823
33pr_R,3.7800202481574616
a24pr_R,2.7102370806697276
p32pr_R,0.7294715958867307
a24_R,3.4762023624716
d32_R,1.9657931303043827
8BM_R,-0.6169169306466405
p32_R,2.2473849442456637
10r_R,2.1389201502276274
47m_R,0.7052934870872464
8Av_R,-1.4519595929953695
8Ad_R,0.1704903492223227
9m_R,0.1579328098314147
8BL_R,-0.97483386224293
9p_R,-0.0288801055063303
10d_R,0.12373263016143991
8C_R,-1.5735508189678271
44_R,-1.530270313723658
45_R,-1.1439450446114168
47l_R,0.32267678990844956
a47r_R,1.0119886712388366
6r_R,-1.4207292966146665
IFJa_R,-1.8077452279946378
IFJp_R,-1.7566919451147998
IFSp_R,-1.5482612591455143
IFSa_R,-0.573042159647208
p9-46v_R,-0.7493627184853341
46_R,0.09407608364596888
a9-46v_R,0.2970139462072168
9-46d_R,0.4230611226594346
9a_R,0.026124700220525293
10v_R,1.4325543815469812
a10p_R,0.8575734352588401
10pp_R,1.2950883062796323
11l_R,0.8497293843473189
13l_R,1.1326999818793795
OFC_R,1.101106944777448
47s_R,0.9782562756187403
LIPd_R,-2.313784941734113
6a_R,-1.004332060486013
i6-8_R,-0.37993933781625233
s6-8_R,-0.8363626195515806
43_R,-0.07001400586491925
OP4_R,-0.7275864034825382
OP1_R,0.6306826143189422
OP2-3_R,1.4648431441909524
52_R,0.09673945606830962
RI_R,-1.8531588169210207
PFcm_R,-1.508934570558656
PoI2_R,2.5312904965528222
TA2_R,0.6553329958116876
