region,response selection
V6_R,0.01245782453669667
V2_R,-1.2078469317424023
V3_R,-0.7683682912175936
V4_R,-0.46198538638961323
V8_R,-1.0239673241388083
4_R,1.6493948754453378
3b_R,1.0618576891222287
FEF_R,2.349798846627116
PEF_R,2.676791004616236
55b_R,1.5364449936277536
V3A_R,-0.7051542041983901
RSC_R,-1.2662973759655503
POS2_R,0.5475176009419026
V7_R,0.8920290496429302
IPS1_R,2.635585110016
FFC_R,-1.3883072068642068
V3B_R,0.6946569317559084
LO1_R,-0.6677021908523523
LO2_R,-1.0881065225096274
PIT_R,-0.8933770019225882
MT_R,-1.7816283177458203
A1_R,-2.5180968538659547
PSL_R,0.3216381241279624
SFL_R,1.3443481644642656
PCV_R,-0.17406451687879762
STV_R,-0.04547191498706853
7Pm_R,1.9534037656401446
