region,insight
V6_R,0.9996806670944642
V2_R,0.017321352442037863
V3_R,-0.41343282089085803
V4_R,-1.0010389458698212
V8_R,-2.385913477097365
4_R,-1.0974374730406002
3b_R,-0.8878180877494705
FEF_R,-0.6568347818942717
PEF_R,-1.1421167073415794
55b_R,-0.846378669743734
V3A_R,-0.10593698354015015
RSC_R,1.0249724177215174
POS2_R,2.9883081455977893
V7_R,-0.46993019811754966
IPS1_R,-0.4432614389840951
FFC_R,-0.8883021829843569
V3B_R,-0.32741694915419545
LO1_R,-0.7193063961538425
LO2_R,-1.3955047663838676
PIT_R,-0.6220131412508287
MT_R,-0.12487733948896254
A1_R,3.0338549266790187
PSL_R,-0.3837862390461885
SFL_R,-0.8357414718617796
PCV_R,0.978530358848013
STV_R,-0.2403034689993892
