region,coordination
V6_R,-0.9415502396174844
V2_R,-1.411508001818062
V3_R,-0.9619774722688451
V4_R,-1.3917995285990519
V8_R,-1.7483294387105572
4_R,6.711487488107379
3b_R,7.1882479453675945
FEF_R,4.785307364693863
PEF_R,1.9829194872574623
55b_R,2.4015190369443054
V3A_R,-0.18616647658993715
RSC_R,-1.4149380760334958
POS2_R,-0.6262507348085361
V7_R,-0.5969411063067646
IPS1_R,-0.10678015756046275
FFC_R,-1.1433973361569119
V3B_R,-1.0081323513184144
LO1_R,0.17507555966944396
LO2_R,0.14813789788299173
PIT_R,-0.4998971701885489
MT_R,-0.958090728353999
A1_R,0.029139192008411745
PSL_R,0.7839058257014321
SFL_R,0.44084354201856635
PCV_R,-0.7236416500903008
STV_R,-0.8624171187730683
