region,induction
V6_R,-0.12525411587468852
V2_R,0.49979282938982755
V3_R,0.11832121170771391
V4_R,-0.9933754210913515
V8_R,-2.0317680290864306
4_R,-0.320810454548299
3b_R,-0.006309579080627211
FEF_R,-0.5524515632849245
PEF_R,-1.0551478434637684
55b_R,-0.5438891210551656
V3A_R,0.4928677993685779
RSC_R,2.297525460843618
POS2_R,2.6436945732999413
V7_R,-1.1113189153979466
IPS1_R,-2.101103406856613
FFC_R,-1.4520845777613587
V3B_R,-1.158195772974115
LO1_R,-0.6033850462072139
LO2_R,-1.4475459740981562
PIT_R,-1.8490751922775668
MT_R,0.356335279400828
A1_R,0.7645576558764747
PSL_R,0.5236600144010723
SFL_R,-0.5568456872835629
PCV_R,0.2899450680512148
STV_R,-0.29000800844720037
7Pm_R,0.2143928337518395
