region,fa
a47r_R,0.1427744290661791
6r_R,0.1489552036715278
IFJa_R,0.1434904727037892
IFJp_R,0.1449375895579548
IFSp_R,0.1409188516745392
IFSa_R,0.1415042719183876
p9-46v_R,0.1438233195848958
46_R,0.1381087484396127
a9-46v_R,0.1406643202077959
9-46d_R,0.13660979957061
9a_R,0.1398043433537619
10v_R,0.147179336376745
a10p_R,0.1368959121079138
10pp_R,0.1445458451678082
11l_R,0.1457706636466424
13l_R,0.1471267389463609
OFC_R,0.161570779198309
47s_R,0.1662222217105949
LIPd_R,0.137731719252109
6a_R,0.1382062958867674
i6-8_R,0.1408158265257644
s6-8_R,0.147906312891159
43_R,0.153892196212021
OP4_R,0.1532610035588613
OP1_R,0.1538570440363264
OP2-3_R,0.1496075946996064
52_R,0.1346290616238436
RI_R,0.1352591693439612
PFcm_R,0.1488333585961579
PoI2_R,0.1760738243818442
TA2_R,0.1427228605909676
FOP4_R,0.1480020035496413
MI_R,0.1635272289131556
Pir_R,0.1836253181221635
AVI_R,0.1606400403228098
AAIC_R,0.1819159089442926
FOP1_R,0.1579072239652966
FOP3_R,0.1468913818330723
FOP2_R,0.1473435479575737
PFt_R,0.1346461659847277
AIP_R,0.1375409481032328
EC_R,0.1665178326265959
PreS_R,0.1701636275934728
H_R,0.1490692247489194
ProS_R,0.1583101791411768
PeEc_R,0.1560083404236661
STGa_R,0.1589915320179805
PBelt_R,0.1340102631436423
A5_R,0.1485544542692209
PHA1_R,0.1630561263505669
PHA3_R,0.1421435560064772
STSda_R,0.1454232160263819
STSdp_R,0.140616229732481
STSvp_R,0.1402283984394538
TGd_R,0.1590983576378076
TE1a_R,0.1498917121478633
TE1p_R,0.1443330828518435
TE2a_R,0.1480022331706173
TF_R,0.1513573279015454
TE2p_R,0.1470873000603325
PHT_R,0.1428101888086151
PH_R,0.142821249991822
TPOJ1_R,0.1432375592369299
TPOJ2_R,0.14330810482812
TPOJ3_R,0.1410800322630272
DVT_R,0.1402215350682479
PGp_R,0.1458104611266462
IP2_R,0.1335306160922516
IP1_R,0.1354548166667889
IP0_R,0.1316034976889925
PFop_R,0.1488190598944535
PF_R,0.1460628807365736
PFm_R,0.1439947148341512
PGi_R,0.1437310380819512
PGs_R,0.1461281510769602
V6A_R,0.1421073408361436
VMV1_R,0.1475766825307718
VMV3_R,0.1430627893167202
PHA2_R,0.1427250245479067
V4t_R,0.1411475041377803
FST_R,0.1416320849639722
V3CD_R,0.1380722054427769
LO3_R,0.1405969975615776
VMV2_R,0.1388812456044775
31pd_R,0.1370076663742265
31a_R,0.1475004898650878
VVC_R,0.1509886349110299
25_R,0.17705384866162
s32_R,0.1516934034032381
pOFC_R,0.1725666212668551
PoI1_R,0.1670681734180883
Ig_R,0.1583715402095525
FOP5_R,0.1493047032423989
p10p_R,0.1375823080396235
p47r_R,0.1442075309111248
TGv_R,0.1617746270547768
MBelt_R,0.1343514345398849
LBelt_R,0.1311246092581704
A4_R,0.1463979582733069
STSva_R,0.1368083953922905
TE1m_R,0.1460514214856103
PI_R,0.134974717525484
a32pr_R,0.1369651953590344
p24_R,0.1532920381368659
