region,odi-limited
PFcm_L,0.3473282907573864
PoI2_L,0.3189793472997749
TA2_L,0.3461687236749942
FOP4_L,0.3420513375119233
MI_L,0.3214282005133931
Pir_L,0.2989059349811451
AVI_L,0.3376015333348483
AAIC_L,0.295321748853809
FOP1_L,0.3290883662599865
FOP3_L,0.3516606471239645
FOP2_L,0.3588189202206732
PFt_L,0.362681150628967
AIP_L,0.3713380257300903
EC_L,0.3745424167866685
PreS_L,0.3418554650743849
H_L,0.3878274337904797
ProS_L,0.3654712321889732
PeEc_L,0.3888951949978271
STGa_L,0.313801041708342
PBelt_L,0.4068770230528117
A5_L,0.343586802403681
PHA1_L,0.3628115187331296
PHA3_L,0.3781018048537271
STSda_L,0.3565768477021188
STSdp_L,0.3654138814540054
STSvp_L,0.3636392095678399
TGd_L,0.343603675720475
TE1a_L,0.3464658949165943
TE1p_L,0.3499000353779002
TE2a_L,0.3728444225859351
TF_L,0.3875184597293216
TE2p_L,0.3694103635442939
PHT_L,0.347393058486182
PH_L,0.357060181159396
TPOJ1_L,0.3540929604819285
TPOJ2_L,0.3572070525686866
TPOJ3_L,0.3587938521684817
DVT_L,0.3644121703728297
PGp_L,0.3357733404248417
IP2_L,0.3685853318787905
IP1_L,0.364742300233193
IP0_L,0.355183431004778
PFop_L,0.3404202471067575
PF_L,0.3353863835532264
PFm_L,0.3443611463541113
PGi_L,0.3470004129432654
PGs_L,0.3401590845759082
V6A_L,0.360589523972368
VMV1_L,0.3921790891838324
VMV3_L,0.3740709125449389
PHA2_L,0.3776024273129696
V4t_L,0.3636336076210381
FST_L,0.3600743127130791
V3CD_L,0.3525051383949297
LO3_L,0.3585750197420786
VMV2_L,0.3840258589607208
31pd_L,0.3691555292975124
31a_L,0.3557223962700146
VVC_L,0.3750060134325207
25_L,0.4109731554202342
s32_L,0.4041094745150616
pOFC_L,0.3916926001284797
PoI1_L,0.3346804524772536
Ig_L,0.3622210777513838
FOP5_L,0.3578800065371163
p10p_L,0.3485959966105457
p47r_L,0.3436288006591247
TGv_L,0.379704422505818
MBelt_L,0.3988562342162114
LBelt_L,0.4209627493662052
A4_L,0.3648833813209304
STSva_L,0.3767925983407332
TE1m_L,0.3528271313989076
PI_L,0.3621517700246514
a32pr_L,0.3519706243386125
p24_L,0.3337621198619519
V1_R,0.4027897284581043
MST_R,0.3795699917269388
V6_R,0.3807950209537505
V2_R,0.3924706140703316
V3_R,0.3839106360852457
V4_R,0.3752965732906145
V8_R,0.3666733004571058
4_R,0.3766284865905639
3b_R,0.4160820205644707
FEF_R,0.3802997347049734
PEF_R,0.3775135739776439
55b_R,0.3682289023975158
V3A_R,0.3724023370310411
RSC_R,0.3554330772262986
POS2_R,0.3701710187404782
V7_R,0.3668731907327915
IPS1_R,0.3773191029135261
FFC_R,0.3745700325988252
V3B_R,0.3703267496245925
LO1_R,0.3684660565473844
LO2_R,0.3610958995026612
PIT_R,0.3629344574249485
MT_R,0.3738455078248708
A1_R,0.4194033370459609
PSL_R,0.3349426683925197
SFL_R,0.3563790549950772
PCV_R,0.3594675237433608
STV_R,0.3473494224048835
7Pm_R,0.3559775663061766
7m_R,0.357193301553968
POS1_R,0.3543245789012348
23d_R,0.363587188356031
v23ab_R,0.3590390635985773
d23ab_R,0.356318737547835
31pv_R,0.3714710988504398
5m_R,0.3938307423011293
5mv_R,0.3800914079341604
23c_R,0.3758747794764393
5L_R,0.3796633852761759
24dd_R,0.3736762870082005
24dv_R,0.379274290800083
7AL_R,0.3735271565213854
SCEF_R,0.3655275161981223
6ma_R,0.3739967279021957
7Am_R,0.3585775368517392
7Pl_R,0.3590831596832208
7PC_R,0.3772150300369181
LIPv_R,0.3804712554189133
VIP_R,0.3694267132760355
MIP_R,0.3673951143885383
1_R,0.39631367941022
2_R,0.3926901946389699
3a_R,0.4154402699235223
6d_R,0.3900065164684186
6mp_R,0.3873217589591213
6v_R,0.3433342548683791
p24pr_R,0.3542374711552621
33pr_R,0.3344652459375566
a24pr_R,0.3596291186163532
p32pr_R,0.3794526659027933
a24_R,0.3451597517520146
d32_R,0.338904482350247
8BM_R,0.345188766120902
p32_R,0.3471482771775209
10r_R,0.379101770478907
47m_R,0.3765676335430818
8Av_R,0.372402877415877
8Ad_R,0.3758340623972468
9m_R,0.3243647989456447
8BL_R,0.3520508221162027
9p_R,0.3518800524285931
10d_R,0.3409970348197279
8C_R,0.3711082853924899
44_R,0.3369042795235032
45_R,0.3471878099640031
47l_R,0.3452291205184398
a47r_R,0.3534415577888657
6r_R,0.3422507743115518
IFJa_R,0.3776054865204081
IFJp_R,0.3716900664389784
