region,qiv
10r_L,1.1870838295053554e-09
47m_L,1.1706923875068562e-09
8Av_L,1.1666307322496451e-09
8Ad_L,1.227480234848217e-09
9m_L,1.220097610893778e-09
8BL_L,1.1676975901961308e-09
9p_L,1.2495660875339306e-09
10d_L,1.2724991649048422e-09
8C_L,1.163047203795359e-09
44_L,1.1811375946759767e-09
45_L,1.1617040741192734e-09
47l_L,1.209561972747677e-09
a47r_L,1.2640058161476243e-09
6r_L,1.217396939108372e-09
IFJa_L,1.173979983196044e-09
IFJp_L,1.2025211111139514e-09
IFSp_L,1.1910802202384908e-09
IFSa_L,1.2326697497457691e-09
p9-46v_L,1.1913986338796635e-09
46_L,1.2432666539320371e-09
a9-46v_L,1.2670795843299591e-09
9-46d_L,1.2745069726460246e-09
9a_L,1.277940733755319e-09
10v_L,1.1296512528574178e-09
a10p_L,1.318731884399256e-09
10pp_L,1.2204682402881374e-09
11l_L,1.2022311327467295e-09
13l_L,1.0640133194416471e-09
OFC_L,9.015214513316383e-10
47s_L,1.1891847871210935e-09
LIPd_L,1.1564663232230387e-09
6a_L,1.176381282719886e-09
i6-8_L,1.158112889907787e-09
s6-8_L,1.1650227642579915e-09
43_L,1.1720652189377974e-09
OP4_L,1.1444271832298243e-09
OP1_L,1.0896981029139008e-09
OP2-3_L,1.0781491511788192e-09
52_L,1.2100404011022215e-09
RI_L,1.1206337590658603e-09
PFcm_L,1.127066511259928e-09
PoI2_L,1.2392006705657443e-09
TA2_L,1.2087280246020852e-09
FOP4_L,1.1838135257399695e-09
MI_L,1.2648290784594254e-09
Pir_L,1.1334524494603846e-09
AVI_L,1.209562506651835e-09
AAIC_L,1.2524277857596787e-09
FOP1_L,1.1516217268480176e-09
FOP3_L,1.1952603239175415e-09
FOP2_L,1.1369949998462864e-09
PFt_L,1.1717450257194096e-09
AIP_L,1.1466920830066424e-09
EC_L,1.0511864643249044e-09
PreS_L,1.037120657720017e-09
H_L,1.202560878353173e-09
ProS_L,1.0749584767772543e-09
PeEc_L,1.0867548843054795e-09
STGa_L,1.2647739871245694e-09
PBelt_L,1.1545975030121486e-09
A5_L,1.16424041893742e-09
PHA1_L,1.0985667221008422e-09
PHA3_L,1.0881066057362292e-09
STSda_L,1.1967962851117576e-09
STSdp_L,1.1526061046850296e-09
STSvp_L,1.2057740458527572e-09
TGd_L,1.212208049323997e-09
TE1a_L,1.219175013034693e-09
TE1p_L,1.158313376762156e-09
TE2a_L,1.1356519910473276e-09
TF_L,1.0404263092465042e-09
TE2p_L,1.0770428567577495e-09
PHT_L,1.1506586338739947e-09
PH_L,1.1270640271368311e-09
TPOJ1_L,1.128442255615788e-09
TPOJ2_L,1.1452159034606092e-09
TPOJ3_L,1.155702357457237e-09
DVT_L,1.096056738692407e-09
PGp_L,1.137479744467833e-09
IP2_L,1.1491797452697363e-09
IP1_L,1.1338182079874214e-09
IP0_L,1.1110829777864664e-09
PFop_L,1.1831112362429634e-09
PF_L,1.1589254940562872e-09
PFm_L,1.1402885272198214e-09
PGi_L,1.1507373015002336e-09
PGs_L,1.1418224384372271e-09
V6A_L,1.096410168124827e-09
VMV1_L,1.027977089787119e-09
VMV3_L,1.0483565305660696e-09
PHA2_L,1.102765654838973e-09
V4t_L,1.0942054132018531e-09
FST_L,1.1304300111860627e-09
V3CD_L,1.1071052906773207e-09
LO3_L,1.1090328759553836e-09
VMV2_L,1.0571246237202788e-09
31pd_L,1.1247531466477702e-09
31a_L,1.1279838046706663e-09
VVC_L,1.028509288300821e-09
25_L,1.041968835606283e-09
s32_L,1.0954500425578515e-09
pOFC_L,1.0281078931987186e-09
PoI1_L,1.2216280537357818e-09
Ig_L,1.137366062097466e-09
FOP5_L,1.141388528574362e-09
p10p_L,1.293136461904628e-09
p47r_L,1.261296726888201e-09
TGv_L,1.098368257403149e-09
MBelt_L,1.1083157898531879e-09
LBelt_L,1.1287274271616147e-09
A4_L,1.1540834308152415e-09
STSva_L,1.2381144972111678e-09
TE1m_L,1.1845753974813974e-09
PI_L,1.252975120244683e-09
a32pr_L,1.2358335731555042e-09
p24_L,1.3150431176718847e-09
V1_R,1.0770811265640971e-09
MST_R,1.1075688420431236e-09
V6_R,1.1510669731570876e-09
V2_R,1.083467191673694e-09
V3_R,1.07362368363761e-09
V4_R,1.0736279895514976e-09
V8_R,1.0648640174549374e-09
4_R,1.0133193128269667e-09
3b_R,1.1380026238684194e-09
FEF_R,1.105690196153267e-09
PEF_R,1.177392660212999e-09
55b_R,1.103190583295488e-09
V3A_R,1.0733947823009143e-09
RSC_R,1.0003511721700583e-09
POS2_R,1.0891391482900592e-09
V7_R,1.0752159009576171e-09
IPS1_R,1.1069598842737082e-09
FFC_R,1.058613644068611e-09
V3B_R,1.1334128848680974e-09
LO1_R,1.0923462611721918e-09
LO2_R,1.0673829002971282e-09
PIT_R,1.0568025119102782e-09
MT_R,1.1007932659504903e-09
A1_R,1.110194933771839e-09
PSL_R,1.1462669395499755e-09
SFL_R,1.1202896504774951e-09
PCV_R,1.1331949543155067e-09
STV_R,1.1227932784965204e-09
7Pm_R,1.1380746643297403e-09
7m_R,1.1382259083808832e-09
POS1_R,1.0487443696046646e-09
23d_R,1.1631325028944072e-09
v23ab_R,1.0862034275676963e-09
d23ab_R,1.1003731862207288e-09
31pv_R,1.1376463573573743e-09
5m_R,1.0353206314853283e-09
5mv_R,1.1430296462537195e-09
23c_R,1.174416515572445e-09
5L_R,1.083873462623872e-09
24dd_R,1.104903653927264e-09
24dv_R,1.1764016264087127e-09
7AL_R,1.0874169674035718e-09
SCEF_R,1.133173488318894e-09
6ma_R,1.097442801899888e-09
7Am_R,1.1129346146975402e-09
7Pl_R,1.0896361202607448e-09
7PC_R,1.0743694753529023e-09
LIPv_R,1.0704763890881062e-09
VIP_R,1.0707820070379663e-09
MIP_R,1.0875639354103254e-09
1_R,1.0472108701167815e-09
2_R,1.0775477724926342e-09
3a_R,1.1408576840126775e-09
6d_R,1.0878714349784203e-09
6mp_R,1.0966979681188312e-09
6v_R,1.1286287413852442e-09
p24pr_R,1.235494672728181e-09
33pr_R,1.1859140013909027e-09
a24pr_R,1.279564298330199e-09
p32pr_R,1.2193743873111843e-09
a24_R,1.2903034058731559e-09
d32_R,1.2656115410460323e-09
8BM_R,1.1857310807454887e-09
p32_R,1.278601334472118e-09
10r_R,1.2287716550964903e-09
47m_R,1.1428058105689616e-09
8Av_R,1.136049891920679e-09
8Ad_R,1.1870384434751338e-09
9m_R,1.279108220385624e-09
8BL_R,1.1810725586801371e-09
9p_R,1.239132856511097e-09
10d_R,1.3035646019811087e-09
8C_R,1.134556458967813e-09
44_R,1.1659599878297675e-09
45_R,1.1626491324630502e-09
47l_R,1.1746942554200632e-09
a47r_R,1.257730260673975e-09
6r_R,1.199910375519135e-09
IFJa_R,1.1591628610715143e-09
IFJp_R,1.1678960918600263e-09
IFSp_R,1.1832118499541712e-09
IFSa_R,1.2392447872795423e-09
p9-46v_R,1.1839499427116986e-09
46_R,1.2422082234335191e-09
a9-46v_R,1.2561166507435334e-09
9-46d_R,1.2712617960067663e-09
9a_R,1.282496259234111e-09
10v_R,1.192476501315551e-09
a10p_R,1.3024249563589763e-09
10pp_R,1.194922613398169e-09
11l_R,1.1672799117640046e-09
13l_R,1.0276436015361936e-09
OFC_R,9.40133958244074e-10
47s_R,1.1359335270296923e-09
LIPd_R,1.11654580071659e-09
6a_R,1.1466267346458162e-09
i6-8_R,1.1422236576474638e-09
s6-8_R,1.1290140393180502e-09
43_R,1.147417279427695e-09
OP4_R,1.1390611763690707e-09
OP1_R,1.0986794889717444e-09
OP2-3_R,1.1053421281978623e-09
52_R,1.213785500014764e-09
RI_R,1.1429756384586822e-09
PFcm_R,1.115523508845816e-09
PoI2_R,1.1990552008804698e-09
TA2_R,1.2468539155232991e-09
FOP4_R,1.212575367878601e-09
MI_R,1.2379814083562418e-09
Pir_R,1.1392341047170715e-09
AVI_R,1.1779753579402495e-09
AAIC_R,1.2440105379388903e-09
FOP1_R,1.173130474165555e-09
FOP3_R,1.2086782895899416e-09
FOP2_R,1.1755337613721131e-09
PFt_R,1.1532571360062044e-09
AIP_R,1.130005140469744e-09
EC_R,1.04228835388888e-09
PreS_R,1.073099451518332e-09
H_R,1.1902460085269542e-09
ProS_R,1.1003256329682171e-09
PeEc_R,1.0631385373045007e-09
STGa_R,1.2362832035334854e-09
PBelt_R,1.161929541252183e-09
A5_R,1.116515489085643e-09
PHA1_R,1.082497173343818e-09
PHA3_R,1.1071462195421863e-09
STSda_R,1.16728492189879e-09
STSdp_R,1.1456063924936102e-09
STSvp_R,1.203021043239628e-09
TGd_R,1.1896562033127639e-09
TE1a_R,1.1922209820881063e-09
TE1p_R,1.1549659774368019e-09
TE2a_R,1.144884933310821e-09
TF_R,1.0335670759610694e-09
TE2p_R,1.081926912653341e-09
PHT_R,1.1538960594883356e-09
PH_R,1.1182746651266342e-09
TPOJ1_R,1.1355374205958586e-09
TPOJ2_R,1.127173971948351e-09
TPOJ3_R,1.1292812008622674e-09
DVT_R,1.117298814042469e-09
PGp_R,1.1224564122872754e-09
IP2_R,1.146708448042831e-09
IP1_R,1.1288303319654247e-09
IP0_R,1.1464903024405368e-09
PFop_R,1.134231475528613e-09
PF_R,1.118143479248343e-09
PFm_R,1.1152029017300575e-09
PGi_R,1.1301158642426778e-09
PGs_R,1.1104453144497263e-09
V6A_R,1.085850622795287e-09
VMV1_R,1.05149312995705e-09
VMV3_R,1.0940748908471696e-09
PHA2_R,1.092547306877734e-09
V4t_R,1.0901805153096472e-09
FST_R,1.1268727269959518e-09
V3CD_R,1.1089911439539335e-09
LO3_R,1.1080005961255035e-09
VMV2_R,1.0944076547812835e-09
31pd_R,1.1612995599299742e-09
31a_R,1.1295469966211347e-09
VVC_R,1.040357030244185e-09
25_R,1.0897361277417003e-09
s32_R,1.1000268512395835e-09
pOFC_R,1.0277555065584878e-09
PoI1_R,1.1912178394297136e-09
Ig_R,1.1280556578752944e-09
FOP5_R,1.159368455405114e-09
p10p_R,1.2874830471105286e-09
p47r_R,1.2425699776311192e-09
TGv_R,1.0786831089182838e-09
MBelt_R,1.144386742230828e-09
LBelt_R,1.148726464282767e-09
A4_R,1.1336426879006506e-09
STSva_R,1.228774058282486e-09
TE1m_R,1.1817935716427456e-09
PI_R,1.290434002972242e-09
a32pr_R,1.2677639045538979e-09
p24_R,1.3330540450721562e-09
