region,kfa-limited
a9-46v_L,0.344763279700679
9-46d_L,0.3439797769876673
9a_L,0.3479122461493097
10v_L,0.3281380743785596
a10p_L,0.3287230412156139
10pp_L,0.3367950389985669
11l_L,0.3299270590701976
13l_L,0.3029663323225706
OFC_L,0.3342559526899755
47s_L,0.3285802980174761
LIPd_L,0.3468650341619075
6a_L,0.3469272441943025
i6-8_L,0.3493888236923519
s6-8_L,0.3600700459378166
43_L,0.3494713587717173
OP4_L,0.3484564026470516
OP1_L,0.3474680119144739
OP2-3_L,0.34584930412677
52_L,0.3199477622942842
RI_L,0.3388680903310421
PFcm_L,0.3488201702333879
PoI2_L,0.3501335967935958
TA2_L,0.3425498354924422
FOP4_L,0.3418984908438217
MI_L,0.3394958654508018
Pir_L,0.3773273219793163
AVI_L,0.3316857027141383
AAIC_L,0.3580968475950842
FOP1_L,0.3498771140602928
FOP3_L,0.3422950653552474
FOP2_L,0.3427679559493086
PFt_L,0.3458375570706627
AIP_L,0.3494304152334161
EC_L,0.3314542323087909
PreS_L,0.3590844224907144
H_L,0.3201176349723716
ProS_L,0.3617960604730792
PeEc_L,0.3259704873477621
STGa_L,0.364373499319699
PBelt_L,0.3281545503148082
A5_L,0.3503037678133588
PHA1_L,0.3455887396942611
PHA3_L,0.3406950014985919
STSda_L,0.3480879374556767
STSdp_L,0.3504553284743551
STSvp_L,0.3482045636494945
TGd_L,0.3457034153641038
TE1a_L,0.3501630841919014
TE1p_L,0.3547220522423249
TE2a_L,0.3484350087287758
TF_L,0.3334968723994447
TE2p_L,0.3476139879558073
PHT_L,0.3557412572596798
PH_L,0.3604597212029378
TPOJ1_L,0.3548094562568504
TPOJ2_L,0.3538567214510102
TPOJ3_L,0.3544334276555464
DVT_L,0.3572110932179412
PGp_L,0.3601067573271706
IP2_L,0.3538629925396654
IP1_L,0.3561422587928853
IP0_L,0.3650030623938952
PFop_L,0.3452516284460797
PF_L,0.3555606060298987
PFm_L,0.3635291213688251
PGi_L,0.363104466007031
PGs_L,0.3628397323897122
V6A_L,0.3441747510016068
VMV1_L,0.3466464732634221
VMV3_L,0.3605264642662563
PHA2_L,0.3490355894719508
V4t_L,0.3510086159268747
FST_L,0.3574367111991496
V3CD_L,0.3522912529632687
LO3_L,0.3545514381808826
VMV2_L,0.3555151817441888
31pd_L,0.3526576427744623
31a_L,0.3521888093274113
VVC_L,0.3475302190589853
25_L,0.3290606000869079
s32_L,0.3106624420679558
pOFC_L,0.3266948933031999
PoI1_L,0.3456314320487572
Ig_L,0.3358720918148876
FOP5_L,0.3359318906469561
p10p_L,0.3351815676050784
p47r_L,0.3452345761510532
TGv_L,0.3401862055167298
MBelt_L,0.3229189790663665
LBelt_L,0.3235431287609568
A4_L,0.3428957580522682
