region,isovf-limited
VMV3_L,0.0631714584216686
PHA2_L,0.0803820813894836
V4t_L,0.0711352697395747
FST_L,0.0615433896006524
V3CD_L,0.0800128647083129
LO3_L,0.0740921842401147
VMV2_L,0.0779643754122142
31pd_L,0.0623955720182453
31a_L,0.05511074729738
VVC_L,0.0828818033816006
25_L,0.1166817562713455
s32_L,0.1029985916625543
pOFC_L,0.160466250916313
PoI1_L,0.1104995161248397
Ig_L,0.1069550554132085
FOP5_L,0.0880938315002494
p10p_L,0.1239461606802879
p47r_L,0.1042191047403406
TGv_L,0.1267207096136202
MBelt_L,0.1013983167794414
LBelt_L,0.1154172213789235
A4_L,0.091699032403023
STSva_L,0.0829971693136112
TE1m_L,0.0798413191515951
PI_L,0.0888621112276083
a32pr_L,0.0489704143895866
p24_L,0.0586212305843697
V1_R,0.1230659617659003
MST_R,0.0693406616160804
V6_R,0.1193235908363899
V2_R,0.1070303932668121
V3_R,0.0891012236807968
V4_R,0.0744481886539016
V8_R,0.0765371486297723
4_R,0.0882833428523143
3b_R,0.1746374971019763
FEF_R,0.0837598088722465
PEF_R,0.0895793528322165
55b_R,0.076451846457183
V3A_R,0.0905915972944046
RSC_R,0.1188770702296015
POS2_R,0.0953903717802825
V7_R,0.0778587035484433
IPS1_R,0.0682404797597303
FFC_R,0.0641713427551387
V3B_R,0.0753485465716654
LO1_R,0.0697336484674355
LO2_R,0.0585903981495272
PIT_R,0.0598679021961472
MT_R,0.0675889191122189
A1_R,0.1296125823930633
PSL_R,0.066472612179553
SFL_R,0.0815102761438195
PCV_R,0.0977118954914729
STV_R,0.0653614582240536
7Pm_R,0.1006021785250604
7m_R,0.0985192679698838
POS1_R,0.0781262569253002
23d_R,0.1059570215539043
v23ab_R,0.0993158871350545
d23ab_R,0.0860734753739513
31pv_R,0.0797131684824349
5m_R,0.1142515874720422
5mv_R,0.1189925563503152
23c_R,0.0813637488376729
5L_R,0.0974095137853458
24dd_R,0.1148763806260604
24dv_R,0.1040610616006352
7AL_R,0.0824642822956599
SCEF_R,0.1113907001827927
6ma_R,0.0738849755140219
7Am_R,0.0926215266033001
7Pl_R,0.0873320702346178
7PC_R,0.080813108511279
LIPv_R,0.0862869456000798
VIP_R,0.0823208026777272
MIP_R,0.0789959272732467
1_R,0.0892124181425016
2_R,0.0780189472634238
3a_R,0.1267966028049569
6d_R,0.0884856157808515
6mp_R,0.0905597226116331
6v_R,0.0765492719183679
p24pr_R,0.0991953455912834
33pr_R,0.1023972685985543
a24pr_R,0.0955369342981919
p32pr_R,0.0983139921315063
a24_R,0.1007191873986296
d32_R,0.0937674031490472
8BM_R,0.1032923210082623
p32_R,0.1033712261100049
10r_R,0.1289139155069875
47m_R,0.1325442436110199
8Av_R,0.0803695527007442
8Ad_R,0.077227317447418
9m_R,0.0995234081294184
8BL_R,0.079935766848728
9p_R,0.0828886982320093
10d_R,0.1111523552546764
8C_R,0.0735855720947767
44_R,0.0798845978283294
45_R,0.0933222439666759
47l_R,0.1005092879369835
a47r_R,0.1003715227512983
6r_R,0.0824737939624413
IFJa_R,0.0863952214512796
IFJp_R,0.0789526537347076
IFSp_R,0.094379104386017
IFSa_R,0.0962081636645326
p9-46v_R,0.083784501874181
46_R,0.0908225675946975
a9-46v_R,0.0968044562910862
9-46d_R,0.0901725934378444
9a_R,0.0908139340550181
10v_R,0.1480735970468039
a10p_R,0.1004074067657505
10pp_R,0.1305793264922582
11l_R,0.1077007046020357
13l_R,0.1582581524279471
OFC_R,0.1651353585061256
47s_R,0.1149267536535551
LIPd_R,0.0773544200665737
6a_R,0.0781125525272503
i6-8_R,0.090427924992302
s6-8_R,0.0708785735777765
43_R,0.0736339876819954
OP4_R,0.0739414721445463
OP1_R,0.0801311811261424
OP2-3_R,0.0858096724008924
52_R,0.1186022462309519
RI_R,0.1016237494918454
PFcm_R,0.072908732684818
PoI2_R,0.0762798760740992
TA2_R,0.1113628487088467
FOP4_R,0.0915791130415243
MI_R,0.0750987368237425
Pir_R,0.123366509723077
AVI_R,0.0850358014749685
AAIC_R,0.0921688450694503
FOP1_R,0.0919689934898381
FOP3_R,0.0760932861685762
FOP2_R,0.086327699071743
PFt_R,0.0816442865776501
AIP_R,0.078047772435279
EC_R,0.1705479409954921
PreS_R,0.1842930279992366
H_R,0.118308771267783
ProS_R,0.1127038290626027
PeEc_R,0.117730001760075
STGa_R,0.0765146740832199
PBelt_R,0.1067952329421142
A5_R,0.0623613615237724
PHA1_R,0.1038660955566956
PHA3_R,0.0732059152636269
STSda_R,0.0579053902157161
STSdp_R,0.0587696394173777
STSvp_R,0.0673336991172992
TGd_R,0.1149150853315106
TE1a_R,0.0743126189027832
TE1p_R,0.0587036517662818
TE2a_R,0.0936762472451778
TF_R,0.10664812443375
TE2p_R,0.0894470116304352
PHT_R,0.05263697784334
PH_R,0.0468662676529024
TPOJ1_R,0.0591153971926298
TPOJ2_R,0.0607636369093917
TPOJ3_R,0.0603975138240405
DVT_R,0.1076011519353066
PGp_R,0.0585080685719165
IP2_R,0.0864803489408538
IP1_R,0.0841442648174474
IP0_R,0.0937010138570458
PFop_R,0.0646815500538365
PF_R,0.0649124960550569
PFm_R,0.0672086191849123
PGi_R,0.0591359842118996
PGs_R,0.060352766207223
V6A_R,0.0944026529649731
VMV1_R,0.0971908734410397
VMV3_R,0.0824352721313423
PHA2_R,0.0658760810442727
V4t_R,0.0605673948504389
FST_R,0.0527038664853765
V3CD_R,0.068543695711948
LO3_R,0.0664096548401294
VMV2_R,0.0767129290067761
31pd_R,0.0948169940896416
31a_R,0.0851752945033203
VVC_R,0.0835973104538403
25_R,0.1106115473463726
s32_R,0.1199083856822666
pOFC_R,0.1551796430706682
PoI1_R,0.0751613217416728
Ig_R,0.0723411927165757
FOP5_R,0.100667770070669
p10p_R,0.0916856216205345
p47r_R,0.0892210943550211
TGv_R,0.1299564344781562
MBelt_R,0.1407866843893772
LBelt_R,0.1174252114831771
A4_R,0.0795168402838507
STSva_R,0.0739075947193074
TE1m_R,0.0668720165804463
PI_R,0.1134200957437428
a32pr_R,0.0892886665362372
p24_R,0.0914215833344912
