region,icvf-limited
PeEc_L,0.2957751464468987
STGa_L,0.233058357932999
PBelt_L,0.267049683620208
A5_L,0.2451782698135252
PHA1_L,0.2825268386242296
PHA3_L,0.2742798166564362
STSda_L,0.2405076502499089
STSdp_L,0.2440995513696642
STSvp_L,0.2302421797925547
TGd_L,0.2613729384244757
TE1a_L,0.2377451284129924
TE1p_L,0.2353119448723646
TE2a_L,0.2656497015659872
TF_L,0.2935301580667495
TE2p_L,0.2697259941938985
PHT_L,0.2324653208074774
PH_L,0.2417474493293788
TPOJ1_L,0.2470288827365807
TPOJ2_L,0.2405708218327829
TPOJ3_L,0.2377685637758932
DVT_L,0.2561022122263617
PGp_L,0.2348404642683172
IP2_L,0.246584783148051
IP1_L,0.2485228283780083
IP0_L,0.2431291942936463
PFop_L,0.2344612285443412
PF_L,0.2366657229264475
PFm_L,0.2398966734093678
PGi_L,0.2366729796888826
PGs_L,0.2370371834928995
V6A_L,0.2566800478701216
VMV1_L,0.2909285377347009
VMV3_L,0.2777034808303925
PHA2_L,0.2622275348779514
V4t_L,0.2518183093462307
FST_L,0.2393522066767636
V3CD_L,0.2456856096751823
LO3_L,0.2443740157336382
VMV2_L,0.2721026634715484
31pd_L,0.2537403403774811
31a_L,0.2570219083851799
VVC_L,0.2827509576136379
25_L,0.3185645308362136
s32_L,0.2936766676292501
pOFC_L,0.3207174005450655
PoI1_L,0.2536795900139448
Ig_L,0.2741566403530028
FOP5_L,0.2660080809594928
p10p_L,0.2259250471895447
p47r_L,0.2276783830137339
TGv_L,0.2917189070594068
MBelt_L,0.2938171612805354
LBelt_L,0.2884436001186483
A4_L,0.2521563809311655
STSva_L,0.2323633165716909
TE1m_L,0.2388506701435497
PI_L,0.2555593503843882
a32pr_L,0.2436990355058845
p24_L,0.2279419575184331
V1_R,0.285337051765791
MST_R,0.2483003414238247
V6_R,0.2621166228775551
V2_R,0.2790563923723846
V3_R,0.2671983581202778
V4_R,0.2603166003505995
V8_R,0.2680719849624684
4_R,0.3101699605575368
3b_R,0.2881824272059749
FEF_R,0.2761045755167691
PEF_R,0.2534435051600844
55b_R,0.2645214755876505
V3A_R,0.2601576941675152
RSC_R,0.3231089071370662
POS2_R,0.2603965043193775
V7_R,0.2560211292326623
IPS1_R,0.2501392716013175
FFC_R,0.2676253032432836
V3B_R,0.2445650750231348
LO1_R,0.2463276420244989
LO2_R,0.2517592603846372
PIT_R,0.2582349824670036
MT_R,0.2483778733495222
A1_R,0.3053297852980826
PSL_R,0.2308876871140103
SFL_R,0.2740592171470979
PCV_R,0.256427293586795
STV_R,0.2363297036842605
7Pm_R,0.2491504821200726
7m_R,0.2554424211470046
POS1_R,0.2759231986710178
23d_R,0.2727625193704083
v23ab_R,0.2789961272621271
d23ab_R,0.273374867101975
31pv_R,0.2600409222233626
5m_R,0.3045801147341938
5mv_R,0.2678266767522211
23c_R,0.2571412099256498
5L_R,0.2724135429200193
24dd_R,0.2877400572713504
24dv_R,0.2698356255127452
7AL_R,0.259478113095552
SCEF_R,0.2816936284098345
6ma_R,0.2770631972944505
7Am_R,0.253872781822807
7Pl_R,0.2521401698749013
7PC_R,0.2629896548078071
LIPv_R,0.2674402546115583
VIP_R,0.2598663422982289
MIP_R,0.2528115097487798
1_R,0.2849824765418654
2_R,0.273845122598802
3a_R,0.2849632812770777
6d_R,0.288129274133437
6mp_R,0.2871686500639184
6v_R,0.2518589577153485
p24pr_R,0.2579563628546921
33pr_R,0.2715409373654334
a24pr_R,0.2503083452360286
p32pr_R,0.2616840024232122
a24_R,0.2409652602108238
d32_R,0.2442331484015058
8BM_R,0.2630906677205344
p32_R,0.2430553171468321
10r_R,0.2632121266945444
47m_R,0.2807192300797307
8Av_R,0.2633708425290542
8Ad_R,0.2564544287894006
9m_R,0.2342951418467685
8BL_R,0.2503369355748639
9p_R,0.2349443907919178
10d_R,0.2232268731400149
8C_R,0.2618572487642066
44_R,0.2479998778464812
45_R,0.2488773780786377
47l_R,0.2511589450680279
a47r_R,0.2364675330743458
6r_R,0.2434125147008771
IFJa_R,0.2638025562129208
IFJp_R,0.2598829179894131
IFSp_R,0.2571617899225779
IFSa_R,0.2411527336518651
p9-46v_R,0.2495849811439683
46_R,0.2416537706770719
a9-46v_R,0.2346425455306191
9-46d_R,0.2330577234751805
9a_R,0.2225075561143595
10v_R,0.2856726623359208
a10p_R,0.2291804155654316
10pp_R,0.2636450526223401
11l_R,0.2654864290164701
13l_R,0.3146045089340639
OFC_R,0.3448712249155772
47s_R,0.2778465067140775
LIPd_R,0.2555430994558438
6a_R,0.2708369253552197
i6-8_R,0.2727037529635133
s6-8_R,0.2670061992101178
43_R,0.2480368527107392
OP4_R,0.2459562075491804
OP1_R,0.2652254227488414
