region,ak-limited
PHA3_L,0.6617219042723838
STSda_L,0.6026169734721527
STSdp_L,0.5992523549359456
STSvp_L,0.5674856749126718
TGd_L,0.6463461175205725
TE1a_L,0.5920458130823145
TE1p_L,0.5631897329509643
TE2a_L,0.636247912852979
TF_L,0.6922759006337829
TE2p_L,0.6337217159386823
PHT_L,0.552671650270002
PH_L,0.5779050116740692
TPOJ1_L,0.5881786820846359
TPOJ2_L,0.572934330002097
TPOJ3_L,0.5715668369110403
DVT_L,0.5934340256458364
PGp_L,0.5575588437369098
IP2_L,0.5767873037210264
IP1_L,0.5780830197572541
IP0_L,0.5694112411614227
PFop_L,0.5546113766099868
PF_L,0.5504598376843253
PFm_L,0.5531902616179141
PGi_L,0.5638967266175507
PGs_L,0.5594585574722085
V6A_L,0.5824206878349554
VMV1_L,0.6833870477976098
VMV3_L,0.6477868762097573
PHA2_L,0.659970400619585
V4t_L,0.5922099968990362
FST_L,0.5737712173051239
V3CD_L,0.5793657199631369
LO3_L,0.5753356703320851
VMV2_L,0.6592350734856506
31pd_L,0.6068182335819252
31a_L,0.5965018489871143
VVC_L,0.6598778984953707
25_L,0.7295155390386541
s32_L,0.7115656011885607
pOFC_L,0.7266611002355315
PoI1_L,0.6188104482433713
Ig_L,0.6537793268676588
FOP5_L,0.6405185081026981
p10p_L,0.5773392209568482
p47r_L,0.5765591598564197
TGv_L,0.6897516679854017
MBelt_L,0.6709475186361206
LBelt_L,0.6743564959297117
A4_L,0.5899165367131953
STSva_L,0.5960406691532384
TE1m_L,0.5812998432855668
PI_L,0.6267219135934138
a32pr_L,0.5988962709269237
p24_L,0.5858128197528097
V1_R,0.6514415719581249
MST_R,0.5984578647043335
V6_R,0.6090855826513258
V2_R,0.6392236484675721
V3_R,0.6157018157641779
V4_R,0.6078369485894094
V8_R,0.6223059620585363
4_R,0.671199254243006
3b_R,0.6474510483539266
FEF_R,0.6269027065299215
PEF_R,0.607274925469325
55b_R,0.6022524397319603
V3A_R,0.5957042989912473
RSC_R,0.7102426935335325
POS2_R,0.5984615315649636
V7_R,0.5901321908077553
IPS1_R,0.5837489940885725
FFC_R,0.6290658777606551
V3B_R,0.5862870618165503
LO1_R,0.581093129988031
LO2_R,0.5872044893113064
PIT_R,0.5942971693322735
MT_R,0.5884591677471936
A1_R,0.6905113361978679
PSL_R,0.5413450327910381
SFL_R,0.6061758587912854
PCV_R,0.5908071542965491
STV_R,0.5616299903837502
7Pm_R,0.5687789599880652
7m_R,0.5998680456221531
POS1_R,0.6482892629239715
23d_R,0.6398796712916186
v23ab_R,0.6545621190008724
d23ab_R,0.6429484415812834
31pv_R,0.6265262457048933
5m_R,0.6449832536332931
5mv_R,0.6191970336836204
23c_R,0.6103688053784662
5L_R,0.5838530941840554
24dd_R,0.6619059561534734
24dv_R,0.6430309174617266
7AL_R,0.5636658777676726
SCEF_R,0.6430797266801603
6ma_R,0.6076829829308414
7Am_R,0.5630024310678775
7Pl_R,0.5621668135939606
7PC_R,0.5699401281562524
LIPv_R,0.5940352503804909
VIP_R,0.5673776486487001
MIP_R,0.5755769365434458
1_R,0.6086750643709389
2_R,0.6068507752184813
3a_R,0.6546196051587948
6d_R,0.6360235386322197
6mp_R,0.6341379209363401
6v_R,0.5795271923538683
p24pr_R,0.6188376211271676
33pr_R,0.6465445058732932
a24pr_R,0.6095837088984254
p32pr_R,0.6304093826420253
a24_R,0.6297564319604616
d32_R,0.6013761413360671
8BM_R,0.6149519497511361
p32_R,0.6256525527960761
10r_R,0.6621610052255693
47m_R,0.6797749101748323
8Av_R,0.6037702542288701
8Ad_R,0.6054454815708006
9m_R,0.580185060555789
8BL_R,0.5753875497452171
9p_R,0.5653712589497888
10d_R,0.5689769499592673
8C_R,0.6130578882307731
44_R,0.60209430386853
45_R,0.610461193495015
47l_R,0.6196039202265731
a47r_R,0.6067389112074334
6r_R,0.5949093732510093
IFJa_R,0.6282906205833652
IFJp_R,0.6240951484914457
IFSp_R,0.6207339251310258
IFSa_R,0.6033675690920604
p9-46v_R,0.5994533502473212
46_R,0.5906491582393054
a9-46v_R,0.5952087725193358
9-46d_R,0.5827382469394198
9a_R,0.5564867784480112
10v_R,0.6801868330803807
a10p_R,0.6006518315922466
10pp_R,0.6490303158559507
11l_R,0.6633669444161545
13l_R,0.7235550507536825
OFC_R,0.7396352948744214
47s_R,0.6665230545764818
LIPd_R,0.5873576751193855
6a_R,0.630414604670916
i6-8_R,0.6224231858114105
s6-8_R,0.600974562267492
43_R,0.5975458044474239
OP4_R,0.586652147936556
OP1_R,0.6241218702174287
OP2-3_R,0.6492056987724776
52_R,0.6456223858915882
RI_R,0.6303956647704213
PFcm_R,0.5890454272884897
PoI2_R,0.6144699594744514
TA2_R,0.6168861015131823
FOP4_R,0.6344853502040373
MI_R,0.6079424946140691
Pir_R,0.6622213997120765
AVI_R,0.6422106425985974
AAIC_R,0.6215950937948898
FOP1_R,0.6241721873204849
FOP3_R,0.6331340738138627
FOP2_R,0.6334039953133904
PFt_R,0.5580658517323036
AIP_R,0.5814341669797145
EC_R,0.7187278148650631
PreS_R,0.7222431205293045
H_R,0.678916244898425
ProS_R,0.6707015066340457
PeEc_R,0.7055183965605716
STGa_R,0.5950858273181646
PBelt_R,0.6228062470879946
A5_R,0.5849396227378969
PHA1_R,0.6826000448824948
PHA3_R,0.6611190969243783
STSda_R,0.6050180270040465
STSdp_R,0.6008908338362839
STSvp_R,0.5600167167066366
TGd_R,0.6572681906215047
TE1a_R,0.5960376893350012
TE1p_R,0.564618424488803
TE2a_R,0.6388907459040878
TF_R,0.6953436494947056
TE2p_R,0.6431246881375065
PHT_R,0.5476873950216151
PH_R,0.5776950787434985
TPOJ1_R,0.5743437874568494
TPOJ2_R,0.5654508224251543
TPOJ3_R,0.56603695935173
DVT_R,0.5990817168924805
PGp_R,0.544953708573239
IP2_R,0.5708417214858573
IP1_R,0.5673948336520118
IP0_R,0.5717728859146761
PFop_R,0.5541956314703973
PF_R,0.5444829182300231
PFm_R,0.5483851517244843
PGi_R,0.5525325909203846
PGs_R,0.5465725472137046
V6A_R,0.5791911167691115
VMV1_R,0.6818729252213037
VMV3_R,0.6497100731272504
