region,F1
V2_R,0.5326499405058835
V3_R,-0.08226485675939889
V4_R,-0.5837183320968371
V8_R,-0.7125850685340366
4_R,-1.8036454562478532
3b_R,3.640497464440344
FEF_R,-1.1026046101112976
PEF_R,0.02629373169784321
55b_R,-1.1384965480695015
V3A_R,-0.058113708819160365
RSC_R,-1.3192525648839823
POS2_R,-0.03047735686372235
V7_R,-1.0345090308150666
IPS1_R,-1.1720327856335382
FFC_R,-1.48358100965015
V3B_R,-0.01853593708500011
LO1_R,-0.10045277902851453
LO2_R,-0.6519359755411981
PIT_R,-0.9165884759501385
MT_R,-0.38971767331978985
A1_R,0.7032403033531932
PSL_R,0.13367433951407634
SFL_R,-0.7331089644297012
PCV_R,0.5348330085102422
STV_R,-0.19181257795758708
7Pm_R,0.9740971183878028
