region,mkt-limited
PHA3_L,0.6378878832979373
STSda_L,0.5769686508063485
STSdp_L,0.5822435127478033
STSvp_L,0.5418420720722131
TGd_L,0.6287913326678123
TE1a_L,0.5678788105734347
TE1p_L,0.5462524433657122
TE2a_L,0.6115498472949509
TF_L,0.6728478415144481
TE2p_L,0.6203673576585382
PHT_L,0.5408151292730878
PH_L,0.565453026175515
TPOJ1_L,0.5780962850804171
TPOJ2_L,0.5627414440035181
TPOJ3_L,0.5675268432271153
DVT_L,0.5817278054443048
PGp_L,0.5531070110019509
IP2_L,0.5614116521211494
IP1_L,0.5653810994213978
IP0_L,0.5581584253153062
PFop_L,0.5452535234646368
PF_L,0.54535741513656
PFm_L,0.5443660209720921
PGi_L,0.5560364395077062
PGs_L,0.5528732217728952
V6A_L,0.5780981659265139
VMV1_L,0.6667452388464273
VMV3_L,0.6264843358112759
PHA2_L,0.6344311666401871
V4t_L,0.5834032098447179
FST_L,0.5642333386405348
V3CD_L,0.5778516944107777
LO3_L,0.5714832247545206
VMV2_L,0.6361547771054319
31pd_L,0.5898772094932487
31a_L,0.5771395083314996
VVC_L,0.6453850155432465
25_L,0.7164936576848876
s32_L,0.6880872738527424
pOFC_L,0.7250338747575236
PoI1_L,0.5990123786995275
Ig_L,0.6385530348083867
FOP5_L,0.627157076282988
p10p_L,0.5569058187151543
p47r_L,0.5575172154139858
TGv_L,0.6779286328504642
MBelt_L,0.6496093413366755
LBelt_L,0.6588102239525688
A4_L,0.5714185571550816
STSva_L,0.5630791557692909
TE1m_L,0.5596160243052619
PI_L,0.6012201786526834
a32pr_L,0.5796097739345927
p24_L,0.5626447423471165
V1_R,0.653221626920438
MST_R,0.5930339278602423
V6_R,0.6068287783759143
V2_R,0.6406992560449789
V3_R,0.6166333429053832
V4_R,0.6047287896362654
V8_R,0.6193471779147047
4_R,0.6569217889178806
3b_R,0.6425943204647524
FEF_R,0.6070789172998656
PEF_R,0.5873937669930235
55b_R,0.5757442859409698
V3A_R,0.5973234861860577
RSC_R,0.7092792701042843
POS2_R,0.5912940437723102
V7_R,0.575407383529409
IPS1_R,0.5648748956769885
FFC_R,0.6167935636516799
V3B_R,0.5809079987891183
LO1_R,0.5799803259777054
LO2_R,0.5823447829465952
PIT_R,0.5901258873047925
MT_R,0.5798534307353486
A1_R,0.6708488424343437
PSL_R,0.5268136535905086
SFL_R,0.5877478445584838
PCV_R,0.5826008261565994
STV_R,0.5523910293643021
7Pm_R,0.560632359210967
7m_R,0.5907553950026606
POS1_R,0.6395969621267426
23d_R,0.620101594383172
v23ab_R,0.642517730758557
d23ab_R,0.6261297339337629
31pv_R,0.6077801341127193
5m_R,0.6359592076669711
5mv_R,0.6074854444979865
23c_R,0.5859272271401451
5L_R,0.5706636615044783
24dd_R,0.65186311274954
24dv_R,0.6275339412464154
7AL_R,0.5461863911712125
SCEF_R,0.634200058674296
6ma_R,0.5854692360056395
7Am_R,0.5536129407626962
7Pl_R,0.5516987208866793
7PC_R,0.5494512338294826
LIPv_R,0.58145734689804
VIP_R,0.5505122320997249
MIP_R,0.5638915094505388
1_R,0.5829762588832029
2_R,0.5895023318895392
3a_R,0.6458269053467122
6d_R,0.6073986374341984
6mp_R,0.6148986149334288
6v_R,0.549265801297119
p24pr_R,0.5969436734575306
33pr_R,0.621668769455972
a24pr_R,0.5859041329077084
p32pr_R,0.6117884112240914
a24_R,0.609051369775102
d32_R,0.5928671257503383
8BM_R,0.604373670418763
p32_R,0.6118575463452693
10r_R,0.6457760314510568
47m_R,0.6712421042232511
8Av_R,0.578531653353856
8Ad_R,0.5797025832963209
9m_R,0.5690921140186314
8BL_R,0.5520576109362689
9p_R,0.542712865346876
10d_R,0.549219899770852
8C_R,0.5920540248518086
44_R,0.5799750212057962
45_R,0.5881126063700698
47l_R,0.5961128091412923
a47r_R,0.5838295259383266
6r_R,0.5744648331260618
IFJa_R,0.6101690429821036
IFJp_R,0.5988921844169826
IFSp_R,0.598381055654782
IFSa_R,0.5808451511624126
p9-46v_R,0.577051318355059
46_R,0.5686414641093058
a9-46v_R,0.5739929466875799
9-46d_R,0.5593403606901513
9a_R,0.5327337810603725
10v_R,0.6638089496792255
a10p_R,0.5760220136250707
10pp_R,0.6275488201841204
11l_R,0.6433218753290582
13l_R,0.716284884897475
OFC_R,0.7469320358263796
47s_R,0.6531045067377763
LIPd_R,0.5760851818936671
6a_R,0.60699401525227
i6-8_R,0.5980537835687849
s6-8_R,0.5735260543237352
43_R,0.5770235177982832
OP4_R,0.5745289077230479
OP1_R,0.6099547526723605
OP2-3_R,0.6331098725923586
52_R,0.6202546772713731
RI_R,0.6124241125414215
PFcm_R,0.5740404682658604
PoI2_R,0.5980196468810735
TA2_R,0.5995651138154048
FOP4_R,0.6096316610412619
MI_R,0.5802123614091481
Pir_R,0.6677151777442873
AVI_R,0.6221106083934914
AAIC_R,0.6113103011167105
FOP1_R,0.6099240415040497
FOP3_R,0.6043675006245753
FOP2_R,0.6127538167571407
PFt_R,0.5414389126297005
AIP_R,0.5641952033206202
EC_R,0.7366717251951173
PreS_R,0.7354483502529945
H_R,0.6701460657322665
ProS_R,0.6664951524125856
PeEc_R,0.6922800428607314
STGa_R,0.5632228092750082
PBelt_R,0.6025947204765845
A5_R,0.5614595636860322
PHA1_R,0.6750548402755027
PHA3_R,0.6363331907884326
STSda_R,0.5685949149865874
STSdp_R,0.5760087311871411
STSvp_R,0.5408793865038156
TGd_R,0.6395813477460404
TE1a_R,0.5688791821807301
TE1p_R,0.5470699548744613
TE2a_R,0.6117893248304873
TF_R,0.6761356166448487
TE2p_R,0.6291413373785919
PHT_R,0.5338270149142256
PH_R,0.5651201174175383
TPOJ1_R,0.5592350159793613
TPOJ2_R,0.558366539355714
TPOJ3_R,0.5561488458179253
DVT_R,0.5940600272964216
PGp_R,0.5357432209954007
IP2_R,0.5585341154562931
IP1_R,0.5549546535660514
IP0_R,0.562522409477862
PFop_R,0.5396978589692633
PF_R,0.5295044357098874
PFm_R,0.5384042874670512
PGi_R,0.5391607046863964
PGs_R,0.5327295408866497
V6A_R,0.5755923240469092
VMV1_R,0.6722719785625704
VMV3_R,0.6345040810007909
PHA2_R,0.6406590868937662
V4t_R,0.576554732032011
FST_R,0.5602222367278769
V3CD_R,0.565619620056321
LO3_R,0.5648804472990233
VMV2_R,0.6356423267763198
31pd_R,0.5965188846603002
31a_R,0.5971966890289431
VVC_R,0.6571225231768599
25_R,0.703075861832816
s32_R,0.6911119448379428
pOFC_R,0.7286977657072297
PoI1_R,0.5962693004966212
Ig_R,0.6175398882244492
FOP5_R,0.634271473481635
p10p_R,0.5642961964570216
p47r_R,0.5691485779160579
TGv_R,0.6831128665014798
MBelt_R,0.6623933271448695
LBelt_R,0.6340807772366658
A4_R,0.5606716374076594
STSva_R,0.5712798516466588
TE1m_R,0.5580039553760657
PI_R,0.5996829098644223
a32pr_R,0.5954063843648754
p24_R,0.5782286098698537
