region,dki-fa
8BM_R,0.1713035899576518
p32_R,0.1593622506427837
10r_R,0.1537748482711487
47m_R,0.1621691710610854
8Av_R,0.1620566409342244
8Ad_R,0.1565414910005867
9m_R,0.1688750884390887
8BL_R,0.1654611294043937
9p_R,0.158465980732223
10d_R,0.1586252416855721
8C_R,0.162658208204189
44_R,0.1733100427016395
45_R,0.172269777930223
47l_R,0.1777904397163479
a47r_R,0.1634438302972086
6r_R,0.1672943247579625
IFJa_R,0.1600922741458982
IFJp_R,0.1583571038656065
IFSp_R,0.158455038029938
IFSa_R,0.1619068480286249
p9-46v_R,0.1614096656453792
46_R,0.1573283495793516
a9-46v_R,0.1606903154991663
9-46d_R,0.1547038048064992
9a_R,0.1568108210677437
10v_R,0.1635036880187017
a10p_R,0.1534492035207506
10pp_R,0.1632213620044512
11l_R,0.161870533510528
13l_R,0.1624023524077288
OFC_R,0.1794718557104075
47s_R,0.1844345220741834
LIPd_R,0.1518220669366014
6a_R,0.1544269414175931
i6-8_R,0.1595522315902226
s6-8_R,0.1620277803130363
43_R,0.1710644667182966
OP4_R,0.1702924040369326
OP1_R,0.1691544142971357
OP2-3_R,0.1630456087081812
52_R,0.1534760542917339
RI_R,0.1513297098183915
PFcm_R,0.1626341941392932
PoI2_R,0.1900106139509708
TA2_R,0.1688654739839573
FOP4_R,0.1620854056044005
MI_R,0.1767978765115961
Pir_R,0.2050993802760009
AVI_R,0.1747841306259224
AAIC_R,0.1993326863095253
FOP1_R,0.175962461875635
FOP3_R,0.1586979674770374
FOP2_R,0.1612039299833778
PFt_R,0.1514207861420874
AIP_R,0.1505714228593501
EC_R,0.195482713066097
PreS_R,0.2070386930907958
H_R,0.1689946711595519
ProS_R,0.176381163881197
PeEc_R,0.1737622369832263
STGa_R,0.1815706375381157
PBelt_R,0.1525266671265671
A5_R,0.1639175886491541
PHA1_R,0.1815814538163732
PHA3_R,0.1559929363309194
STSda_R,0.158811042994968
STSdp_R,0.1533725012649009
STSvp_R,0.1565052656355744
TGd_R,0.1818180565834347
TE1a_R,0.1727911217381378
TE1p_R,0.1611662591161513
TE2a_R,0.1678526071653709
TF_R,0.1678197528913682
TE2p_R,0.1652489538257706
PHT_R,0.1583253089404316
PH_R,0.1580791314885773
TPOJ1_R,0.1574398333222704
TPOJ2_R,0.1582926046795427
TPOJ3_R,0.1539657148786281
DVT_R,0.1589512343216744
PGp_R,0.160290263285674
IP2_R,0.1514421839225586
IP1_R,0.1529119151848014
IP0_R,0.1524514695218638
PFop_R,0.1638721540589793
PF_R,0.1604330456864421
PFm_R,0.1593502502565096
PGi_R,0.1576902326569075
PGs_R,0.160277027975141
V6A_R,0.1590080186675027
VMV1_R,0.1650247148668203
VMV3_R,0.1599556873731456
PHA2_R,0.1554706062958008
V4t_R,0.1571190119309374
FST_R,0.156220213132109
V3CD_R,0.1540423952869908
LO3_R,0.1556678285438232
VMV2_R,0.1536155652036927
31pd_R,0.1546651108452558
31a_R,0.1638784854527021
VVC_R,0.1655191898463136
25_R,0.1825685385582371
s32_R,0.1609135689303042
pOFC_R,0.1871320417980708
PoI1_R,0.1821647958675014
Ig_R,0.1686368000280474
FOP5_R,0.1650580903349171
p10p_R,0.1535913257581904
p47r_R,0.1643698279477984
TGv_R,0.1837657430697272
MBelt_R,0.1572120662707774
LBelt_R,0.1497434051105174
A4_R,0.1657095690909639
STSva_R,0.1544062956386544
TE1m_R,0.16434748219609
PI_R,0.1588933262151767
a32pr_R,0.1553624477305153
p24_R,0.169067299848365
