region,dki-fa-limited
FOP4_L,0.1760619667231247
MI_L,0.1827365471928367
Pir_L,0.2215302194131111
AVI_L,0.1800607797474832
AAIC_L,0.2091339743654121
FOP1_L,0.1836643751020925
FOP3_L,0.1702391139872565
FOP2_L,0.1696384414336686
PFt_L,0.1507154034748077
AIP_L,0.1539567405631205
EC_L,0.20042662527388
PreS_L,0.2203272122442762
H_L,0.1738091018069976
ProS_L,0.1861877791695891
PeEc_L,0.1807179959762768
STGa_L,0.1884521518388968
PBelt_L,0.1507819999432469
A5_L,0.1689039331095663
PHA1_L,0.1882884476367522
PHA3_L,0.1738820465429135
STSda_L,0.1623868273774465
STSdp_L,0.1576091793311256
STSvp_L,0.1537089081127036
TGd_L,0.1879745395244292
TE1a_L,0.1703590069194743
TE1p_L,0.1632477095106769
TE2a_L,0.1764187990830275
TF_L,0.1788581429938234
TE2p_L,0.1738152479075497
PHT_L,0.160959089097089
PH_L,0.1606091114347366
TPOJ1_L,0.1608597910286094
TPOJ2_L,0.1584229997226778
TPOJ3_L,0.1536634696691997
DVT_L,0.1632328838474062
PGp_L,0.1628139892778579
IP2_L,0.1529601616381953
IP1_L,0.1539299346015579
IP0_L,0.1560743619524071
PFop_L,0.159965542197113
PF_L,0.1611876927887122
PFm_L,0.1611844709617244
PGi_L,0.1586589277062478
PGs_L,0.1606452740145949
V6A_L,0.1603888068996424
VMV1_L,0.1738648495854702
VMV3_L,0.1732263794591403
PHA2_L,0.1722162579019731
V4t_L,0.1584904630745211
FST_L,0.1575990649851517
V3CD_L,0.1571435379889179
LO3_L,0.1574908451965154
VMV2_L,0.1667946299916938
31pd_L,0.1628245833539559
31a_L,0.1726032971781849
VVC_L,0.1753704166857846
25_L,0.1973614664654399
s32_L,0.1733227167921013
pOFC_L,0.1958438383843181
PoI1_L,0.1835124810849553
Ig_L,0.1712297691066932
FOP5_L,0.1700430979110246
p10p_L,0.1584176418930067
p47r_L,0.1618034230105366
TGv_L,0.1861446116583579
MBelt_L,0.1682005983576399
LBelt_L,0.1528893083140793
A4_L,0.1626542373784634
STSva_L,0.1536770593825029
TE1m_L,0.1666896162137599
PI_L,0.1709585210729239
a32pr_L,0.1663671792500778
p24_L,0.1725791961222376
V1_R,0.1524328526582908
MST_R,0.1529167129716989
V6_R,0.1473599819330988
V2_R,0.1563347339450448
V3_R,0.1537912604216541
V4_R,0.1547005915195227
V8_R,0.1623098446603035
4_R,0.1810180679866004
3b_R,0.1379999466826498
FEF_R,0.1636904822232321
PEF_R,0.1539278202849798
55b_R,0.1664288974987452
V3A_R,0.1568046211936721
RSC_R,0.2016431138498995
POS2_R,0.1585178982435412
V7_R,0.1574546141842153
IPS1_R,0.1515290429930281
FFC_R,0.1654311178711728
V3B_R,0.1468935737006141
LO1_R,0.1526461319777282
LO2_R,0.1592258253930862
PIT_R,0.1614164445097789
MT_R,0.1532913390074834
A1_R,0.1628369257982866
PSL_R,0.1628550191523157
SFL_R,0.1754057240782537
PCV_R,0.1611792158265313
STV_R,0.1615658426694914
7Pm_R,0.1584698412750673
7m_R,0.1625829670653356
POS1_R,0.1823819273437747
23d_R,0.1723976624909911
v23ab_R,0.180229717490892
d23ab_R,0.1787410003461274
31pv_R,0.1636951135417956
5m_R,0.1654904106404065
5mv_R,0.1542957169429061
23c_R,0.1599775032488515
5L_R,0.159606498355845
24dd_R,0.166816427189933
24dv_R,0.1601568393015239
7AL_R,0.1572720922681518
SCEF_R,0.1678621084497132
6ma_R,0.1696447226353164
7Am_R,0.1607115694784308
7Pl_R,0.1603177470285139
7PC_R,0.1575380584408089
LIPv_R,0.1565838107557423
VIP_R,0.1594891846886797
MIP_R,0.1554424403183156
1_R,0.1617226890937945
2_R,0.1572347403353448
3a_R,0.1486685883200438
6d_R,0.166311862759589
6mp_R,0.1645801999237834
6v_R,0.1761976156662022
p24pr_R,0.17348557072504
33pr_R,0.193084721159897
a24pr_R,0.1710108091025746
p32pr_R,0.156284511420204
a24_R,0.1704478673755352
d32_R,0.1663244988225971
8BM_R,0.1710840740250813
p32_R,0.1646116141534598
10r_R,0.1592337564901325
47m_R,0.1678032971470788
8Av_R,0.1652580103556203
8Ad_R,0.1584457603996269
9m_R,0.170264996610166
8BL_R,0.1687027826229022
9p_R,0.1603048445476328
10d_R,0.1617237804329115
8C_R,0.1654293013948478
44_R,0.1769556781971291
45_R,0.1748630607107444
47l_R,0.1817031522569359
a47r_R,0.1673662582252756
6r_R,0.1707898106151858
IFJa_R,0.1626710992322832
IFJp_R,0.1640924257525599
IFSp_R,0.1616847001292504
IFSa_R,0.1650747309982287
p9-46v_R,0.1640009414340508
46_R,0.1589419932982412
a9-46v_R,0.1633682730282161
9-46d_R,0.1565238147912792
9a_R,0.1591129620141103
10v_R,0.1729053508885443
a10p_R,0.1591609964463185
10pp_R,0.1716585191926872
11l_R,0.168679546470116
13l_R,0.1733219304356664
OFC_R,0.1886374883589396
47s_R,0.1938242632764921
LIPd_R,0.1522606983523061
6a_R,0.1562079264107062
i6-8_R,0.1611279957441152
s6-8_R,0.1660606006312415
43_R,0.1746014919870394
OP4_R,0.1720318669516728
OP1_R,0.1734362312684028
OP2-3_R,0.1691324327197764
52_R,0.1614031878402442
RI_R,0.1556993189804526
PFcm_R,0.1651169922042744
PoI2_R,0.2020630209433773
TA2_R,0.1728561924141316
FOP4_R,0.1709962511926842
MI_R,0.1893971507719856
Pir_R,0.2156138290745732
AVI_R,0.1835470878248027
AAIC_R,0.2096823022586416
FOP1_R,0.1808413611197248
FOP3_R,0.1685953984053148
FOP2_R,0.1683189870715862
PFt_R,0.1516089738700468
AIP_R,0.1522567513536038
EC_R,0.1984336669918934
PreS_R,0.2111741187707426
H_R,0.1738442628462887
ProS_R,0.1825133293780835
PeEc_R,0.1820615527158333
STGa_R,0.1873435840363017
PBelt_R,0.1567136507982368
A5_R,0.1669561260148861
PHA1_R,0.1889841551359445
PHA3_R,0.1639288452423375
STSda_R,0.1640499496543213
STSdp_R,0.1576628507741752
STSvp_R,0.1587261404648216
TGd_R,0.1888123713543464
TE1a_R,0.1763269911166089
TE1p_R,0.1629795707246081
TE2a_R,0.1743634624232554
TF_R,0.1755586070793892
TE2p_R,0.1689469910684549
PHT_R,0.158963093390286
PH_R,0.1586986243166887
TPOJ1_R,0.1592752838495703
TPOJ2_R,0.1587343267069147
TPOJ3_R,0.1553613687125419
DVT_R,0.1587239316992003
PGp_R,0.1593223663437751
IP2_R,0.151010707928965
IP1_R,0.1518102685099441
IP0_R,0.1495037387614449
PFop_R,0.1655012342289687
PF_R,0.1613561160434259
PFm_R,0.159229189460374
PGi_R,0.1583232237147102
PGs_R,0.1605762867566776
V6A_R,0.1580274319184109
VMV1_R,0.1690931964203198
VMV3_R,0.16483790154286
PHA2_R,0.1627383311454981
V4t_R,0.1572600113605411
FST_R,0.1569583536508445
V3CD_R,0.1523910925486024
LO3_R,0.1554990291354712
VMV2_R,0.1572184934071173
31pd_R,0.1578779469937871
31a_R,0.1685240384495148
VVC_R,0.1720435089692265
25_R,0.2006968751421705
s32_R,0.1755756055565809
pOFC_R,0.2015496389356738
PoI1_R,0.1929995271867642
Ig_R,0.1794565439745273
FOP5_R,0.1699797961577955
p10p_R,0.1569218886640679
p47r_R,0.1685526082769245
TGv_R,0.1920400220241273
MBelt_R,0.1630312858083136
LBelt_R,0.1542565608507692
A4_R,0.1695397394154159
STSva_R,0.1586849067539599
TE1m_R,0.1675855529182373
PI_R,0.1655146243352568
a32pr_R,0.156901359336982
p24_R,0.1754039791056009
