region,isovf
PSL_R,0.0624590468677067
SFL_R,0.0794462424824151
PCV_R,0.0951963620113364
STV_R,0.0608662877671086
7Pm_R,0.0966998398148994
7m_R,0.0983646445592205
POS1_R,0.0828891607418242
23d_R,0.1104188662077427
v23ab_R,0.1066800190347736
d23ab_R,0.09157224369486
31pv_R,0.0842236425608283
5m_R,0.1094531525611332
5mv_R,0.1171248003934085
23c_R,0.0829154320521479
5L_R,0.0928915530345604
24dd_R,0.1140456323988085
24dv_R,0.1055374452840572
7AL_R,0.0777622977461605
SCEF_R,0.1090309360558181
6ma_R,0.070875523893123
7Am_R,0.0883329579534501
7Pl_R,0.0826024192010748
7PC_R,0.0760169293120231
LIPv_R,0.0810656402948784
VIP_R,0.0773487637255301
MIP_R,0.0731337887223904
1_R,0.084915837254781
2_R,0.0731286270274696
3a_R,0.1243550545774989
6d_R,0.08446156240321
6mp_R,0.0867805949901796
6v_R,0.0739670827019116
p24pr_R,0.1025611076203395
33pr_R,0.1083204597656796
a24pr_R,0.0983784025771378
p32pr_R,0.1003404143275149
a24_R,0.1087692491629454
d32_R,0.0954876295178814
8BM_R,0.1019200220039927
p32_R,0.1108724413063857
10r_R,0.1403440242220945
47m_R,0.138251265549031
8Av_R,0.0772183118853255
8Ad_R,0.0749811308747759
9m_R,0.100491265717705
8BL_R,0.0773025897131165
9p_R,0.0802576733801057
10d_R,0.1109879253121443
8C_R,0.0715406781652764
44_R,0.0785867102783483
45_R,0.0913500304763699
47l_R,0.1005661929534058
a47r_R,0.1011525189690456
6r_R,0.0810723982069959
IFJa_R,0.0868233168263154
IFJp_R,0.0791145347844485
IFSp_R,0.0935442640907948
IFSa_R,0.0958905290052605
p9-46v_R,0.0815878446663633
46_R,0.089577358706557
a9-46v_R,0.0963610237073487
9-46d_R,0.0895734901506024
9a_R,0.0886933088069504
10v_R,0.1599261013094041
a10p_R,0.1034473666352117
10pp_R,0.1398735194280527
11l_R,0.1149960607698125
13l_R,0.1727438772312838
OFC_R,0.1747020236586677
47s_R,0.1224829092151037
LIPd_R,0.0733597963309252
6a_R,0.0754118774146982
i6-8_R,0.0879584588051375
s6-8_R,0.067595858829202
43_R,0.0710576278949166
OP4_R,0.070980852807253
OP1_R,0.0801190555874642
OP2-3_R,0.086978221521935
52_R,0.1251560990740799
RI_R,0.1035425725886567
PFcm_R,0.0706399965542796
PoI2_R,0.0800651728690942
TA2_R,0.1134786690946648
FOP4_R,0.0942868960091482
MI_R,0.0782178320805853
Pir_R,0.1321877203770671
AVI_R,0.0894066638119773
AAIC_R,0.0968518775279101
FOP1_R,0.0921212345337532
FOP3_R,0.079448711723856
FOP2_R,0.0879309341097735
PFt_R,0.0782864088972891
AIP_R,0.0745819971561751
EC_R,0.1780769620311531
PreS_R,0.1956144845589164
H_R,0.1292864790359316
ProS_R,0.1216226398692962
PeEc_R,0.1292293186380104
STGa_R,0.0760042200722864
PBelt_R,0.1075417806173533
A5_R,0.058284128065187
PHA1_R,0.1150077438927072
PHA3_R,0.0837508796583484
STSda_R,0.0570085981572651
STSdp_R,0.0598649002633192
STSvp_R,0.0667422676391698
TGd_R,0.1198762759407178
TE1a_R,0.0738690211083445
TE1p_R,0.0566069852270402
TE2a_R,0.0993464215383284
TF_R,0.1154362886945467
TE2p_R,0.0932432950557226
PHT_R,0.0489857893190095
PH_R,0.0442414871445061
TPOJ1_R,0.0575973960598071
TPOJ2_R,0.0575906528045123
TPOJ3_R,0.0570726252913754
DVT_R,0.1059933446601973
PGp_R,0.0526114075780578
IP2_R,0.0836171217325957
IP1_R,0.0798878638313125
IP0_R,0.0903537034394033
PFop_R,0.0606178025340315
PF_R,0.0603011399027661
PFm_R,0.0622426119768514
PGi_R,0.0545346943877966
PGs_R,0.0548187562135336
V6A_R,0.088721446396816
VMV1_R,0.1028686391189883
VMV3_R,0.0883586730938069
PHA2_R,0.0776192681817356
V4t_R,0.0552411507649107
FST_R,0.0492332027400312
V3CD_R,0.0626188941977438
LO3_R,0.0606703604317632
VMV2_R,0.0826200760604067
31pd_R,0.0972921776896877
31a_R,0.0860428754327262
VVC_R,0.0900718587615004
25_R,0.1261685611868735
s32_R,0.1380316046167915
pOFC_R,0.1713125404762449
PoI1_R,0.0804959178026771
Ig_R,0.0755598945830405
FOP5_R,0.1031746003825173
p10p_R,0.0921986224888785
p47r_R,0.088164547519753
TGv_R,0.1389287578913673
MBelt_R,0.145405381385304
LBelt_R,0.1213288553454811
A4_R,0.0775017277069585
STSva_R,0.0759987334292422
TE1m_R,0.0671112425821841
PI_R,0.1192580898248676
a32pr_R,0.0914659837144246
p24_R,0.0941581457188035
