region,5HTT
MST_R,-0.1916476904501901
V6_R,0.3129503361056718
V2_R,0.3832306612517117
V3_R,-0.1209900183991711
V4_R,-0.330461595084234
V8_R,-0.2753754572217308
4_R,-0.6454056781826131
3b_R,-0.9590688378875172
FEF_R,-0.9868496727835208
PEF_R,-0.7246121440976001
55b_R,-0.8226858869507905
V3A_R,-0.2207532687077072
RSC_R,0.1202232432953732
POS2_R,-0.5919583015495794
V7_R,-0.7626262016294711
IPS1_R,-1.0896076765812093
FFC_R,-0.4146325169646029
V3B_R,-0.8112277582757865
LO1_R,-0.3673054793934444
LO2_R,-0.2832586849990071
PIT_R,-0.4477082739830787
MT_R,0.1210497892566719
A1_R,1.442057858377624
PSL_R,-0.2209187937546455
SFL_R,-0.7834009695192607
PCV_R,-0.4963635500386911
