region,H3
V4t_L,-1.0574649231401785
FST_L,-0.666187599927935
V3CD_L,-0.8115524505498833
LO3_L,-0.7465479835968285
VMV2_L,-0.9777489538878094
31pd_L,-0.1270835583569558
31a_L,1.0480090081083495
VVC_L,-0.2139576995446171
25_L,3.219045763594364
s32_L,1.129399543476917
pOFC_L,2.760940435038167
PoI1_L,1.2196705534738814
Ig_L,-0.4593645064762969
FOP5_L,-0.7381947997536414
p10p_L,-0.5918231162757132
p47r_L,0.3023731598612927
TGv_L,-0.5875439253957759
MBelt_L,0.6409748848758827
LBelt_L,-0.0253351086136184
A4_L,-0.0200060653544368
STSva_L,-0.7260453244324596
TE1m_L,-0.453467864003689
PI_L,0.0321669626907851
a32pr_L,1.8815635308552985
p24_L,2.8028316620016187
V1_R,-0.5143152412648759
MST_R,-0.9450974023229364
V6_R,-0.6624915147094234
V2_R,-0.8426360284313874
V3_R,-0.8848280741785208
V4_R,-0.8246045838948702
V8_R,-0.3006501120073165
4_R,-0.1960763892010376
3b_R,-0.1906227006498192
FEF_R,0.4436223820676763
PEF_R,0.0021737579779603
55b_R,0.165970442900756
V3A_R,-1.6452110607483457
RSC_R,-1.2421914089654331
POS2_R,-0.1277161583828333
V7_R,-0.5155967951254001
IPS1_R,-0.6574403718612222
FFC_R,-0.2732131836649469
V3B_R,-1.445082706992351
LO1_R,-0.9204075485745856
LO2_R,-1.0188574866467537
PIT_R,-0.507434970405272
MT_R,-0.1118476707807927
A1_R,1.0445631797295265
PSL_R,0.1179962095977453
SFL_R,0.7105770859372066
PCV_R,0.4777917766147021
STV_R,-0.1407808303132137
7Pm_R,-0.0115338712264546
7m_R,0.71483391872345
POS1_R,-0.292255225006412
23d_R,1.212303056514623
v23ab_R,-0.5580058961131149
d23ab_R,0.563502543801191
31pv_R,-0.3537171167729797
5m_R,-0.0104699914707417
5mv_R,0.2122140908786167
23c_R,0.3379175588998284
5L_R,-0.5328562060979667
24dd_R,1.2236229560177594
24dv_R,1.4361752859503312
7AL_R,-0.4737441176295133
SCEF_R,1.1525524068583708
6ma_R,0.4498147649551321
7Am_R,-0.2790475225355893
7Pl_R,-1.5426155402087047
7PC_R,-0.4768726184692546
LIPv_R,-0.4690449545036382
VIP_R,-0.6133373785804075
MIP_R,-0.634773280507781
1_R,-0.5858319686875875
2_R,-0.4753947615453469
3a_R,-1.1820938125352471
6d_R,-0.161056438772616
6mp_R,0.3750810609039368
6v_R,0.973490026683367
p24pr_R,2.217637054015089
33pr_R,1.9857501953123025
a24pr_R,3.8814125535625337
p32pr_R,2.095532814696697
a24_R,3.3972226293596037
d32_R,1.7874046714313914
8BM_R,1.4462608929482637
p32_R,1.7453691063757144
10r_R,1.9445909736452345
47m_R,0.3941715721733783
8Av_R,-0.2348811576947261
8Ad_R,0.5773301528257088
9m_R,1.0482343174524624
8BL_R,-0.0629344470438618
9p_R,0.2587463259920317
10d_R,-0.5535721046604632
8C_R,-0.040757345193869
44_R,1.0835923822385412
45_R,0.8183771515888713
47l_R,0.3706611683364382
a47r_R,0.0782531290074339
6r_R,0.5230856292796395
IFJa_R,-0.8833746369921616
IFJp_R,-1.5363437927491823
IFSp_R,0.1066868039771228
IFSa_R,0.2800390886812807
p9-46v_R,0.5159519900811177
46_R,0.3230263472284601
a9-46v_R,0.351131083722789
9-46d_R,0.0496636006327011
9a_R,-0.3379660850076873
10v_R,0.5735110342762967
a10p_R,-0.3133751268239157
10pp_R,-1.0103347683993618
11l_R,-0.0487990666239435
13l_R,-0.05831462551095
OFC_R,0.1160331526804333
47s_R,0.5400044057430713
LIPd_R,-1.2333408060015247
6a_R,-0.1960876491519697
i6-8_R,0.0665067065852277
s6-8_R,0.041118464291076
43_R,0.8764129641511307
OP4_R,0.677076868634309
OP1_R,0.157777789595331
OP2-3_R,-0.7249442777597919
52_R,0.3851537739773117
RI_R,-0.5617703466097245
PFcm_R,-0.7508066945207016
PoI2_R,2.451291117700427
TA2_R,0.5444861926069918
FOP4_R,1.7494298136750115
MI_R,2.879426046133408
Pir_R,1.0530268554427649
AVI_R,0.514664414444795
AAIC_R,2.0514684016829774
FOP1_R,1.9172507494154496
FOP3_R,1.1062845852837304
FOP2_R,0.0378776918819525
PFt_R,0.0277766456546637
AIP_R,-1.1503780854744696
EC_R,-0.0160404302418676
PreS_R,-0.7693723246521713
H_R,-0.4880136809303058
ProS_R,-0.7883673773306115
PeEc_R,-1.012769331254072
STGa_R,-0.1811419240750627
PBelt_R,1.0886603801639243
A5_R,0.1163041319067215
PHA1_R,-0.5204334819238438
PHA3_R,-0.3944288991138243
STSda_R,-0.3379648223797572
STSdp_R,-1.4024685051976906
STSvp_R,-0.1453908674996549
TGd_R,-0.984372465758291
TE1a_R,-0.3787955505371101
TE1p_R,-0.2227875276631358
TE2a_R,-0.5520402952340712
TF_R,-0.5794238151490163
TE2p_R,-0.706552868667653
PHT_R,-0.1381278813943613
PH_R,-0.7089539860927184
TPOJ1_R,-0.9045787270964
TPOJ2_R,-0.3564586826785286
