region,D2
MST_R,0.3311635258503844
V6_R,-0.7144575661386201
V2_R,-1.1006710409806402
V3_R,-0.7963198027751888
V4_R,-0.4497044131382933
V8_R,-0.1074328965027127
4_R,-1.0504635288681428
3b_R,-0.9081178741123168
FEF_R,-0.7408651381467825
PEF_R,-0.6083516505693255
55b_R,-1.0476684549565511
V3A_R,-1.084622310277514
RSC_R,-1.580271101800956
POS2_R,-0.5608532009579476
V7_R,-0.3514029159577027
IPS1_R,-0.2774361327330254
FFC_R,1.0767559752887983
V3B_R,-0.5994598132863145
LO1_R,-0.8352451812043822
LO2_R,-0.9130418124290686
PIT_R,-0.2369538795109354
MT_R,0.1851547768510456
A1_R,0.2944625896595564
PSL_R,-0.2918198581498884
SFL_R,-0.8142521343897958
PCV_R,-0.2140241500333145
