region,GABAa
V2_R,0.9770013936700352
V3_R,0.4434760283264892
V4_R,0.918503412530915
V8_R,1.506739945990894
4_R,-0.3480756353123983
3b_R,-1.47201731746527
FEF_R,-0.8643723897389954
PEF_R,1.421255003334683
55b_R,-0.9129171292253392
V3A_R,-0.5065596479235338
RSC_R,-0.3223931625647641
POS2_R,0.6001974676081014
V7_R,-0.0190747598864435
IPS1_R,0.6842442669783217
FFC_R,0.3491190055500388
V3B_R,-0.9631432794366028
LO1_R,-0.0230290050198625
LO2_R,0.5346555430577806
PIT_R,-0.3033665838602148
MT_R,1.4033261793870109
A1_R,1.109744170605594
PSL_R,0.3529952360434752
SFL_R,-1.166485730456897
PCV_R,0.5533397721181628
STV_R,0.1032894879650909
7Pm_R,-0.1280171397422549
7m_R,0.8012034411395911
