region,M1
TE2a_L,0.4723874079326361
TF_L,0.4816069807896762
TE2p_L,0.5647544832747136
PHT_L,0.102806456272919
PH_L,0.0789065764982122
TPOJ1_L,0.4602353258814551
TPOJ2_L,0.6351427979790202
TPOJ3_L,0.8141076798107674
DVT_L,0.0899457573263019
PGp_L,-0.9106536953289386
IP2_L,0.594528815514919
IP1_L,1.2157882227400278
IP0_L,0.8605232646364249
PFop_L,0.1267344903838532
PF_L,-1.7367216835570884
PFm_L,-1.5858564991762
PGi_L,-0.5374781913317055
PGs_L,-1.982543746503241
V6A_L,-1.7753386064858094
VMV1_L,-1.0953738406610858
VMV3_L,-0.0239018912053284
PHA2_L,0.5216458415648326
V4t_L,-0.3654160176161984
FST_L,0.6063885738727899
V3CD_L,0.3756912685707579
LO3_L,-0.0098169515926436
VMV2_L,-0.2375384560612928
31pd_L,-0.2317180554228239
31a_L,1.924630764348623
VVC_L,-0.9663784601093438
25_L,0.5397458635589063
s32_L,-0.3057837100231265
pOFC_L,0.3638754174032211
PoI1_L,1.056487992200392
Ig_L,-0.5420367964258637
FOP5_L,-1.6336842985303146
p10p_L,-0.1566838368077087
p47r_L,0.8824692078207143
TGv_L,-0.3842412340602343
MBelt_L,0.3411309104617586
LBelt_L,-1.4330317031061306
A4_L,0.2504421071970146
STSva_L,0.5927279285413685
TE1m_L,0.7898843997689468
PI_L,-0.1719779453641969
a32pr_L,0.016570429038652
p24_L,-0.2882374900730332
V1_R,0.7295880639653103
MST_R,0.2119971050020437
V6_R,0.0614509277327012
V2_R,-0.2427541525154128
V3_R,-0.309079825221827
V4_R,0.2964792895398948
V8_R,-0.1222381792300102
4_R,-1.4107689870047757
3b_R,-0.582629407878174
FEF_R,0.2895178568733191
PEF_R,-0.8458015083322526
55b_R,-0.0402873037090281
V3A_R,-0.7130359883154505
RSC_R,-2.408228672358357
POS2_R,0.5722813807044728
V7_R,1.1720428236369
IPS1_R,0.4740584951452734
FFC_R,0.0248965856163558
V3B_R,-0.5757360281713134
LO1_R,-0.3183710965394523
LO2_R,-0.0847537632052253
PIT_R,-0.2659473849482446
MT_R,1.6199481846319992
A1_R,1.1096793648801804
PSL_R,1.042254503390005
SFL_R,-0.3976491871802088
PCV_R,1.4638820141204731
STV_R,1.0460769816345974
7Pm_R,0.9902339298390256
7m_R,1.8628850678322213
POS1_R,-0.1973349867234943
23d_R,1.0312884071459465
v23ab_R,-0.7414021797108962
d23ab_R,1.41892013409651
31pv_R,-0.2590271377201475
5m_R,-0.4051271393760193
5mv_R,0.0265121157259178
23c_R,0.3868489747589057
5L_R,0.0356857853563197
24dd_R,0.1729115369100515
24dv_R,-0.1024499513699227
7AL_R,0.1765267880598098
SCEF_R,-0.1521743786297877
6ma_R,-0.2217141200108187
7Am_R,0.4166832472787994
7Pl_R,-0.6843710340038159
7PC_R,0.2118280492908826
LIPv_R,0.3387767593209071
VIP_R,0.5944159911816318
MIP_R,0.3170228589725851
1_R,-0.5922082888375759
2_R,-0.6333790235058342
3a_R,-2.817433898717205
6d_R,-0.9050804272377212
6mp_R,-1.273059145511152
6v_R,1.3911468291564295
p24pr_R,1.1086569397331223
33pr_R,-0.1835098398720237
a24pr_R,1.292894109465438
p32pr_R,-0.0169292894773045
a24_R,0.2194670164821147
d32_R,0.806997968067905
8BM_R,0.365659563343925
p32_R,0.8423856125187523
10r_R,1.722168657066815
47m_R,-0.0783335987225961
8Av_R,-0.0912165568265254
8Ad_R,-0.2714584777463507
9m_R,0.5167136632065794
8BL_R,-0.5738986933581995
9p_R,-0.0495864924037328
10d_R,-0.3566984984542959
8C_R,-0.8171338837574338
44_R,1.1391245818272586
45_R,1.3729331727899654
47l_R,0.6930923673223394
a47r_R,0.8388324144775733
6r_R,0.4380466847535672
IFJa_R,-2.3986981250658563
IFJp_R,-3.610539387190275
IFSp_R,-0.0300706588507248
IFSa_R,0.8812676709935229
p9-46v_R,1.0525623996838491
46_R,0.8635056915222149
