region,CB1
V6_R,-1.5478170939229476
V2_R,-1.799793632219079
V3_R,-1.0828886851320814
V4_R,-1.0605268229508846
V8_R,-0.3214957376397197
4_R,-1.3551341383574118
3b_R,-1.2170895086732498
FEF_R,-0.1653632031187525
PEF_R,-0.8392960742532332
55b_R,-0.0276602624323546
V3A_R,-1.291489064622828
RSC_R,-2.648167679920278
POS2_R,-0.8377881047576689
V7_R,-0.4761758111121554
IPS1_R,-0.936173010386962
FFC_R,0.6670844839102593
V3B_R,-1.8607941194284392
LO1_R,-1.429945351432722
LO2_R,-1.6730563690689186
PIT_R,-0.8798591548737079
MT_R,-0.2708051615011275
A1_R,-0.4071835282149356
PSL_R,0.7509579843644655
SFL_R,-0.5672567585300075
PCV_R,0.4448746488842242
STV_R,0.400358476871136
7Pm_R,-0.2436814877518079
