region,A4B2
a10p_L,0.4214693122987997
10pp_L,-0.6331602885546284
11l_L,0.0802424524806567
13l_L,-0.1889962917956648
OFC_L,-0.4864965821587559
47s_L,-0.7829764717382054
LIPd_L,0.3071206404622874
6a_L,0.724887598462376
i6-8_L,0.9137402271017934
s6-8_L,0.7411619391024901
43_L,0.5197713870405308
OP4_L,0.1308259286843022
OP1_L,-0.2342379132154281
OP2-3_L,0.0360407523010413
52_L,0.3567421707289149
RI_L,-0.1493308768329324
PFcm_L,0.072297280386282
PoI2_L,-0.187924016841454
TA2_L,-1.662928396952242
FOP4_L,0.6892244657712685
MI_L,0.4958388058043708
Pir_L,-0.9695926444481072
AVI_L,0.6863767412358042
AAIC_L,-0.1274368795670263
FOP1_L,0.3799518141376071
FOP3_L,0.5046004615216418
FOP2_L,-0.1634341161355249
PFt_L,0.8547345707709904
AIP_L,0.0247879850203613
EC_L,-2.142432835597084
PreS_L,-0.932978510093504
H_L,-0.5978249704763119
ProS_L,-0.9161080112459884
PeEc_L,-1.6114532369518226
STGa_L,-1.4853398970131102
PBelt_L,-0.1135665704806717
A5_L,-0.2415761267099931
PHA1_L,-0.6133946655924702
PHA3_L,-0.6662511088773153
STSda_L,-0.6531667928667951
STSdp_L,-0.1264447455099265
STSvp_L,-0.1550930211223189
TGd_L,-1.9012568709409603
TE1a_L,-0.7062805256641024
TE1p_L,0.0685302296061672
TE2a_L,-0.7827156295397872
TF_L,-1.228740009435081
TE2p_L,-0.5278775517262573
PHT_L,-1.2176006440020928
PH_L,-0.5048484362168709
TPOJ1_L,0.093773632163306
TPOJ2_L,-0.567105557109449
TPOJ3_L,0.5832282337180312
DVT_L,-0.0866384847154265
PGp_L,-2.288817214868254
IP2_L,0.649896999880071
IP1_L,1.2618654053108744
IP0_L,0.7972943570010926
PFop_L,-0.1807106418175592
PF_L,-2.255331595960767
PFm_L,-2.265944062452937
PGi_L,-0.8538218210966715
PGs_L,-3.201455705268099
V6A_L,-3.090781293535232
VMV1_L,-0.1188632785173249
VMV3_L,0.3607379715105855
PHA2_L,-0.174298974502827
V4t_L,-1.5027649803213317
FST_L,-0.0266052473534543
V3CD_L,-0.8501109279816292
LO3_L,-0.8661790976494058
VMV2_L,-0.0826590852338069
31pd_L,0.6564955244552148
31a_L,1.1324500970115117
VVC_L,0.414648814674981
25_L,-0.5646132232972553
s32_L,-0.0643906794724242
pOFC_L,-0.924185248576763
PoI1_L,0.0087651854361904
Ig_L,0.5925480240479317
FOP5_L,0.9082624847092506
p10p_L,0.260018065151509
p47r_L,1.3526871447107196
TGv_L,-3.094585794968701
MBelt_L,-0.4525061621463291
LBelt_L,-0.0330483578294407
A4_L,-0.3719262648814272
STSva_L,-0.6236572418884166
TE1m_L,-0.0691942016178601
PI_L,-1.1607461222622597
a32pr_L,1.1723327663542946
p24_L,0.2961220578019814
V1_R,-0.995911293123121
MST_R,0.5435157853710653
V6_R,-0.094021071373543
V2_R,-1.1662634570267103
V3_R,-0.8986906728554371
V4_R,-0.4698980900507045
V8_R,0.479615957924923
4_R,0.7426853147212856
3b_R,0.9007510058792696
FEF_R,1.4517001919906325
PEF_R,1.8254598304378704
55b_R,0.6670600217394601
V3A_R,-1.855719493927998
RSC_R,-0.8555069328701845
POS2_R,0.2992047141099295
V7_R,-0.0674471767197893
IPS1_R,0.7605226445586194
FFC_R,0.3831636911540131
V3B_R,0.3341833382473651
LO1_R,-1.7715098636323754
LO2_R,-2.648891635013893
PIT_R,-2.183541412803979
MT_R,-0.697363107528925
A1_R,0.9608308157139624
PSL_R,-1.59898109320703
SFL_R,0.6968494296203093
PCV_R,0.6730794791236392
STV_R,-0.0734575585172023
7Pm_R,0.4691522032723354
7m_R,0.9351819020269322
POS1_R,-0.2474368910107968
23d_R,1.362075260238086
v23ab_R,-0.7301794458900062
d23ab_R,1.2219548682068635
31pv_R,0.5120045721306583
5m_R,-0.4835563190921844
5mv_R,0.2182897405716795
23c_R,0.5845320931683183
5L_R,-0.5467026312938481
24dd_R,0.9170184113908832
24dv_R,1.217121800422871
7AL_R,-0.3789403188170264
SCEF_R,0.9555292203215622
6ma_R,0.4858204773199526
7Am_R,-0.1488495984249121
7Pl_R,-1.631353914710924
7PC_R,-0.8930943033460039
LIPv_R,0.788850504725677
VIP_R,-0.5348784311974064
MIP_R,0.0995414009320414
