region,NET
V2_R,-0.4473760705865903
V3_R,-0.2100742860421035
V4_R,0.1037101571771766
V8_R,0.4417960504681111
4_R,2.0834566121067595
3b_R,2.413790132501557
FEF_R,1.1835016551028532
PEF_R,1.0118432731464797
55b_R,0.37761119824298
V3A_R,-0.8939453692995676
RSC_R,-1.3718664892348855
POS2_R,0.2436660440690118
V7_R,0.3532005324754149
IPS1_R,0.5110090406707458
FFC_R,0.2821186565328998
V3B_R,-0.1533901203123715
LO1_R,-0.4137791632438494
LO2_R,-0.7774937051135276
PIT_R,-0.3896763505590732
MT_R,0.4851880742561335
A1_R,2.2308891030612688
PSL_R,0.2073410466618089
SFL_R,-0.9176893577110784
PCV_R,0.8639800235011157
STV_R,0.7598270668024889
7Pm_R,0.5079855288444637
7m_R,0.8674100506680634
