region,grad7
V6_R,0.5258029145222163
V2_R,0.669065528184757
V3_R,0.6192231565008506
V4_R,0.3861913594540037
V8_R,-0.19957679751861807
4_R,0.7799217211079541
3b_R,0.12739929744653752
FEF_R,1.592403146835368
PEF_R,0.14277040008780978
55b_R,1.1417517719057262
V3A_R,0.8007119319838987
RSC_R,0.6151336587398265
POS2_R,0.35210667965736075
V7_R,1.1632959435292511
IPS1_R,1.3531567458779776
FFC_R,0.6745498846429135
V3B_R,0.2562232923414705
LO1_R,0.3799228799069756
LO2_R,0.21102060727252073
PIT_R,0.23494314230176097
MT_R,-0.4488145291242114
A1_R,-0.8888927725051081
PSL_R,-1.0359285618629355
SFL_R,0.9577945404926497
PCV_R,0.40342683590045164
STV_R,-1.3925240714739946
7Pm_R,0.572860612341659
7m_R,-0.11652972392314519
