region,myl
24dd_R,1.9585042148518712
24dv_R,1.8107402587383057
7AL_R,1.810148433439449
SCEF_R,1.774070438377079
6ma_R,1.7080897848720114
7Am_R,1.7818191115920607
7Pl_R,1.873026826029756
7PC_R,1.864375568477131
LIPv_R,1.977151406777872
VIP_R,1.8928440910862785
MIP_R,1.92564052653164
1_R,1.978919776710304
2_R,1.9084482807627337
3a_R,2.103855315464202
6d_R,1.9422412007861227
6mp_R,1.892598300862461
6v_R,1.7820642673547946
p24pr_R,1.694528686777222
33pr_R,1.7168534689286643
a24pr_R,1.6458900118568087
p32pr_R,1.717934463723038
a24_R,1.6054130443168528
d32_R,1.6555994236047946
8BM_R,1.6907371473411512
p32_R,1.6190273102504549
10r_R,1.656352402018906
47m_R,1.8768790199454264
8Av_R,1.7226194512571469
8Ad_R,1.6983605779382147
9m_R,1.6306158688360837
8BL_R,1.649323715241684
9p_R,1.634828055970634
10d_R,1.6560271772674116
8C_R,1.7642530413526507
44_R,1.7360432519734277
45_R,1.7439544741180484
47l_R,1.702506400443412
a47r_R,1.646579544162552
6r_R,1.7251251918610315
IFJa_R,1.834993548799701
IFJp_R,1.8350266676682687
IFSp_R,1.8066676530421648
IFSa_R,1.714700996256172
p9-46v_R,1.7225982602569516
46_R,1.6647590113776638
a9-46v_R,1.6795637800886825
9-46d_R,1.6603165148697376
9a_R,1.638936191487461
10v_R,1.6092614314660214
a10p_R,1.6474010443737006
10pp_R,1.6285574232961928
11l_R,1.6339118941658004
13l_R,1.6939168125081212
OFC_R,1.6140205240547036
47s_R,1.7368592958192568
LIPd_R,1.9310828068152288
6a_R,1.802408769571856
i6-8_R,1.7499850267184252
s6-8_R,1.6757510496524168
43_R,1.7825535637425285
OP4_R,1.7957733217742984
OP1_R,1.934084569094335
OP2-3_R,1.9275621822618891
52_R,1.901095130587318
RI_R,2.032909369518256
PFcm_R,1.88315460141632
PoI2_R,1.7320033844692049
TA2_R,1.7281169296550156
FOP4_R,1.69864532407257
MI_R,1.6347855470780277
Pir_R,1.896591218246492
AVI_R,1.74715583785408
AAIC_R,1.6361705756237006
FOP1_R,1.720850193079197
FOP3_R,1.703667591118763
FOP2_R,1.762321995598363
PFt_R,1.7740849040897868
AIP_R,1.8705303485576923
EC_R,1.8327882889650469
PreS_R,2.3392171562337576
H_R,1.8390058806928924
ProS_R,2.0314219389536774
PeEc_R,1.6082271330074065
STGa_R,1.5528342391745713
PBelt_R,1.9886180219432168
A5_R,1.810957244428924
PHA1_R,1.8913701110966736
PHA3_R,1.8390645048970244
STSda_R,1.6708889205837447
STSdp_R,1.84168647877144
STSvp_R,1.7332750982653329
TGd_R,1.51273769450039
TE1a_R,1.5540724534254808
TE1p_R,1.7185167721056394
TE2a_R,1.5987454927884617
TF_R,1.6847029148664892
TE2p_R,1.779027736608303
PHT_R,1.7629271445799766
PH_R,1.8538357740628248
TPOJ1_R,1.8839540223817568
TPOJ2_R,1.8864638235365772
TPOJ3_R,1.887764722542555
DVT_R,2.002638723647024
PGp_R,1.8203618610723105
IP2_R,1.8565416236925023
IP1_R,1.90448619818737
IP0_R,1.926802605452508
PFop_R,1.7510603113630456
PF_R,1.7439568850701663
PFm_R,1.7866554815407354
PGi_R,1.8098281574844075
PGs_R,1.812467008023649
V6A_R,1.998851879222973
VMV1_R,2.13014522560421
VMV3_R,2.0490070430255978
PHA2_R,1.7789240656672298
V4t_R,1.9483995338487523
FST_R,1.88449077645855
V3CD_R,1.9500769220617853
LO3_R,1.916962875397934
VMV2_R,2.005167304849922
31pd_R,1.9121328500600965
31a_R,1.8412890523486227
VVC_R,1.9887202970699065
25_R,1.691242305255977
s32_R,1.592125018272479
pOFC_R,1.933099885492464
PoI1_R,1.7334545238597974
Ig_R,1.878543845829002
FOP5_R,1.7806445972339526
p10p_R,1.6853678300821855
p47r_R,1.6611710070572376
TGv_R,1.5186442734050156
MBelt_R,2.125961716110642
LBelt_R,2.1351369116261694
A4_R,1.866987517866424
STSva_R,1.6487414068590829
TE1m_R,1.662309737810226
PI_R,1.6170797685079912
a32pr_R,1.6662534210141633
p24_R,1.60593837809414
