region,F4
p9-46v_L,0.44389258654791225
46_L,0.04149252010976171
a9-46v_L,-0.2313430465560561
9-46d_L,-0.4771734315238557
9a_L,-0.2472199846832606
10v_L,-0.630258339085219
a10p_L,-1.1332203231918276
10pp_L,-0.3260368841523857
11l_L,-0.41134080278118396
13l_L,-1.5176857868495315
OFC_L,-0.9243396576012163
47s_L,1.4712876377025876
LIPd_L,-1.1412565464359892
6a_L,-0.9706258225109624
i6-8_L,-0.6657529540580195
s6-8_L,0.028213987242635716
43_L,1.2217043245366725
OP4_L,1.3854625653519466
OP1_L,1.298774833500206
OP2-3_L,1.2095864352444765
52_L,-1.6810151465331007
RI_L,-0.3558201851890058
PFcm_L,0.7546442576427878
PoI2_L,2.6608387379738003
TA2_L,-0.0638533985500544
FOP4_L,1.110690391086684
MI_L,1.8917238586375913
Pir_L,4.8538238572304016
AVI_L,1.618079976861401
AAIC_L,4.6121487041974545
FOP1_L,1.7630390235294509
FOP3_L,1.000736337146754
FOP2_L,0.8982781736506387
PFt_L,-0.5765586540181783
AIP_L,-0.8106825746581775
EC_L,1.3265062658498987
PreS_L,2.4618264667218805
H_L,-0.43374973585197263
ProS_L,1.417373782671293
PeEc_L,-0.19545164346039645
STGa_L,1.9970737252840016
PBelt_L,-1.9697106478477169
A5_L,0.996741933024735
PHA1_L,1.5966191292681773
PHA3_L,-0.6469395632019612
STSda_L,0.5008829596458211
STSdp_L,-0.08446097087854114
STSvp_L,-0.6688364258674818
TGd_L,1.3488303813589289
TE1a_L,0.36889373085324767
TE1p_L,0.25554034886605326
TE2a_L,0.1633373774232456
TF_L,-0.31716516190052874
TE2p_L,0.1863300254231192
PHT_L,0.17378807089582307
PH_L,-0.10909338269149732
TPOJ1_L,0.15578064546268483
TPOJ2_L,-0.35635212366695446
TPOJ3_L,-0.6681393908106306
DVT_L,-0.03730776443780681
PGp_L,-0.0797730045130979
IP2_L,-1.0586155159167117
IP1_L,-1.1294940672972509
IP0_L,-0.821559840002033
PFop_L,0.5052183207054857
PF_L,0.5116798890305284
PFm_L,-0.28336581987112863
PGi_L,0.0370296730409325
PGs_L,-0.3820737028286326
V6A_L,-0.8582911942813989
VMV1_L,-0.08995917410004181
VMV3_L,-0.2650392946820025
PHA2_L,0.7207605081053877
V4t_L,-0.3397546307434146
FST_L,-0.3275548334976398
V3CD_L,-0.5955966053094004
LO3_L,-0.6250805503474429
VMV2_L,-0.03498052997794795
31pd_L,-0.0649662155744167
31a_L,0.6028709638014647
VVC_L,0.3837196324268155
25_L,0.7694289598069349
s32_L,-0.6390056000348318
pOFC_L,0.7877136640510277
PoI1_L,1.5954203560511004
Ig_L,0.5802232424334571
FOP5_L,0.8955564704069426
p10p_L,-0.4632788376217604
p47r_L,-0.3630840314659327
TGv_L,0.3743818949142937
MBelt_L,-1.5601555372867844
LBelt_L,-1.9442494067212903
A4_L,-0.1932936249617889
STSva_L,-1.0468553738396476
TE1m_L,0.20135748227034533
PI_L,-1.0475369052548784
a32pr_L,0.3554521335445891
p24_L,0.8033514516768095
V1_R,-1.2397006276620042
MST_R,-0.7494923728966811
V6_R,-1.955595626086901
V2_R,-0.9961693669194077
V3_R,-0.8544255066238081
V4_R,-0.6442717512719695
V8_R,-0.06539705940158608
4_R,0.5853874931621583
3b_R,-2.8032099214263932
FEF_R,-0.3314889110910091
PEF_R,-0.41279908124936115
55b_R,0.13348910855760496
V3A_R,-0.5992635191386064
RSC_R,2.32088263377894
POS2_R,-0.15703084255221364
V7_R,-0.579180975646862
IPS1_R,-1.096115822096733
FFC_R,-0.3213240747731841
V3B_R,-1.4583048923228472
LO1_R,-0.8821572061273742
LO2_R,-0.4682498472823241
PIT_R,-0.2296858510963514
MT_R,-0.7003385404101247
A1_R,-1.2820647861137775
PSL_R,0.05014868315500962
SFL_R,0.15497253854615994
PCV_R,-0.10732222985138663
STV_R,0.1835285035353099
7Pm_R,-0.41401621783476183
7m_R,-0.24682390955450678
POS1_R,1.4947594031987836
23d_R,-0.07796925552142199
v23ab_R,0.5645990137075908
d23ab_R,0.4584439598011147
31pv_R,-0.4457230855902256
5m_R,-0.22207542816902082
5mv_R,-0.6244066656159806
23c_R,-0.8219583828301948
5L_R,-0.41714273934043056
24dd_R,0.44915754057220353
24dv_R,-0.3484078847083782
7AL_R,-0.5438251373462978
SCEF_R,0.43274042280756997
6ma_R,-0.3186592450652943
7Am_R,-0.20647415377824124
7Pl_R,-0.30990023319293386
7PC_R,-0.3585028861573873
LIPv_R,-0.5905160380406432
VIP_R,-0.39642979617634744
