region,dki-rd
IFSa_L,0.0008244130504264357
p9-46v_L,0.0008010501739079425
46_L,0.000816685136229428
a9-46v_L,0.0008312383654312355
9-46d_L,0.0008330736888570536
9a_L,0.0008354561818315672
10v_L,0.0008349789004811253
a10p_L,0.0008607119894079517
10pp_L,0.0008453175841987378
11l_L,0.0008393404126310505
13l_L,0.000819151061315719
OFC_L,0.0007349224686032693
47s_L,0.0008415688040904717
LIPd_L,0.0007898872629389899
6a_L,0.0007993358046851843
i6-8_L,0.0007972338756712336
s6-8_L,0.0007889346337272888
43_L,0.0007953441822852638
OP4_L,0.0007811219090373418
OP1_L,0.0007759498412195003
OP2-3_L,0.0007870591700382979
52_L,0.000850025536657772
RI_L,0.0007988439248798551
PFcm_L,0.0007756378160791156
PoI2_L,0.000837506202104131
TA2_L,0.0008293855462635629
FOP4_L,0.00081933534086134
MI_L,0.0008415633257621872
Pir_L,0.0008136397132715178
AVI_L,0.0008331107710648178
AAIC_L,0.0008391152999290508
FOP1_L,0.0008014845063377688
FOP3_L,0.000821636960189021
FOP2_L,0.0008043940053260437
PFt_L,0.0007911676583588916
AIP_L,0.0007882621687008441
EC_L,0.0008268020926943481
PreS_L,0.0008004768742777543
H_L,0.0008634716946727516
ProS_L,0.0007906308935946317
PeEc_L,0.0008290177417380623
STGa_L,0.0008194579770991029
PBelt_L,0.0008146170658765934
A5_L,0.0007822404331115177
PHA1_L,0.0008148116451779759
PHA3_L,0.0008023204510529487
STSda_L,0.0008008130352209363
STSdp_L,0.0007819756903637546
STSvp_L,0.0007973168533080675
TGd_L,0.0008352885582031416
TE1a_L,0.0008102908791523957
TE1p_L,0.0007723286268170599
TE2a_L,0.0007954490219820424
TF_L,0.0007932564620487927
TE2p_L,0.0007707057559969675
PHT_L,0.0007675928578956111
PH_L,0.0007624454685800768
TPOJ1_L,0.0007679737661649989
TPOJ2_L,0.0007725365575891476
TPOJ3_L,0.0007761375616625268
DVT_L,0.000775745168531586
PGp_L,0.0007665567926031019
IP2_L,0.0007906725663413065
IP1_L,0.0007803749636772487
IP0_L,0.0007706478512846002
PFop_L,0.0007834810253548827
PF_L,0.0007733672757738408
PFm_L,0.0007712497879906626
PGi_L,0.0007693754075262542
PGs_L,0.0007695307788673171
V6A_L,0.0007742752363405171
VMV1_L,0.0007804527063120549
VMV3_L,0.0007667183154911753
PHA2_L,0.0008050509672410831
V4t_L,0.0007528816928006705
FST_L,0.0007647756488361053
V3CD_L,0.0007623867003663848
LO3_L,0.0007636157758975865
VMV2_L,0.0007773258288961099
31pd_L,0.0007849247024657438
31a_L,0.0007848212133771147
VVC_L,0.0007692682199178203
25_L,0.0008189211179604634
s32_L,0.0008418771392754901
pOFC_L,0.0008067374934928456
PoI1_L,0.0008348794176722438
Ig_L,0.0008133584987660989
FOP5_L,0.0008120533895027897
p10p_L,0.0008500947105969111
p47r_L,0.0008299738859542897
TGv_L,0.0008166879000678879
MBelt_L,0.0008207885224987556
LBelt_L,0.0008156250763541889
A4_L,0.0007928166082834829
STSva_L,0.0008240127803227645
TE1m_L,0.0007904943268278057
PI_L,0.0008547788240756126
a32pr_L,0.000828801789730862
p24_L,0.0008577372294102231
V1_R,0.000780653670631743
MST_R,0.0007696934699670575
V6_R,0.0007977883655740035
V2_R,0.0007777836628077253
V3_R,0.0007608757541067242
V4_R,0.0007568325437296105
V8_R,0.0007512616063724474
4_R,0.0007514540179870094
3b_R,0.000825854408458997
FEF_R,0.0007784651721046765
PEF_R,0.0007991814723890062
55b_R,0.0007719194009998933
V3A_R,0.0007626071369090206
RSC_R,0.0007755921637423901
POS2_R,0.0007653131142823805
V7_R,0.0007680036454873119
IPS1_R,0.0007763096050216956
FFC_R,0.0007644560958231032
V3B_R,0.0007743153423746493
LO1_R,0.0007575416366524273
LO2_R,0.0007485291870835259
PIT_R,0.0007426034048730345
MT_R,0.0007645369810765699
A1_R,0.0008095368506955224
PSL_R,0.0007664045232534352
SFL_R,0.0007805113816105167
PCV_R,0.000777681089858436
STV_R,0.000763091680421682
7Pm_R,0.0007731219059813891
7m_R,0.000784303508947453
POS1_R,0.0007732171367524803
23d_R,0.0008166829637320219
v23ab_R,0.0007889605113515583
d23ab_R,0.0007920422314316266
31pv_R,0.0007940044104419516
5m_R,0.000753037057551221
5mv_R,0.0007883701318308437
23c_R,0.0008058822165813819
5L_R,0.0007665869992677422
24dd_R,0.000783917572467849
24dv_R,0.0008123248405176981
7AL_R,0.0007656873682344133
SCEF_R,0.0007845943384943593
6ma_R,0.0007747778918695221
7Am_R,0.0007646143259425639
7Pl_R,0.0007631015664346411
7PC_R,0.000763959020273281
LIPv_R,0.0007685460184400779
VIP_R,0.0007613904336847499
MIP_R,0.0007627106834809428
1_R,0.000764704475527369
2_R,0.0007713876832583224
3a_R,0.0008213551863222116
6d_R,0.0007734407968686474
6mp_R,0.0007767720003505251
6v_R,0.0007774197789083908
p24pr_R,0.0008338013717695605
33pr_R,0.0008207395158588553
a24pr_R,0.0008489363602995635
p32pr_R,0.0008254026166888341
a24_R,0.00087354555596067
d32_R,0.0008360707269538866
8BM_R,0.0008022739905662812
p32_R,0.0008668576643592954
10r_R,0.0008677168202421261
47m_R,0.0008330243917430267
8Av_R,0.000789225832058591
8Ad_R,0.00080879514774592
9m_R,0.0008389883419131941
8BL_R,0.0007997399513383672
9p_R,0.0008227781269668972
10d_R,0.0008572429483489453
8C_R,0.0007901356776121119
44_R,0.0007952691268897153
45_R,0.0007972371564970748
47l_R,0.0008086790204578913
a47r_R,0.0008380499823599129
6r_R,0.0008045536441275001
IFJa_R,0.00080854714459243
IFJp_R,0.000803891656944955
IFSp_R,0.0008156844850640817
IFSa_R,0.0008295840031771507
p9-46v_R,0.0008067782940928032
46_R,0.0008266154809350719
a9-46v_R,0.0008331391341319142
9-46d_R,0.0008393199210172229
9a_R,0.0008412416437846868
10v_R,0.0008590145878226917
a10p_R,0.0008631697711575606
10pp_R,0.0008419660560664584
11l_R,0.0008382153170447094
13l_R,0.0008159234832775271
OFC_R,0.0007534296782294945
47s_R,0.0008245378701602427
LIPd_R,0.0007760408779264352
6a_R,0.0007935065358952477
i6-8_R,0.0007951201235325742
s6-8_R,0.0007846938007638323
43_R,0.0007886524844770979
OP4_R,0.0007801907430750405
OP1_R,0.0007808462036669724
OP2-3_R,0.000798695690712019
52_R,0.0008487619987490178
RI_R,0.0008054796147581519
PFcm_R,0.000771473005359133
PoI2_R,0.0008196820020682185
TA2_R,0.0008351209792337119
FOP4_R,0.0008328122101915256
MI_R,0.0008315802851041323
Pir_R,0.0008146178535809249
AVI_R,0.0008288222040194448
AAIC_R,0.0008385940402482158
FOP1_R,0.0008076877307298813
FOP3_R,0.0008326599575871743
FOP2_R,0.0008177623585562806
PFt_R,0.0007803279620225229
AIP_R,0.00077915957016546
EC_R,0.000817226090946586
PreS_R,0.0008135657367045235
H_R,0.0008559889396106072
ProS_R,0.0008051091521100309
PeEc_R,0.0008110823433162295
STGa_R,0.0008103377136736631
PBelt_R,0.0008027168409119879
A5_R,0.0007695606520590029
PHA1_R,0.0008074343740363234
PHA3_R,0.000805876758364178
STSda_R,0.0007958299631262606
STSdp_R,0.0007890249869931022
STSvp_R,0.0007897318611383538
TGd_R,0.0008243970279478345
TE1a_R,0.0007973489992955469
TE1p_R,0.000775671496227376
TE2a_R,0.0008006630841653879
TF_R,0.0007870259792224526
TE2p_R,0.000777461576969475
PHT_R,0.0007699837611230546
PH_R,0.0007637581607113187
TPOJ1_R,0.00077153086965308
TPOJ2_R,0.0007679153756160508
TPOJ3_R,0.0007694811078053049
DVT_R,0.0007794944194906317
PGp_R,0.0007607386795000931
IP2_R,0.0007804112742999758
IP1_R,0.0007715442999210209
IP0_R,0.0007705920620772384
PFop_R,0.0007703115305697034
PF_R,0.0007611206032669339
PFm_R,0.0007616867119648612
PGi_R,0.0007616144390286849
PGs_R,0.0007574864366100373
V6A_R,0.0007699335556947269
VMV1_R,0.0007936841133634172
VMV3_R,0.0007852945914123623
PHA2_R,0.0008035871329680575
V4t_R,0.0007556158648235461
FST_R,0.0007674201199238121
V3CD_R,0.0007604222011236061
LO3_R,0.0007616823671801973
VMV2_R,0.0007940971372403774
31pd_R,0.0007915751393453294
31a_R,0.0007840438708536379
VVC_R,0.0007800596096845385
25_R,0.0008325841609617576
s32_R,0.0008412617004452937
pOFC_R,0.0008085830652971709
PoI1_R,0.0008205142596697087
Ig_R,0.0008105178138760386
FOP5_R,0.0008207798038475583
p10p_R,0.0008512867277610479
p47r_R,0.0008228498930939182
TGv_R,0.0008040268686022058
MBelt_R,0.0008245647787921028
LBelt_R,0.0008127093273647018
A4_R,0.0007782393512382072
STSva_R,0.0008181977680453563
TE1m_R,0.0007937939743691122
PI_R,0.0008556046806892933
a32pr_R,0.0008400502203977749
p24_R,0.0008633197213910003
