region,rtpp
V7_R,50.984075681539565
IPS1_R,50.67431599018978
FFC_R,51.674903857421576
V3B_R,50.13299769784202
LO1_R,50.39114915460479
LO2_R,50.87933810156259
PIT_R,51.17307532251637
MT_R,50.65869533840336
A1_R,50.2410863602305
PSL_R,49.5391309005297
SFL_R,49.90826460135413
PCV_R,49.54460079550268
STV_R,50.01766432107036
7Pm_R,49.37492167544534
7m_R,49.64633481860408
POS1_R,51.25601934044649
23d_R,49.541623776144775
v23ab_R,50.50756855430634
d23ab_R,50.42329637510456
31pv_R,50.10588644452677
5m_R,50.73772202158631
5mv_R,49.53859584307209
23c_R,49.64809254327164
5L_R,50.03889360065388
24dd_R,50.23663517603261
24dv_R,49.69540773075715
7AL_R,50.39929809805246
SCEF_R,49.660067247127394
6ma_R,50.61318886852664
7Am_R,49.59018520883179
7Pl_R,50.12519717896792
7PC_R,50.74720106164056
LIPv_R,50.78448762547161
VIP_R,50.58869107396684
MIP_R,50.61215317750233
1_R,50.71559668103035
2_R,50.94419480380252
3a_R,49.59219797842634
6d_R,50.79432214956812
6mp_R,50.61639296964277
6v_R,49.6814236001959
p24pr_R,48.83612268912679
33pr_R,48.955867813392274
a24pr_R,48.83603412291372
p32pr_R,49.553394579391465
a24_R,49.11541346264888
d32_R,48.56937449840457
8BM_R,49.10902990089541
p32_R,48.978840689278094
10r_R,49.51008130524593
47m_R,49.96580766190249
8Av_R,50.33386986005026
8Ad_R,50.20264284041474
9m_R,48.07639511964221
8BL_R,49.53295144052986
9p_R,49.1534462104916
10d_R,48.05427267547838
8C_R,50.52459236269449
44_R,49.69287818550828
45_R,49.65251839392721
47l_R,49.53716456514641
a47r_R,49.00477542345919
6r_R,49.34087440012749
IFJa_R,50.07151924696085
IFJp_R,50.098636439103714
IFSp_R,49.74453741657393
IFSa_R,48.91001038380943
p9-46v_R,49.77892806005809
46_R,49.105278829649386
a9-46v_R,48.75916130177672
9-46d_R,48.879211860020575
9a_R,48.62111504855796
10v_R,49.512365771299415
a10p_R,48.78771463416131
10pp_R,49.42304663444195
11l_R,50.54841180997332
13l_R,51.233025563101066
OFC_R,52.11148224946589
47s_R,49.91608174087767
LIPd_R,50.322607185905376
6a_R,50.64359325565962
i6-8_R,50.25082167894556
s6-8_R,50.62786198901807
43_R,50.23699877383985
OP4_R,50.03627466404937
OP1_R,50.515736855871246
OP2-3_R,50.87094150409824
52_R,49.34258822468759
RI_R,49.85884208920253
PFcm_R,50.367899851632366
PoI2_R,49.47054729841481
TA2_R,48.70855937551409
FOP4_R,49.59468009503816
MI_R,49.02747290691018
Pir_R,48.497771422443314
AVI_R,49.90731487252509
AAIC_R,48.64938578195291
FOP1_R,49.75263757395005
FOP3_R,50.00257952143938
FOP2_R,50.179144207731646
PFt_R,49.686060899370254
AIP_R,50.38127119878818
EC_R,50.759096316675056
PreS_R,48.93560215229386
H_R,50.459359632638304
ProS_R,50.38033114255415
PeEc_R,51.53994215357647
STGa_R,49.4332711459772
PBelt_R,49.49510196369759
A5_R,50.89199766127504
PHA1_R,51.08735677149158
PHA3_R,51.3775192670449
STSda_R,51.18294823874265
STSdp_R,50.78955628630207
STSvp_R,49.29894825663372
TGd_R,49.61812647240956
TE1a_R,49.77873529408789
TE1p_R,50.10563571827623
TE2a_R,50.21895431584545
TF_R,51.89209627074862
TE2p_R,51.10694344571426
PHT_R,50.02108066562455
PH_R,50.844275921650585
TPOJ1_R,50.21617842041066
TPOJ2_R,50.13674447403866
TPOJ3_R,50.24284240927671
DVT_R,49.59579392347642
PGp_R,50.15333212395456
IP2_R,49.53057235600082
IP1_R,49.70684943187596
IP0_R,49.11752231260208
PFop_R,49.97033420399452
PF_R,50.15065705034541
PFm_R,49.974973510119256
PGi_R,50.062244296634745
PGs_R,50.21916690671771
V6A_R,49.93411812657888
VMV1_R,51.6728013019624
VMV3_R,50.98606215911887
PHA2_R,52.07054369577207
V4t_R,50.692053116251365
FST_R,50.4435445479676
V3CD_R,50.19802893302083
LO3_R,50.18866742121127
VMV2_R,51.484971442512766
31pd_R,49.56451571470754
31a_R,49.82740333763165
VVC_R,51.70282708711706
25_R,51.259499969904674
s32_R,51.25241410911785
pOFC_R,50.63654257352377
PoI1_R,49.816349193890325
