region,qiv
PHA3_R,5.035020898713598e-09
STSda_R,5.140497993449194e-09
STSdp_R,5.09197583095629e-09
STSvp_R,5.311944511227157e-09
TGd_R,5.399190982255379e-09
TE1a_R,5.272958132525631e-09
TE1p_R,5.102858904198621e-09
TE2a_R,5.1182718024543695e-09
TF_R,4.671354004110671e-09
TE2p_R,4.8006386616455814e-09
PHT_R,5.078021691972074e-09
PH_R,4.878577149033027e-09
TPOJ1_R,4.9837332006215835e-09
TPOJ2_R,4.96316642413721e-09
TPOJ3_R,4.954493202431535e-09
DVT_R,4.940903565301351e-09
PGp_R,4.928805298249152e-09
IP2_R,5.061466092605315e-09
IP1_R,4.968624216134822e-09
IP0_R,5.053636247877204e-09
PFop_R,4.973268528616178e-09
PF_R,4.898535364715737e-09
PFm_R,4.898502357833861e-09
PGi_R,4.9473108622045175e-09
PGs_R,4.868064075189922e-09
V6A_R,4.7581332269931556e-09
VMV1_R,4.837299438298145e-09
VMV3_R,4.9520140525512605e-09
PHA2_R,5.002946851450695e-09
V4t_R,4.75427968801985e-09
FST_R,4.945696294219986e-09
V3CD_R,4.881701548962983e-09
LO3_R,4.8727621460624585e-09
VMV2_R,4.9713107240977954e-09
31pd_R,5.167395243228061e-09
31a_R,5.019704240369215e-09
VVC_R,4.7387929733684095e-09
25_R,5.051374347791074e-09
s32_R,5.096107832320878e-09
pOFC_R,4.7221081695486285e-09
PoI1_R,5.416133030216416e-09
Ig_R,5.111260125930949e-09
FOP5_R,5.181511846866713e-09
p10p_R,5.702641436019071e-09
p47r_R,5.4949730699664065e-09
TGv_R,4.923433933693606e-09
MBelt_R,5.220654389949477e-09
LBelt_R,5.196544008513926e-09
A4_R,4.9887320088205675e-09
STSva_R,5.487694544615651e-09
TE1m_R,5.243452761758693e-09
PI_R,5.875202171018129e-09
a32pr_R,5.590084643713809e-09
p24_R,5.938932613405027e-09
