region,rtap
PHT_L,3358.8811159426104
PH_L,3457.602325196709
TPOJ1_L,3454.807766386105
TPOJ2_L,3387.82059791469
TPOJ3_L,3365.8499329259907
DVT_L,3586.274842072674
PGp_L,3397.2156696831707
IP2_L,3324.217386833892
IP1_L,3372.7533003978865
IP0_L,3467.067013694495
PFop_L,3315.1978194430635
PF_L,3342.1842341457836
PFm_L,3351.2146124414558
PGi_L,3390.309453042563
PGs_L,3370.102200649487
V6A_L,3444.996133464005
VMV1_L,3706.0865447638353
VMV3_L,3647.5942467832124
PHA2_L,3570.8486373963547
V4t_L,3500.649332493067
FST_L,3425.3605381472516
V3CD_L,3448.029394888626
LO3_L,3456.3907219777157
VMV2_L,3642.733075271102
31pd_L,3540.388948553478
31a_L,3538.1537788261703
VVC_L,3707.0608275418467
25_L,3841.3935397013815
s32_L,3705.0704426299976
pOFC_L,3731.0662180297572
PoI1_L,3267.5677323511704
Ig_L,3475.0930665376713
FOP5_L,3594.9148148228674
p10p_L,3100.904081769731
p47r_L,3103.413293794289
TGv_L,3601.391186584696
MBelt_L,3463.316642436745
LBelt_L,3329.1384932706674
A4_L,3317.241677568068
STSva_L,3169.454077796637
TE1m_L,3285.9363522474264
PI_L,3276.9619800309742
a32pr_L,3521.582064676975
p24_L,3370.111843524758
V1_R,3469.251327882327
MST_R,3496.280637198574
V6_R,3227.7486570208903
V2_R,3487.35021896111
V3_R,3530.764958807274
V4_R,3563.032295258502
V8_R,3609.553679127811
4_R,3731.8816514890573
3b_R,3118.7224199665025
FEF_R,3507.401877708612
PEF_R,3405.4137422943213
55b_R,3554.248458384848
V3A_R,3540.2306391674383
RSC_R,3820.4281179536724
POS2_R,3564.5764843082857
V7_R,3635.8185156025474
IPS1_R,3524.309125208964
FFC_R,3707.2756326423555
V3B_R,3384.999381921906
LO1_R,3447.5705426820195
LO2_R,3541.1922957044076
PIT_R,3609.4978710425003
MT_R,3502.4994421214224
A1_R,3361.9771031069567
PSL_R,3383.3201021206896
SFL_R,3467.0804337062873
PCV_R,3394.645763964514
STV_R,3468.076469501967
7Pm_R,3346.9717883012054
7m_R,3368.673970425804
POS1_R,3742.6798556042804
23d_R,3374.9560369434525
v23ab_R,3543.439743381345
d23ab_R,3507.086578859809
31pv_R,3399.742179221354
5m_R,3626.4097644762733
5mv_R,3362.563473280669
23c_R,3345.2774904601815
5L_R,3474.4344441580533
24dd_R,3522.778093471632
24dv_R,3396.0014517185828
7AL_R,3509.9650709153416
SCEF_R,3451.110872425295
6ma_R,3576.1786790903543
7Am_R,3405.8059837820606
7Pl_R,3484.9991991588363
7PC_R,3577.675707925175
LIPv_R,3604.5890777395634
VIP_R,3560.676151780452
MIP_R,3557.583961550059
1_R,3595.7690043237244
2_R,3608.4523217437213
3a_R,3302.457578188729
6d_R,3515.7306112784004
6mp_R,3503.8735290964814
6v_R,3423.584202800899
p24pr_R,3263.4427323882874
33pr_R,3537.3114535649056
a24pr_R,3231.919480767209
p32pr_R,3356.092344126521
a24_R,3336.5162412934897
d32_R,3311.17342801929
8BM_R,3385.482501726527
p32_R,3306.906914519118
10r_R,3334.7037628119774
47m_R,3479.225273058439
8Av_R,3485.450990364931
