region,ad
s32_L,0.0009154042923723
pOFC_L,0.000973933357288
PoI1_L,0.0010001725259727
Ig_L,0.0009553868840813
FOP5_L,0.0009481200746521
p10p_L,0.0010251138137997
p47r_L,0.0010074614806427
TGv_L,0.0009591004563792
MBelt_L,0.0009401402643676
LBelt_L,0.0009406148473145
A4_L,0.000955886126981
STSva_L,0.0009569216341013
TE1m_L,0.0009433750154575
PI_L,0.0009739754506436
a32pr_L,0.0009153911283463
p24_L,0.0009549967319639
V1_R,0.0009293964326763
MST_R,0.0008974894506647
V6_R,0.0009608129528181
V2_R,0.0009166724511752
V3_R,0.0008989191831369
V4_R,0.0008881632853273
V8_R,0.000889030211497
4_R,0.0008959812900366
3b_R,0.0010074865047488
FEF_R,0.0009193529370864
PEF_R,0.0009371688293549
55b_R,0.0009142784167292
V3A_R,0.0009096250720465
RSC_R,0.0009601334082403
POS2_R,0.0009140859302345
V7_R,0.0008932015831034
IPS1_R,0.0008994975774692
FFC_R,0.000873900290723
V3B_R,0.0009105435489309
LO1_R,0.0009003081829742
LO2_R,0.0008872724791912
PIT_R,0.0008798589999677
MT_R,0.0008968747910715
A1_R,0.0009454198950713
PSL_R,0.0009283722604467
SFL_R,0.0009446992843538
PCV_R,0.0009480595343565
STV_R,0.0009139550858582
7Pm_R,0.0009487887758377
7m_R,0.000943899824262
POS1_R,0.0009016495747947
23d_R,0.0009694306269871
v23ab_R,0.0009302587738805
d23ab_R,0.0009313862325823
31pv_R,0.0009302317240553
5m_R,0.0009186275795546
5mv_R,0.0009605580348942
23c_R,0.0009442792547743
5L_R,0.000936722187952
24dd_R,0.0009493425844371
24dv_R,0.0009635876605405
7AL_R,0.000915686895209
SCEF_R,0.0009677061315157
6ma_R,0.0009165331165363
7Am_R,0.0009423459957288
7Pl_R,0.0009222616919915
7PC_R,0.0009047839061485
LIPv_R,0.0009064616950984
VIP_R,0.0009090093673459
MIP_R,0.0009038095870175
1_R,0.0009109954727502
2_R,0.0008998744761109
3a_R,0.0009632644867672
6d_R,0.0009071230645727
6mp_R,0.0009182647641406
6v_R,0.0009454778606878
p24pr_R,0.0009868883957195
33pr_R,0.0010044363874796
a24pr_R,0.0009873558538387
p32pr_R,0.0009667293715981
a24_R,0.0009901790627961
d32_R,0.0009930670708907
8BM_R,0.0009820504450784
p32_R,0.0009901945602446
10r_R,0.0009880871975225
47m_R,0.0009740842052995
8Av_R,0.0009269254387524
8Ad_R,0.0009299706689722
9m_R,0.0010085254431648
8BL_R,0.0009500493139219
9p_R,0.0009603500494752
10d_R,0.0010121602926491
8C_R,0.0009199905229241
44_R,0.0009553067219964
45_R,0.0009600859356721
47l_R,0.0009697827693284
a47r_R,0.0009828942822966
6r_R,0.0009611567501708
IFJa_R,0.0009423895570457
IFJp_R,0.0009363569153705
IFSp_R,0.0009553818415586
IFSa_R,0.0009825774592354
p9-46v_R,0.0009477093736488
46_R,0.0009691051865289
a9-46v_R,0.0009866697280166
9-46d_R,0.0009763077060017
9a_R,0.000980473747087
10v_R,0.0009967718419567
a10p_R,0.0009897997574373
10pp_R,0.000992977998835
11l_R,0.0009473790404508
13l_R,0.0009547526862019
OFC_R,0.0008816893490417
47s_R,0.00098118657863
LIPd_R,0.0009140145884773
6a_R,0.0009151063887855
i6-8_R,0.0009343811454374
s6-8_R,0.0009141111148114
43_R,0.0009308373530545
OP4_R,0.0009300916715177
OP1_R,0.0009233659983765
OP2-3_R,0.0009199957111142
52_R,0.000975395462512
RI_R,0.0009441318634215
PFcm_R,0.0009154626816732
PoI2_R,0.0009736523019134
TA2_R,0.0009946098692297
FOP4_R,0.0009673036207662
MI_R,0.0009805694852551
Pir_R,0.0010391647467019
AVI_R,0.0009620967441872
AAIC_R,0.0010125333633146
FOP1_R,0.0009600693119202
FOP3_R,0.0009483444877024
FOP2_R,0.0009435627495862
PFt_R,0.0009323722381031
