region,rd
PGp_R,0.0007218369089124
IP2_R,0.0007630488860901
IP1_R,0.0007535262713128
IP0_R,0.0007700788447068
PFop_R,0.0007286789153211
PF_R,0.000720550251057
PFm_R,0.0007311051350349
PGi_R,0.0007244114812348
PGs_R,0.0007211223596361
V6A_R,0.0007454203120111
VMV1_R,0.0007098803247934
VMV3_R,0.0007319021190445
PHA2_R,0.0007050869157079
V4t_R,0.0007217099977679
FST_R,0.0007241998051517
V3CD_R,0.000733259362223
LO3_R,0.00073245418748
VMV2_R,0.0007144881246631
31pd_R,0.0007643778066274
31a_R,0.0007481042506981
VVC_R,0.000705280260927
25_R,0.0007243303776248
s32_R,0.0007466019244805
pOFC_R,0.0007574460811424
PoI1_R,0.0007376998531313
Ig_R,0.0007243534888604
FOP5_R,0.0007506360006483
p10p_R,0.0007934461077888
p47r_R,0.0007841674378701
TGv_R,0.0007591654965862
MBelt_R,0.0007937431040114
LBelt_R,0.0007910872158773
A4_R,0.0007539599929609
STSva_R,0.0007681057786042
TE1m_R,0.0007499760583249
PI_R,0.0008117536884501
a32pr_R,0.0007836762618587
p24_R,0.0007898325695152
