region,msd_icc
LO2_R,0.927208077207669
PIT_R,0.8855132570251537
MT_R,0.8772523040634307
A1_R,0.9076746489946027
PSL_R,0.8571321813868522
SFL_R,0.9071985722819008
PCV_R,0.8340032268227092
STV_R,0.9013358203685601
7Pm_R,0.9050633308085012
7m_R,0.8427318601501401
POS1_R,0.8880777185511565
23d_R,0.9044273399775856
v23ab_R,0.8852088125414594
d23ab_R,0.9025641187139849
31pv_R,0.8929974618614572
5m_R,0.9058769760547724
5mv_R,0.9082048723303374
23c_R,0.8358847612545495
5L_R,0.8716960143946977
24dd_R,0.8460055959799692
24dv_R,0.8755457958715874
7AL_R,0.9085599939763224
SCEF_R,0.869146246514149
6ma_R,0.8936914356197669
7Am_R,0.8657346886254399
7Pl_R,0.9516934808217227
7PC_R,0.9369328503304319
LIPv_R,0.9020951994739251
VIP_R,0.9346160256823335
MIP_R,0.9298846700268107
1_R,0.8781949825585956
2_R,0.9341999838095936
3a_R,0.917599538272109
6d_R,0.9208557021141426
6mp_R,0.8849831976076289
6v_R,0.8663670615879159
p24pr_R,0.9206506006325702
33pr_R,0.9143655333733253
a24pr_R,0.8845136288749856
p32pr_R,0.9203256844107173
a24_R,0.8901835824378058
d32_R,0.8609781412551349
8BM_R,0.8699108415207577
p32_R,0.8432269718499744
10r_R,0.8687320357911504
47m_R,0.8484748824495246
8Av_R,0.8974096738725496
8Ad_R,0.8902310246737694
9m_R,0.8530296056020044
8BL_R,0.890165368337494
9p_R,0.9264067123811675
10d_R,0.881944508204232
8C_R,0.8944452740198322
44_R,0.8581542787180021
45_R,0.8628008727796549
47l_R,0.886513724138864
a47r_R,0.8909311633310325
6r_R,0.8813336723541545
IFJa_R,0.9095180334771653
IFJp_R,0.9281763305599522
IFSp_R,0.8604217481279559
IFSa_R,0.8395876382741395
p9-46v_R,0.8853048084628473
46_R,0.9119536223435091
a9-46v_R,0.8919016116979596
9-46d_R,0.9045009679713228
9a_R,0.9012106915837285
10v_R,0.8603985722447123
a10p_R,0.8375512040275798
10pp_R,0.9066634023653823
11l_R,0.8289490212641254
13l_R,0.8097376717208917
OFC_R,0.8768273366640583
47s_R,0.8937622896818734
LIPd_R,0.9209045267909493
6a_R,0.9026075513115663
i6-8_R,0.9023667953995911
s6-8_R,0.8761566096547961
43_R,0.8909083383302752
OP4_R,0.8188881740109751
OP1_R,0.8367072554703721
OP2-3_R,0.9096009834258615
52_R,0.8688345093056561
RI_R,0.8707397762498613
PFcm_R,0.8124908571641991
PoI2_R,0.8607341830323205
TA2_R,0.8542395238490949
FOP4_R,0.8906139662857931
MI_R,0.7710712581115181
Pir_R,0.8403016252237678
AVI_R,0.8019621018022628
AAIC_R,0.875300501865227
FOP1_R,0.9017972614276337
FOP3_R,0.8545332299013498
FOP2_R,0.8362397190807034
PFt_R,0.9123372658655748
AIP_R,0.9335143778848519
EC_R,0.8766108286861491
PreS_R,0.8657568207730156
H_R,0.8999727811311488
ProS_R,0.9045442689602694
PeEc_R,0.8475806499046799
STGa_R,0.8122405868993827
PBelt_R,0.8750485181753586
A5_R,0.8827834094573089
PHA1_R,0.8935855021650237
PHA3_R,0.900912461562215
STSda_R,0.8581709818855959
STSdp_R,0.8944712302769925
STSvp_R,0.831662430581942
TGd_R,0.8388131591908798
TE1a_R,0.8987051853309148
TE1p_R,0.8999571143458857
TE2a_R,0.909400749508093
TF_R,0.8569974850651426
TE2p_R,0.88523509404094
PHT_R,0.8419360867558816
PH_R,0.9013207024841723
TPOJ1_R,0.8367273775056334
TPOJ2_R,0.9041968132298918
TPOJ3_R,0.8872931077201017
DVT_R,0.9104428947675872
PGp_R,0.8847962507465076
IP2_R,0.9272402106740127
IP1_R,0.9047254810329327
IP0_R,0.9032375908875244
PFop_R,0.8513158382541961
PF_R,0.8329249896953098
PFm_R,0.8622217207188329
PGi_R,0.8440905498013942
PGs_R,0.8730253814217251
V6A_R,0.8920740915204743
VMV1_R,0.9203657203687351
VMV3_R,0.8917504941782005
PHA2_R,0.9132458973432397
V4t_R,0.930038554429855
FST_R,0.872768209471132
V3CD_R,0.9031223436221911
LO3_R,0.896106166681287
VMV2_R,0.9231528029271948
31pd_R,0.8680545720753974
31a_R,0.8437998218569873
VVC_R,0.923519243275685
25_R,0.879909498375807
s32_R,0.8889889502740169
pOFC_R,0.8629760981267959
PoI1_R,0.8655095686108081
Ig_R,0.8319139088632366
FOP5_R,0.8789930217815549
p10p_R,0.8668252194648455
p47r_R,0.7709742110046379
TGv_R,0.8832205654717223
MBelt_R,0.8494402476208277
LBelt_R,0.8893978109625663
A4_R,0.842116024175987
STSva_R,0.8824342489209682
TE1m_R,0.9200383766991824
PI_R,0.8926114847723432
a32pr_R,0.8852758886343387
p24_R,0.8448281178959681
