region,myl_icc
FEF_R,0.9443394409409288
PEF_R,0.9530333595297652
55b_R,0.9482875183883472
V3A_R,0.960326131869265
RSC_R,0.9172215296029056
POS2_R,0.9480239281580174
V7_R,0.9620905833688982
IPS1_R,0.9530299423197368
FFC_R,0.9248623532757856
V3B_R,0.949186208867084
LO1_R,0.963207980784294
LO2_R,0.9620487745286296
PIT_R,0.9539768380143748
MT_R,0.9626622237361744
A1_R,0.9188972017573714
PSL_R,0.94801565198894
SFL_R,0.92401008464768
PCV_R,0.9484011327046764
STV_R,0.9508449565189492
7Pm_R,0.9430045538647456
7m_R,0.952424086666062
POS1_R,0.9332473947900812
23d_R,0.9248065446546484
v23ab_R,0.9167760631184207
d23ab_R,0.9012608636879208
31pv_R,0.9342250828685748
5m_R,0.9400820106521784
