region,dki-ad_icc
FOP1_L,0.8079039962558666
FOP3_L,0.8620860590689499
FOP2_L,0.8118301873679967
PFt_L,0.8093096638750001
AIP_L,0.7212284608260301
EC_L,0.8463177406941844
PreS_L,0.8327251327747363
H_L,0.86821782634065
ProS_L,0.8494146991624172
PeEc_L,0.8124812864348424
STGa_L,0.8605679791774616
PBelt_L,0.8344782410666746
A5_L,0.8028854515315036
PHA1_L,0.8658804217308432
PHA3_L,0.8356469418215372
STSda_L,0.8631299845591575
STSdp_L,0.8649653368218287
STSvp_L,0.865053153781131
TGd_L,0.888924623613054
TE1a_L,0.9053140435334306
TE1p_L,0.8921271749515691
TE2a_L,0.8354978830228649
TF_L,0.8598202400478918
TE2p_L,0.8250876570458413
PHT_L,0.8769159783652607
PH_L,0.8739564798382761
TPOJ1_L,0.8284105787503954
TPOJ2_L,0.8838360091089399
TPOJ3_L,0.8763854633955068
DVT_L,0.8141637370972038
PGp_L,0.8242830284699751
IP2_L,0.7550279005873959
IP1_L,0.7751895796928
IP0_L,0.8472281347806531
PFop_L,0.7687939240635501
PF_L,0.758927285116035
PFm_L,0.7480284609181388
PGi_L,0.8063850662708889
PGs_L,0.7689770523218701
V6A_L,0.7089726499767626
VMV1_L,0.8764817002546175
VMV3_L,0.8696285231364372
PHA2_L,0.8542686214540499
V4t_L,0.848479391787392
FST_L,0.8767111433622068
V3CD_L,0.886647845482847
LO3_L,0.858824852145419
VMV2_L,0.8539279892925384
31pd_L,0.7622886826971459
31a_L,0.7751426149884473
VVC_L,0.873138924593506
25_L,0.8782223596708276
s32_L,0.8944424144010605
pOFC_L,0.9047235423430026
PoI1_L,0.8842464469821828
Ig_L,0.8902646890245126
FOP5_L,0.8576602543744355
p10p_L,0.8267497403644873
p47r_L,0.8050834559547089
TGv_L,0.8692392907891497
MBelt_L,0.8436135139594991
LBelt_L,0.8540010768129568
A4_L,0.8314827135986326
STSva_L,0.8985583827825065
TE1m_L,0.8469391887864324
PI_L,0.8673668910640269
a32pr_L,0.7960365633406059
p24_L,0.8365619768712272
V1_R,0.8818143384411395
MST_R,0.8259572407428067
V6_R,0.858090011218101
V2_R,0.8677390639177269
V3_R,0.8375180304632139
V4_R,0.852787211980624
V8_R,0.8703024289619822
4_R,0.6826877084718675
3b_R,0.8280475680958861
FEF_R,0.7648344800240798
PEF_R,0.8585155645616072
55b_R,0.807613752999652
V3A_R,0.8673058052262416
RSC_R,0.8431070552813326
POS2_R,0.7737669134578595
V7_R,0.8569823819050032
IPS1_R,0.8133080434241461
FFC_R,0.891660763597676
V3B_R,0.8618044571830983
LO1_R,0.9058804086585489
LO2_R,0.8618967623768177
PIT_R,0.8553627908539155
MT_R,0.8385028820650954
A1_R,0.7609474541053746
PSL_R,0.8187619374089865
SFL_R,0.7366846164609884
PCV_R,0.759311084738179
STV_R,0.8372880111455846
7Pm_R,0.7775019114318723
7m_R,0.8081526030126032
POS1_R,0.8632566332322545
23d_R,0.8617025539971255
v23ab_R,0.8309810992331605
d23ab_R,0.8277277255018429
31pv_R,0.8044018358548499
