region,kfa_icc
3b_R,0.8493668561263255
FEF_R,0.8381539062777134
PEF_R,0.879109150319034
55b_R,0.8915323684671117
V3A_R,0.8273677150840607
RSC_R,0.904155559691574
POS2_R,0.8668002423692006
V7_R,0.8737309666942135
IPS1_R,0.8406219958626032
FFC_R,0.9015199855526782
V3B_R,0.7864482179383062
LO1_R,0.802769970437576
LO2_R,0.8021993639716456
PIT_R,0.8842353518588986
MT_R,0.755113702047315
A1_R,0.8848392791549268
PSL_R,0.7922855904522454
SFL_R,0.756850510133923
PCV_R,0.827093728429951
STV_R,0.8405289163055882
7Pm_R,0.8775753868187008
7m_R,0.8537854629178462
POS1_R,0.8628790902516935
23d_R,0.7987165122263863
v23ab_R,0.8959947893950099
d23ab_R,0.839725134733597
31pv_R,0.8449451777686441
5m_R,0.8653815655923325
