region,odi_icc
FEF_R,0.9476384161777096
PEF_R,0.9422725874758008
55b_R,0.9488359987052454
V3A_R,0.9519502243164591
RSC_R,0.9229464922781608
POS2_R,0.9578008734527894
V7_R,0.9536375129397876
IPS1_R,0.929304983280458
FFC_R,0.9393339143658664
V3B_R,0.9366051426250334
LO1_R,0.950940493947078
LO2_R,0.9530379531723696
PIT_R,0.9517815972898204
MT_R,0.960680803933308
A1_R,0.9259496600787036
PSL_R,0.9441766580752874
SFL_R,0.9117113681371928
PCV_R,0.9200221614610832
STV_R,0.9383086190212908
7Pm_R,0.9314563119241832
7m_R,0.948745839462924
POS1_R,0.9537141261053242
23d_R,0.9140239966499016
v23ab_R,0.9151024567177266
d23ab_R,0.9220361430968498
31pv_R,0.945110173896866
5m_R,0.9070534442698378
