region,rtap_icc
Ig_L,0.8597792319310739
FOP5_L,0.8487533612546048
p10p_L,0.861737213490863
p47r_L,0.9139637503837718
TGv_L,0.8720597840856088
MBelt_L,0.8724651430771344
LBelt_L,0.8934917330527051
A4_L,0.8882660794227922
STSva_L,0.8362543545948325
TE1m_L,0.9274449095021515
PI_L,0.8658765152970661
a32pr_L,0.8699010988157535
p24_L,0.9051828887250991
V1_R,0.9286903353545294
MST_R,0.9016634553797919
V6_R,0.9397451609253912
V2_R,0.9177371008270494
V3_R,0.930698439665157
V4_R,0.9362550846128671
V8_R,0.9270614314672387
4_R,0.9331464647436859
3b_R,0.88965747257181
FEF_R,0.9249617547960213
PEF_R,0.9480510065784886
55b_R,0.9341168420500741
V3A_R,0.9495233620414674
RSC_R,0.9272669119330695
POS2_R,0.9260882917250002
V7_R,0.9303588497202564
IPS1_R,0.9405241574214842
FFC_R,0.9036688487439263
V3B_R,0.9519475787262189
LO1_R,0.913430532788312
LO2_R,0.9284962086834583
PIT_R,0.9160406561440932
MT_R,0.9104192559108918
A1_R,0.871897732207479
PSL_R,0.9225339234149494
SFL_R,0.8625645518354006
PCV_R,0.8566754178524616
STV_R,0.9298842366944374
7Pm_R,0.9441813850325367
7m_R,0.8892259674627396
POS1_R,0.898416027761907
23d_R,0.8869099205179083
v23ab_R,0.9052049321067208
d23ab_R,0.9310380914841109
31pv_R,0.880483988811588
5m_R,0.9124167462795291
5mv_R,0.8934548522029357
23c_R,0.8239731367452101
5L_R,0.9267787868965462
24dd_R,0.9001718308998267
24dv_R,0.8880363557758539
7AL_R,0.952878842944415
SCEF_R,0.8964687966180853
6ma_R,0.924213988230518
7Am_R,0.8835541788366679
7Pl_R,0.9698319816167674
7PC_R,0.9570677128786859
LIPv_R,0.9547793921482413
VIP_R,0.955026465285671
MIP_R,0.9526347683404198
1_R,0.9317003636121168
2_R,0.9525681547776287
3a_R,0.8798804346842621
6d_R,0.9404993347187998
6mp_R,0.8958902400492805
6v_R,0.9149258343327363
p24pr_R,0.8942588132934642
33pr_R,0.9252120383591925
a24pr_R,0.8602498145217429
p32pr_R,0.9154759892220016
a24_R,0.9003129950402119
