region,qiv_icc
3b_R,0.9140568586458704
FEF_R,0.9211240410962316
PEF_R,0.9375471131337952
55b_R,0.925948670345462
V3A_R,0.8983599703682109
RSC_R,0.8757342978957224
POS2_R,0.889475947895397
V7_R,0.8994250245241793
IPS1_R,0.8658393258541021
FFC_R,0.9187595114284324
V3B_R,0.903952050322321
LO1_R,0.8962778713802309
LO2_R,0.9157432698211996
PIT_R,0.910357854297775
MT_R,0.865065071725436
A1_R,0.8989671620088717
PSL_R,0.9301568809230794
SFL_R,0.8504270799694968
PCV_R,0.8451312796528805
STV_R,0.911863777691558
7Pm_R,0.8658898276886442
7m_R,0.8635778059333488
POS1_R,0.8955158714935394
23d_R,0.8514311652928759
v23ab_R,0.8620189349367692
d23ab_R,0.8384143257769084
31pv_R,0.8428696237110871
5m_R,0.9122435908744232
