region,md_icc
V6A_L,0.8881818591304209
VMV1_L,0.8543988740471707
VMV3_L,0.8404942228867954
PHA2_L,0.8598296238703371
V4t_L,0.899318182290975
FST_L,0.8821338778102961
V3CD_L,0.9301488093641598
LO3_L,0.8687561503499098
VMV2_L,0.8449119684556229
31pd_L,0.8094256079284446
31a_L,0.822173072178559
VVC_L,0.801071568979748
25_L,0.8642895567483013
s32_L,0.8918368080397814
pOFC_L,0.9003931017327507
PoI1_L,0.8712947630330984
Ig_L,0.87139876757638
FOP5_L,0.8043693249096397
p10p_L,0.8491784045698763
p47r_L,0.886337664376074
TGv_L,0.8998800586680986
MBelt_L,0.8317921208487702
LBelt_L,0.8763390888046538
A4_L,0.8534174564438458
STSva_L,0.8584489373276386
TE1m_L,0.8756536802091494
PI_L,0.8428831601007833
a32pr_L,0.8432085907762786
p24_L,0.8991013533424383
V1_R,0.9162444273851862
MST_R,0.8746538012747671
V6_R,0.8957413585845848
V2_R,0.916753060280316
V3_R,0.9121585852401114
V4_R,0.90872887464306
V8_R,0.9081998071211618
4_R,0.8225178950586354
3b_R,0.8940080027314801
FEF_R,0.8791157911371625
PEF_R,0.9228069229449348
55b_R,0.874578503964541
V3A_R,0.931564808509398
RSC_R,0.8997192633536274
POS2_R,0.88508633408848
V7_R,0.91674054618745
IPS1_R,0.915581062831579
FFC_R,0.8802818945109371
V3B_R,0.9144420999388636
LO1_R,0.9343370762897976
LO2_R,0.9234341303845736
PIT_R,0.905156350543688
MT_R,0.8789456290550527
A1_R,0.9045028001185914
PSL_R,0.8780268031346872
SFL_R,0.8593692203869036
PCV_R,0.8474767247331833
STV_R,0.897883418394542
7Pm_R,0.9262423996786768
7m_R,0.8761104466851958
POS1_R,0.8602607612678915
23d_R,0.9014926656508756
v23ab_R,0.8976429426110265
d23ab_R,0.9104349827378873
31pv_R,0.8968476463458652
5m_R,0.9227619434453824
5mv_R,0.8955782945936874
23c_R,0.8522771621991124
5L_R,0.9157934732265156
24dd_R,0.8539160284688782
24dv_R,0.8926816711863751
7AL_R,0.9261275331272636
SCEF_R,0.8520126516143662
6ma_R,0.8857998265436937
7Am_R,0.8600819514109984
7Pl_R,0.9585697495827958
7PC_R,0.9381798513038268
LIPv_R,0.9118849779580348
VIP_R,0.9552534710670816
MIP_R,0.9339955235618854
1_R,0.9000261760903155
2_R,0.9324779623760312
3a_R,0.8996498558977063
6d_R,0.8918593776050423
6mp_R,0.8794886706805747
6v_R,0.9029709614937672
p24pr_R,0.9224780902885104
33pr_R,0.9209736632903172
a24pr_R,0.8663304505681559
p32pr_R,0.9085048414508248
a24_R,0.8968922157717365
d32_R,0.8622634280474476
8BM_R,0.8422653571474393
p32_R,0.8427463073191072
10r_R,0.8665000044244021
47m_R,0.859126012044922
8Av_R,0.906649943730261
8Ad_R,0.8896016832077048
9m_R,0.8388015300141987
8BL_R,0.8833505213518393
9p_R,0.9332568981190372
10d_R,0.8592877390680158
8C_R,0.8919273343517958
44_R,0.8527041797917025
45_R,0.8827265434623138
47l_R,0.9016814795047184
a47r_R,0.874334407993223
6r_R,0.8686047119512055
IFJa_R,0.9246513673042056
IFJp_R,0.9198072668999524
IFSp_R,0.8912991604947718
IFSa_R,0.8530146677627791
p9-46v_R,0.9073931571038312
46_R,0.8936915612070732
a9-46v_R,0.9066178545559324
9-46d_R,0.9163936676098988
9a_R,0.8958116266298702
10v_R,0.8771600253286492
a10p_R,0.8594658053214194
10pp_R,0.9281313177212488
11l_R,0.8251785131749698
13l_R,0.8026929416847947
OFC_R,0.834801029958853
47s_R,0.8942781676402956
LIPd_R,0.9356629589233914
6a_R,0.8916532330279983
i6-8_R,0.8901588057053597
s6-8_R,0.8726588421619406
43_R,0.9058595840546044
OP4_R,0.8354015141037451
OP1_R,0.8606886537914411
OP2-3_R,0.9075160595300228
52_R,0.8818724381346627
RI_R,0.8515057762577957
PFcm_R,0.8145499896763214
PoI2_R,0.8905342037015287
TA2_R,0.8524308396455902
FOP4_R,0.9048709469915648
MI_R,0.8437548279602038
Pir_R,0.821053705127459
AVI_R,0.8312179385746841
AAIC_R,0.8906676937332304
FOP1_R,0.9212138826209226
FOP3_R,0.8826348646769696
FOP2_R,0.8643227162056615
PFt_R,0.9118673331264532
AIP_R,0.9386305499302148
EC_R,0.8770799685016812
PreS_R,0.8714095226918324
H_R,0.889272130562509
ProS_R,0.9111693232659012
PeEc_R,0.8300836969562729
STGa_R,0.8448863102597409
PBelt_R,0.8684128142410882
A5_R,0.8999219722711903
PHA1_R,0.9002697887604039
PHA3_R,0.9122529871511156
STSda_R,0.8778192891630451
STSdp_R,0.8977535320754023
STSvp_R,0.8615954096818376
TGd_R,0.8188448046393094
TE1a_R,0.9035151795899976
TE1p_R,0.9020736584832548
TE2a_R,0.9038020813798358
TF_R,0.84338300246561
TE2p_R,0.8710475325591736
PHT_R,0.8553336507385633
PH_R,0.8993548225958875
TPOJ1_R,0.8579010097556398
TPOJ2_R,0.9156531497908916
TPOJ3_R,0.8854455195935653
DVT_R,0.9330015244349916
PGp_R,0.904153237838052
IP2_R,0.936692358630759
IP1_R,0.9069791872244246
IP0_R,0.930279979087662
PFop_R,0.868911589554159
PF_R,0.8283916554610481
PFm_R,0.8398608913763923
PGi_R,0.8567135023242637
PGs_R,0.8760565132470095
V6A_R,0.8744000348925158
VMV1_R,0.9255641676746256
VMV3_R,0.8997280159736861
PHA2_R,0.9117527885903282
V4t_R,0.9060802354826876
FST_R,0.9009971173179846
V3CD_R,0.9395290159414422
LO3_R,0.9050013818112278
VMV2_R,0.9247375794570288
31pd_R,0.8817349438986153
31a_R,0.8630923384439808
VVC_R,0.9173887177325428
25_R,0.872751132084859
s32_R,0.8993820915974843
pOFC_R,0.8424661551724241
PoI1_R,0.8712412254127413
Ig_R,0.8628683149029163
FOP5_R,0.911665434636296
p10p_R,0.8795902882011294
p47r_R,0.7655702352053969
TGv_R,0.8944917781416013
MBelt_R,0.8605086886092085
LBelt_R,0.8870396079136816
A4_R,0.8704106552032043
STSva_R,0.8864300423076792
TE1m_R,0.9267844835549522
PI_R,0.8503118480530196
a32pr_R,0.8757679522144358
p24_R,0.8503660115697236
