region,icvf_icc
IFJa_L,0.9090292056047252
IFJp_L,0.9402660380080696
IFSp_L,0.903230809360314
IFSa_L,0.8660724653956023
p9-46v_L,0.910802393062003
46_L,0.8754789399032729
a9-46v_L,0.8472802179323004
9-46d_L,0.8666235609090571
9a_L,0.8807724983519779
10v_L,0.8802374153054505
a10p_L,0.8342743494508953
10pp_L,0.8740460870641257
11l_L,0.9009675412102912
13l_L,0.9218083201246476
OFC_L,0.9103324527764584
47s_L,0.8966837606874887
LIPd_L,0.9285124577374828
6a_L,0.9168636421641684
i6-8_L,0.897408994315078
s6-8_L,0.9085960308148996
43_L,0.9465901539249788
OP4_L,0.9285029010744248
OP1_L,0.9175094254273588
OP2-3_L,0.9277657266164008
52_L,0.9447811051093902
RI_L,0.9177545290813934
PFcm_L,0.9227069702875784
PoI2_L,0.9327347312523526
TA2_L,0.933294687502932
FOP4_L,0.860747955854331
MI_L,0.8878261019271717
Pir_L,0.8952763941708672
AVI_L,0.9028506335909116
AAIC_L,0.9074799812856016
FOP1_L,0.912259153448665
FOP3_L,0.8874422220094788
FOP2_L,0.8709557409550238
PFt_L,0.934603855034028
AIP_L,0.9225001510732028
EC_L,0.934918194115424
PreS_L,0.9176376479239624
H_L,0.9371829798704948
ProS_L,0.9254174694617884
PeEc_L,0.9454173294391484
STGa_L,0.8736219931448952
PBelt_L,0.9393032892827732
A5_L,0.9337072296400596
PHA1_L,0.9290932215019866
PHA3_L,0.9624267737453458
STSda_L,0.9324265274606782
STSdp_L,0.9441314148218796
STSvp_L,0.9454636265166476
TGd_L,0.8956769212519603
TE1a_L,0.9228188547699314
TE1p_L,0.9582524165329052
TE2a_L,0.9455608422842362
TF_L,0.9419230374696602
TE2p_L,0.9614207739821868
PHT_L,0.9141039783531284
PH_L,0.8838876881993445
TPOJ1_L,0.9402717794302068
TPOJ2_L,0.9228298277654116
TPOJ3_L,0.933356745376142
DVT_L,0.8925926079196602
PGp_L,0.8876707678541902
IP2_L,0.8670294214933265
IP1_L,0.9062403791594352
IP0_L,0.8211437578393664
PFop_L,0.9130749859603228
PF_L,0.9228103534119152
PFm_L,0.8684291905312577
PGi_L,0.909279757424736
PGs_L,0.8745912741160362
V6A_L,0.9381367210586424
VMV1_L,0.9290194826716648
VMV3_L,0.931615857753038
PHA2_L,0.9355018566920452
V4t_L,0.931429519455158
FST_L,0.9300115145647192
V3CD_L,0.932385515092825
LO3_L,0.9219419983067886
VMV2_L,0.9327951901602312
31pd_L,0.8754946788112296
31a_L,0.908522286523652
VVC_L,0.9133306020050171
25_L,0.9408428513063384
s32_L,0.909644097647548
pOFC_L,0.956914909091984
PoI1_L,0.9580130623396036
Ig_L,0.9121610890774444
FOP5_L,0.8250579101877236
p10p_L,0.8427847846816274
p47r_L,0.8741604614884287
TGv_L,0.9443180240132668
MBelt_L,0.9466704786964756
LBelt_L,0.9465115851729228
A4_L,0.9419612173974368
STSva_L,0.9159282830995096
TE1m_L,0.961187280769483
PI_L,0.9291384240196656
a32pr_L,0.8453539110671574
p24_L,0.7742818219862396
V1_R,0.9185427642935602
MST_R,0.9144654645527271
V6_R,0.8940613881715065
V2_R,0.924221239621278
V3_R,0.9055540126286112
V4_R,0.8907646044076344
V8_R,0.932755079336512
4_R,0.8960677067041403
3b_R,0.907526628775534
FEF_R,0.9130885776077252
PEF_R,0.930608637047418
55b_R,0.932692518269433
V3A_R,0.888698499163617
RSC_R,0.9231017240562838
POS2_R,0.9188081349604716
V7_R,0.8961846073213698
IPS1_R,0.8506929246367121
FFC_R,0.9096100075050536
V3B_R,0.8815339337928838
LO1_R,0.8803564187357694
LO2_R,0.8951971224890322
PIT_R,0.9099824039669384
MT_R,0.8640309001921614
A1_R,0.8897731151863835
PSL_R,0.8952487942417087
SFL_R,0.8589345921555275
PCV_R,0.9178389642061496
STV_R,0.9227126827876452
7Pm_R,0.9321762457848338
7m_R,0.9146087015091928
POS1_R,0.913989555045121
23d_R,0.929476624984598
v23ab_R,0.9337290853695586
d23ab_R,0.9123743230508398
31pv_R,0.8965469611566972
5m_R,0.8998958006551137
5mv_R,0.9026928502127254
23c_R,0.902918299172446
5L_R,0.9049224901153468
24dd_R,0.9374637877655768
24dv_R,0.9345366426687924
7AL_R,0.9145559366194036
SCEF_R,0.9082280578639748
6ma_R,0.8840863759465873
7Am_R,0.8891403043163918
7Pl_R,0.9313147782770654
7PC_R,0.9332209699748558
LIPv_R,0.9174120448109278
VIP_R,0.9246532836450414
MIP_R,0.9053726210829586
1_R,0.8779807400002706
2_R,0.9142403592169684
3a_R,0.8916986432546278
6d_R,0.9203605032362834
6mp_R,0.9067520964861532
6v_R,0.8931814659342264
p24pr_R,0.9525830217424474
33pr_R,0.9359709411569074
a24pr_R,0.9261837126215128
p32pr_R,0.9510108910502068
a24_R,0.8603953655766585
d32_R,0.8701586514522748
8BM_R,0.898818201257614
p32_R,0.83654832324436
10r_R,0.8678035508929667
47m_R,0.8992806356696812
8Av_R,0.87230975427099
8Ad_R,0.8108387233151312
9m_R,0.858408752534078
8BL_R,0.8599644407323079
9p_R,0.863364061009791
10d_R,0.8336066128862804
8C_R,0.8734711449375648
44_R,0.8591011667116721
45_R,0.8865899526996069
47l_R,0.8497660311179114
a47r_R,0.8569767524248327
6r_R,0.8556155471653144
IFJa_R,0.8759645849296125
IFJp_R,0.8999976471483482
IFSp_R,0.8274682658375878
IFSa_R,0.836441841376854
p9-46v_R,0.8226391808168403
46_R,0.8539460562709574
a9-46v_R,0.7955248098888154
9-46d_R,0.7884390196567653
9a_R,0.8274689892622744
10v_R,0.8584497787603754
a10p_R,0.8498295138160367
10pp_R,0.8607868775182904
11l_R,0.875453794738468
13l_R,0.936124184017433
OFC_R,0.8848301382218252
47s_R,0.9215510376386516
LIPd_R,0.8827987988496401
6a_R,0.9138753202907124
i6-8_R,0.8982625183141283
s6-8_R,0.8622377555207604
43_R,0.8763692700979283
OP4_R,0.8910071033189998
OP1_R,0.922558585071169
OP2-3_R,0.9191742309681068
52_R,0.9383215132289306
RI_R,0.931763342938662
PFcm_R,0.8851648224604411
PoI2_R,0.8972420171389797
TA2_R,0.8691279909366576
FOP4_R,0.8555178979904039
MI_R,0.8672360739197642
Pir_R,0.88981631349543
AVI_R,0.8301190641462447
AAIC_R,0.8836688440542558
FOP1_R,0.8464478104230361
FOP3_R,0.8651910047651696
FOP2_R,0.875965829256012
PFt_R,0.916573016832542
AIP_R,0.9084225829309952
EC_R,0.9536087872630838
PreS_R,0.9268648948272628
H_R,0.9305606587263486
ProS_R,0.9277660029730936
PeEc_R,0.9486359506646586
STGa_R,0.8255927016080451
PBelt_R,0.9103459263548728
A5_R,0.9274009882939328
PHA1_R,0.9468552400305306
PHA3_R,0.945414031273547
STSda_R,0.8908602965014765
STSdp_R,0.8995109332235132
STSvp_R,0.9342367480993912
TGd_R,0.8895684364753603
TE1a_R,0.9058424537216688
TE1p_R,0.9395392069233304
TE2a_R,0.9057268938693536
TF_R,0.907335020467717
TE2p_R,0.935449288774836
PHT_R,0.906420401896636
PH_R,0.8951898307014873
TPOJ1_R,0.9367859333443485
TPOJ2_R,0.917703649889728
TPOJ3_R,0.9010739897714738
DVT_R,0.9049755152070076
PGp_R,0.912030268399816
IP2_R,0.8858075943428034
IP1_R,0.883711177745389
IP0_R,0.8748042122483571
PFop_R,0.8992426834935525
PF_R,0.9151525753816148
PFm_R,0.893687447103473
PGi_R,0.8850616989168928
PGs_R,0.908080668280498
V6A_R,0.9091332175074762
VMV1_R,0.9348665472585052
VMV3_R,0.931073707462982
PHA2_R,0.9588276657491168
V4t_R,0.9132793112030544
FST_R,0.932808139737212
V3CD_R,0.9125412562981656
LO3_R,0.9043071121540466
VMV2_R,0.96301124017144
31pd_R,0.9179772394428282
31a_R,0.950229992524828
VVC_R,0.937040052925834
25_R,0.9469580802462004
s32_R,0.9273693493248149
pOFC_R,0.9451150260561174
PoI1_R,0.9206693289452904
Ig_R,0.8943530247202207
FOP5_R,0.8289884033603928
p10p_R,0.7847644239791847
p47r_R,0.8352287406967747
TGv_R,0.9331259470730032
MBelt_R,0.910372337934553
LBelt_R,0.8958022355002849
A4_R,0.9077438337563948
STSva_R,0.892583354208687
TE1m_R,0.9232787207238016
PI_R,0.8839005223699988
a32pr_R,0.9240169404434934
p24_R,0.8525307241242163
