region,rk_icc
3b_R,0.8643715672220806
FEF_R,0.8360696158036325
PEF_R,0.8720798376877934
55b_R,0.8615003206171652
V3A_R,0.9162443812488914
RSC_R,0.9215175030237245
POS2_R,0.9336047440265001
V7_R,0.8973023635158309
IPS1_R,0.8744475369168789
FFC_R,0.9045208739007695
V3B_R,0.8460597539326961
LO1_R,0.8812410586345488
LO2_R,0.9054193162442308
PIT_R,0.8877432385973916
MT_R,0.896573095627261
A1_R,0.8335996696467932
PSL_R,0.8541506146640371
SFL_R,0.7831529996323027
PCV_R,0.8901138096009461
STV_R,0.8630976906966092
7Pm_R,0.9184241057264035
7m_R,0.9152072796305609
POS1_R,0.9318708235908687
23d_R,0.9064421137226923
v23ab_R,0.9158084420135176
d23ab_R,0.9003752854422091
31pv_R,0.8988959953540464
