region,ad_icc
LBelt_L,0.8852132812767112
A4_L,0.8354933156511637
STSva_L,0.8518101042414732
TE1m_L,0.8624881127140143
PI_L,0.8106574220285311
a32pr_L,0.8395966885808712
p24_L,0.8889102746897237
V1_R,0.9015218491143728
MST_R,0.8500212476326715
V6_R,0.8773850878556111
V2_R,0.8979565449131116
V3_R,0.8752241961437914
V4_R,0.8898288193869694
V8_R,0.8932915358960737
4_R,0.76878392794331
3b_R,0.8820580547595662
FEF_R,0.8602630335421386
PEF_R,0.9029055958760561
55b_R,0.8478874079608448
V3A_R,0.9150749191234843
RSC_R,0.8887478062031106
POS2_R,0.8608876494153777
V7_R,0.8918229422855336
IPS1_R,0.8876948770534017
FFC_R,0.8875802404429133
V3B_R,0.9250852123056775
LO1_R,0.9390822130145339
LO2_R,0.9301133525532985
PIT_R,0.8959496984940396
MT_R,0.8698987880243859
A1_R,0.8773303036914664
PSL_R,0.847349243429479
SFL_R,0.853352595759522
PCV_R,0.8648076102176999
STV_R,0.907413633608699
7Pm_R,0.9272381927143807
7m_R,0.8620090869335397
POS1_R,0.8418114478671628
23d_R,0.8913227105480153
v23ab_R,0.8943897418682266
d23ab_R,0.8898139156485633
31pv_R,0.8777787082278484
5m_R,0.9199633134079784
5mv_R,0.8945696905549326
23c_R,0.8642979638902861
5L_R,0.8965882437920276
24dd_R,0.8499773348784658
24dv_R,0.9052135473608359
7AL_R,0.9195539785797513
SCEF_R,0.84160879799206
6ma_R,0.8585129647094433
7Am_R,0.8419014309736809
7Pl_R,0.9368514371942621
7PC_R,0.9140774725618183
LIPv_R,0.8759689915027173
VIP_R,0.9385413406219602
MIP_R,0.9172964764791626
1_R,0.8656315019813455
2_R,0.8835480301811885
3a_R,0.8767083640871057
6d_R,0.8761610046851268
6mp_R,0.8325969120052497
6v_R,0.8967558724356683
p24pr_R,0.9267687639724268
33pr_R,0.9003253770548294
a24pr_R,0.9073842821523292
p32pr_R,0.9206556493393525
a24_R,0.8854254187652129
d32_R,0.8798026289512216
8BM_R,0.8525581607398541
p32_R,0.8452742554224999
10r_R,0.8595794720756077
47m_R,0.8376575667281704
8Av_R,0.8677432779504648
8Ad_R,0.8673574491694839
9m_R,0.8373172834563168
8BL_R,0.8579612083731984
9p_R,0.9184966965498462
10d_R,0.8466765968317713
8C_R,0.8694924580361656
44_R,0.8292926660099169
45_R,0.8735273070165634
47l_R,0.8789273729226292
a47r_R,0.8523661023302913
6r_R,0.8501490021237675
IFJa_R,0.9103456476023895
IFJp_R,0.9176026743187866
IFSp_R,0.8648566431987459
IFSa_R,0.8330336307278992
p9-46v_R,0.8693908009536027
46_R,0.8738472601040536
a9-46v_R,0.8913608150578208
9-46d_R,0.8832076234584726
9a_R,0.8722769557994411
