region,economo,mesulam,sa,yeo
FEF_R,agranular,idiotypic,middle,dorsal attention
PEF_R,agranular,idiotypic,middle,dorsal attention
55b_R,agranular,idiotypic,middle,somatosensory
V3A_R,parietal,unimodal,sensorimotor,visual
RSC_R,granular,paralimbic,sensorimotor,default mode
POS2_R,frontal,heteromodal,middle,default mode
V7_R,frontal,unimodal,sensorimotor,visual
IPS1_R,frontal,unimodal,sensorimotor,dorsal attention
FFC_R,frontal,unimodal,middle,visual
V3B_R,parietal,unimodal,sensorimotor,visual
LO1_R,parietal,unimodal,sensorimotor,visual
LO2_R,parietal,unimodal,sensorimotor,visual
PIT_R,parietal,unimodal,sensorimotor,visual
MT_R,parietal,unimodal,sensorimotor,visual
A1_R,parietal,idiotypic,sensorimotor,somatosensory
PSL_R,parietal,unimodal,middle,ventral attention
SFL_R,agranular,unimodal,association,default mode
PCV_R,frontal,heteromodal,middle,default mode
STV_R,frontal,unimodal,middle,default mode
7Pm_R,frontal,heteromodal,middle,frontoparietal
7m_R,frontal,heteromodal,middle,default mode
POS1_R,parietal,heteromodal,middle,default mode
23d_R,agranular,paralimbic,association,default mode
v23ab_R,agranular,heteromodal,middle,default mode
d23ab_R,agranular,paralimbic,association,default mode
31pv_R,agranular,heteromodal,middle,default mode
5m_R,frontal,idiotypic,sensorimotor,somatosensory
5mv_R,frontal,idiotypic,sensorimotor,ventral attention
23c_R,agranular,idiotypic,middle,ventral attention
5L_R,frontal,unimodal,sensorimotor,somatosensory
24dd_R,agranular,idiotypic,sensorimotor,somatosensory
24dv_R,agranular,unimodal,middle,somatosensory
7AL_R,frontal,heteromodal,sensorimotor,dorsal attention
SCEF_R,agranular,unimodal,middle,ventral attention
6ma_R,agranular,unimodal,middle,ventral attention
7Am_R,frontal,heteromodal,sensorimotor,dorsal attention
7Pl_R,frontal,heteromodal,sensorimotor,dorsal attention
7PC_R,frontal,heteromodal,sensorimotor,dorsal attention
LIPv_R,frontal,heteromodal,sensorimotor,dorsal attention
VIP_R,frontal,heteromodal,sensorimotor,dorsal attention
MIP_R,frontal,heteromodal,sensorimotor,dorsal attention
1_R,granular,idiotypic,sensorimotor,somatosensory
2_R,frontal,unimodal,sensorimotor,somatosensory
3a_R,frontal,idiotypic,sensorimotor,somatosensory
6d_R,agranular,idiotypic,sensorimotor,somatosensory
6mp_R,agranular,idiotypic,sensorimotor,somatosensory
6v_R,agranular,idiotypic,middle,somatosensory
p24pr_R,agranular,paralimbic,middle,ventral attention
33pr_R,agranular,paralimbic,middle,frontoparietal
a24pr_R,agranular,paralimbic,association,ventral attention
p32pr_R,agranular,paralimbic,middle,ventral attention
a24_R,agranular,paralimbic,association,default mode
d32_R,frontal,heteromodal,association,default mode
8BM_R,frontal,heteromodal,association,frontoparietal
p32_R,polar,paralimbic,association,default mode
10r_R,polar,heteromodal,association,default mode
47m_R,polar,paralimbic,association,default mode
8Av_R,agranular,unimodal,association,default mode
8Ad_R,frontal,heteromodal,association,default mode
9m_R,frontal,heteromodal,association,default mode
8BL_R,frontal,heteromodal,association,default mode
9p_R,frontal,heteromodal,association,default mode
10d_R,frontal,heteromodal,association,default mode
8C_R,frontal,unimodal,association,frontoparietal
44_R,frontal,unimodal,association,default mode
45_R,frontal,heteromodal,association,default mode
47l_R,polar,heteromodal,association,default mode
a47r_R,frontal,heteromodal,association,default mode
6r_R,agranular,idiotypic,middle,ventral attention
IFJa_R,frontal,unimodal,middle,frontoparietal
IFJp_R,agranular,unimodal,association,dorsal attention
IFSp_R,frontal,unimodal,middle,frontoparietal
IFSa_R,frontal,heteromodal,association,frontoparietal
p9-46v_R,frontal,heteromodal,association,frontoparietal
46_R,frontal,heteromodal,association,frontoparietal
a9-46v_R,frontal,heteromodal,association,frontoparietal
9-46d_R,frontal,heteromodal,association,frontoparietal
9a_R,frontal,heteromodal,association,default mode
10v_R,polar,heteromodal,association,limbic
a10p_R,polar,heteromodal,association,default mode
10pp_R,polar,heteromodal,association,limbic
