region,qiv_retest_cov
FFC_R,1.569628395806759
V3B_R,1.540381954905205
LO1_R,1.6403996910550414
LO2_R,1.536398785474656
PIT_R,1.4906836912173758
MT_R,1.7701329965781516
A1_R,1.6448333202409773
PSL_R,1.209937591280915
SFL_R,1.734872359875431
PCV_R,1.8104756285977983
STV_R,1.332999883533626
7Pm_R,1.9189260703082
7m_R,1.5756764049576062
POS1_R,1.3723712636293792
23d_R,1.718296598744662
v23ab_R,1.8026997661940276
d23ab_R,1.8402559996620167
31pv_R,1.8251206825248192
5m_R,1.579444270205756
5mv_R,1.830443623035732
23c_R,1.9424643442815164
5L_R,1.5155759556621289
24dd_R,1.605856866120585
24dv_R,1.6729634839579712
7AL_R,1.5671424381761032
SCEF_R,1.667860837524166
6ma_R,1.3992408270205337
7Am_R,1.5844988774973696
7Pl_R,1.7280404907442888
7PC_R,1.687873179815746
LIPv_R,1.7159428791268023
VIP_R,1.6983061647977669
MIP_R,1.5518169581836698
1_R,1.4828502732682864
2_R,1.3590766216254029
3a_R,1.554705447865696
6d_R,1.3813060102916437
6mp_R,1.6879637218964585
6v_R,1.395906435434748
p24pr_R,1.5154819969527105
33pr_R,1.4579461590781642
a24pr_R,1.2848442839746337
p32pr_R,1.572098812389749
a24_R,1.3320513493577086
d32_R,1.4023433414359758
8BM_R,1.3809103506895073
p32_R,1.275204553152197
10r_R,1.4518690098073228
47m_R,1.814748582198024
8Av_R,1.2723976397451942
8Ad_R,1.7425213821081742
9m_R,1.2062167703748363
8BL_R,1.2899453042748492
9p_R,1.4104753504083811
10d_R,1.1697210910136633
8C_R,1.5828534437598458
44_R,1.3292652423820854
45_R,1.3224655984496414
47l_R,1.397052378366346
a47r_R,1.266320476693856
6r_R,1.4222900781960417
IFJa_R,1.4740014393400294
IFJp_R,1.4387214134389903
IFSp_R,1.5393565542687604
IFSa_R,1.5109820005706311
p9-46v_R,1.463130822871794
46_R,1.3271936555869386
a9-46v_R,1.6090225855797144
9-46d_R,1.4987645344163312
9a_R,1.2600522662259896
10v_R,1.5370611325328172
a10p_R,1.6318639774138326
10pp_R,2.095346567709232
11l_R,1.6519520032704418
13l_R,2.2400598476184475
OFC_R,2.120513475970201
47s_R,1.6611572797265637
LIPd_R,1.6083264727556847
6a_R,1.4483950267964796
i6-8_R,1.4954985524689224
s6-8_R,1.6118873432573542
43_R,1.369122752876986
OP4_R,1.2194837803370742
OP1_R,1.343280902051212
OP2-3_R,1.5087897464172555
52_R,1.4200518114649774
RI_R,1.204927013064011
PFcm_R,1.7062187341417128
PoI2_R,1.396171611476445
TA2_R,1.4881061965049336
FOP4_R,1.070243359675208
MI_R,1.3188445743940669
Pir_R,2.301806996807122
AVI_R,1.3124427402062893
AAIC_R,1.5023546466885256
FOP1_R,1.220554909446726
FOP3_R,1.569263534871825
FOP2_R,1.2498375241929456
PFt_R,1.2532763630103922
AIP_R,1.40201209820194
EC_R,1.6859209069336596
PreS_R,1.4479786131339392
H_R,1.413891576552822
ProS_R,1.652096555554461
PeEc_R,1.88166802221368
STGa_R,1.5472210095257974
PBelt_R,1.3386793455069643
A5_R,1.2640997124895046
PHA1_R,1.5332631682556297
PHA3_R,1.6774883807853846
STSda_R,1.5243315094534702
STSdp_R,1.5519505997753211
STSvp_R,1.3642548963571093
TGd_R,1.4596025609760863
TE1a_R,1.6765208660514528
TE1p_R,1.3441015257023772
TE2a_R,1.77423074564176
TF_R,1.8237599021916475
TE2p_R,1.9033938583559595
PHT_R,1.4815041160232851
PH_R,1.5702519474541172
TPOJ1_R,1.1761621678853138
TPOJ2_R,1.4120744188140528
TPOJ3_R,1.4811640959928218
DVT_R,1.2926725081969357
PGp_R,1.460333498220942
IP2_R,1.3684862374320157
IP1_R,1.591376167662459
IP0_R,1.5271962588561343
PFop_R,1.3591708489722296
PF_R,1.3860630290689422
PFm_R,1.442985995748998
PGi_R,1.38728624456558
PGs_R,1.4264314935188431
V6A_R,1.883159595331088
VMV1_R,1.4989733532085443
VMV3_R,1.7840696212525426
PHA2_R,1.6745189798928912
V4t_R,1.567875411982891
FST_R,1.502346558369388
V3CD_R,1.377681615553975
LO3_R,1.43208911551406
VMV2_R,1.535236938585004
31pd_R,1.7906280351221322
31a_R,1.9533102499902448
VVC_R,1.57116233285766
25_R,2.1447816501373644
s32_R,2.1176966674049567
pOFC_R,1.837310180973212
PoI1_R,1.5572250122467908
Ig_R,1.5821453900185567
FOP5_R,1.288271091561848
p10p_R,1.5324875289657427
p47r_R,1.5034971078973454
TGv_R,1.8016084187960568
MBelt_R,1.3560129943661507
LBelt_R,1.4843019922647072
A4_R,1.4391968730084932
STSva_R,1.602494889492465
TE1m_R,1.7455505844269428
PI_R,1.646483466066104
a32pr_R,1.350348977147007
p24_R,1.0730027198492451
