region,myl_retest_cov
FOP5_L,1.94832661198555
p10p_L,2.970900222902579
p47r_L,2.1365246408104888
TGv_L,2.2806189970500235
MBelt_L,2.339528984464276
LBelt_L,1.773735713696852
A4_L,1.6191507397179037
STSva_L,1.4780274849775021
TE1m_L,1.495282804037797
PI_L,2.0619198161308203
a32pr_L,2.002419003280389
p24_L,2.1779320569378737
V1_R,1.2389481751935767
MST_R,1.4371320042057079
V6_R,1.4205828420798337
V2_R,1.2562271782418164
V3_R,1.1524338095143993
V4_R,1.2397700291195233
V8_R,1.1937864993304186
4_R,1.59940657877491
3b_R,1.4186209772839549
FEF_R,1.6049944936453713
PEF_R,1.513287744076122
55b_R,1.5322346064954118
V3A_R,1.296921087342315
RSC_R,1.8048603912084515
POS2_R,1.4626008496460337
V7_R,1.342524080378872
IPS1_R,1.4490815042404732
FFC_R,1.5067288599768596
V3B_R,1.4135053962794069
LO1_R,1.2072705641308907
LO2_R,1.2123561905704132
PIT_R,1.2757644235920311
MT_R,1.2419719763361146
A1_R,1.768894573133549
PSL_R,1.2823459124264047
SFL_R,2.095431251747221
PCV_R,1.5157951023867007
STV_R,1.2893531460692138
7Pm_R,1.619644948493708
7m_R,1.340835640296763
POS1_R,1.4739817780674382
23d_R,1.6490848463093455
v23ab_R,1.689301900236341
d23ab_R,1.8512700926422592
31pv_R,1.5562151545805158
5m_R,1.8116788002262467
5mv_R,1.474114761927826
23c_R,1.451177316161714
5L_R,1.7824498979312389
24dd_R,1.494043944735292
24dv_R,1.6910506215753633
7AL_R,1.8063816117092981
SCEF_R,1.708000356100026
6ma_R,1.9248006747386506
7Am_R,1.6562905084916983
7Pl_R,1.7206752294431429
7PC_R,1.6585275087647053
LIPv_R,1.7855133636711988
VIP_R,1.7356645362432734
MIP_R,1.5026684525341916
1_R,1.5426514540976846
2_R,1.5789741572636364
3a_R,1.5450637380869003
6d_R,1.7775440336365986
6mp_R,1.7077659985841585
6v_R,1.4783420770862101
p24pr_R,1.6230630664866172
33pr_R,1.7621435092344595
a24pr_R,1.7600116193011324
p32pr_R,1.7817623545327115
a24_R,2.4132920814832164
d32_R,2.1024118408632346
8BM_R,2.0883874938032343
p32_R,2.7979449925765154
10r_R,3.0626737200467846
47m_R,2.7226591516995104
8Av_R,1.6631551625500414
8Ad_R,2.0252312404713146
9m_R,2.587524215996288
8BL_R,2.38598522989193
9p_R,2.435076690402042
10d_R,3.2663857256444535
8C_R,1.603910156433104
44_R,1.6413461201596713
45_R,1.9129352123927061
47l_R,1.9585322759203934
a47r_R,2.3547449256936615
6r_R,1.460534483883157
IFJa_R,1.547723320931426
IFJp_R,1.588396639987263
IFSp_R,1.7749280555587519
IFSa_R,1.8868277687892745
p9-46v_R,1.822174308184963
46_R,2.040649394197275
a9-46v_R,2.3154843212776655
9-46d_R,2.371761797911628
9a_R,2.9252140798691513
10v_R,3.0578613036168694
a10p_R,2.993060284592395
10pp_R,3.1225336650713755
11l_R,2.7942290810542607
13l_R,2.41629256979633
OFC_R,3.6825279465387384
47s_R,2.269772275795101
LIPd_R,1.5697436910909164
6a_R,1.7195593395381907
i6-8_R,1.719735988698367
s6-8_R,1.9577726369548303
43_R,2.044964267870163
OP4_R,1.5013600592897751
OP1_R,1.6204961390528838
OP2-3_R,1.681020735660771
52_R,1.8438339111931985
RI_R,1.5398847700927223
PFcm_R,1.3788296287376303
PoI2_R,2.182715744538365
TA2_R,1.8746238825535069
FOP4_R,1.921254623242095
MI_R,2.073675976101934
Pir_R,3.193493954058937
AVI_R,2.11569022089648
AAIC_R,2.3019009492747715
FOP1_R,1.7830276431769387
FOP3_R,1.7485776555105108
FOP2_R,1.6482379006823225
PFt_R,1.42035103575106
AIP_R,1.540066736669192
EC_R,2.317247951951526
PreS_R,3.2856281182597793
H_R,2.4990696589326644
ProS_R,1.8547289157677913
PeEc_R,1.8816488654516714
STGa_R,1.8641733717139162
PBelt_R,1.6404729180064845
A5_R,1.4875596663964588
PHA1_R,1.9888561064052002
PHA3_R,2.1721792598677734
STSda_R,1.557460514450525
STSdp_R,1.5246599871517414
STSvp_R,1.474327161024203
TGd_R,1.9528440792133845
TE1a_R,1.683845243936912
TE1p_R,1.2512981536383387
TE2a_R,1.5299076799942384
