region,rk_retest_cov
52_L,1.2372692957940243
RI_L,1.4850072262412342
PFcm_L,1.4409995423808202
PoI2_L,1.4687119250683827
TA2_L,1.4599978111428003
FOP4_L,1.7521834295813605
MI_L,1.4843801585160006
Pir_L,1.4307722587214926
AVI_L,1.5921253841317928
AAIC_L,1.1388165138057933
FOP1_L,1.5769757453299238
FOP3_L,1.7536098045306685
FOP2_L,1.7148216437327515
PFt_L,1.3692298393376683
AIP_L,1.4368514669344352
EC_L,1.576491300869155
PreS_L,1.573857539702821
H_L,1.21257394357857
ProS_L,1.6674688421400936
PeEc_L,1.35474463160589
STGa_L,1.401697215291608
PBelt_L,1.5413478340423237
A5_L,1.2321781226790227
PHA1_L,1.3592344149337314
PHA3_L,1.2497384605928141
STSda_L,1.3228466499401774
STSdp_L,1.059575099231023
STSvp_L,1.1110531842066576
TGd_L,1.5961774574667686
TE1a_L,1.281632620299566
TE1p_L,1.2027479205985983
TE2a_L,1.5171842447508441
TF_L,1.1568140133123779
TE2p_L,1.3078190251322266
PHT_L,1.104794412032103
PH_L,1.3127776166085456
TPOJ1_L,1.2042107733166818
TPOJ2_L,1.095344599361141
TPOJ3_L,1.3531068699641058
DVT_L,1.1862086048988227
PGp_L,1.3249467226556324
IP2_L,1.471908155887004
IP1_L,1.3259479614240142
IP0_L,1.7241930553391966
PFop_L,1.3699405977604309
PF_L,1.1033357263208468
PFm_L,1.1285324304209825
PGi_L,1.15345232470378
PGs_L,1.1950437965614218
V6A_L,1.648100268512752
VMV1_L,1.4489843255517787
VMV3_L,1.9668691801180225
PHA2_L,1.5745862985544468
V4t_L,1.6394436483637351
FST_L,1.117755374924277
V3CD_L,1.4593172104384626
LO3_L,1.6628476809953898
VMV2_L,1.6558675461021233
31pd_L,1.4069775030307172
31a_L,1.4849689056238817
VVC_L,1.628952932630752
25_L,1.3506202879834954
s32_L,1.82922735820877
pOFC_L,1.1664961133655884
PoI1_L,1.1437937712718216
Ig_L,1.2681373678364618
FOP5_L,2.1203907170101925
p10p_L,2.6837399820890457
p47r_L,2.031520639943403
TGv_L,1.679864965195631
MBelt_L,1.2264880922980188
LBelt_L,1.0363644933101295
A4_L,1.4056676212208092
STSva_L,1.1931781975322278
TE1m_L,1.1814626325916506
PI_L,1.2634090381708845
a32pr_L,2.7505241059977323
p24_L,3.1803375656042214
V1_R,1.153650784709415
MST_R,1.8246555802441178
V6_R,1.5430602568253091
V2_R,1.0644579084011947
V3_R,1.1167267046604716
V4_R,1.3046022707354639
V8_R,2.015545332860568
4_R,1.61225175875739
3b_R,1.6239285874238591
FEF_R,1.9431650747442724
PEF_R,1.9973194786063508
55b_R,1.872780910418348
V3A_R,1.1053787977535892
RSC_R,1.2000637835868961
POS2_R,1.0868652453289016
V7_R,1.689150609243094
IPS1_R,1.7029418915647747
FFC_R,1.486139251308399
V3B_R,1.776827401156271
LO1_R,1.6541694246630818
LO2_R,1.4992950969310204
PIT_R,1.5841973409006314
MT_R,1.532446541659061
A1_R,1.8213402833329027
PSL_R,1.4556879109737135
SFL_R,2.4436147266834305
PCV_R,1.533735891831524
STV_R,1.7950106348567503
7Pm_R,1.3968865638327994
7m_R,1.2588465997020821
POS1_R,1.1943666676875857
23d_R,1.370707706141899
v23ab_R,1.533242967358057
d23ab_R,1.6617897655151401
31pv_R,1.5648906418069253
5m_R,1.8566859373863571
5mv_R,1.713822248296986
23c_R,1.3466614473434877
5L_R,1.8157366103741264
24dd_R,1.4086830560751935
24dv_R,1.5559387923488786
7AL_R,1.7993008080050072
SCEF_R,1.7974819719648725
6ma_R,2.611246968478497
7Am_R,1.784450955975815
7Pl_R,1.5891274483475857
7PC_R,1.7105478416487945
LIPv_R,1.7294933588715773
VIP_R,1.6037278188796318
MIP_R,1.3912799493602805
1_R,1.671968346443138
2_R,1.5485612244229765
3a_R,1.5029036409808891
6d_R,2.2656197356212404
6mp_R,2.3822883595379025
6v_R,1.9392499827697707
p24pr_R,0.9904713379814301
33pr_R,1.2467410164649317
a24pr_R,1.6771366808811108
p32pr_R,1.6391136452067283
a24_R,1.8157205047227367
d32_R,2.2676382212426986
8BM_R,1.9949009228871322
p32_R,2.065534596198408
10r_R,2.0397634586683417
47m_R,1.4669539777874339
8Av_R,2.106430149575213
8Ad_R,2.5522861637948213
9m_R,2.312460797385516
8BL_R,2.1527499019871827
9p_R,2.244353942348032
10d_R,2.7301646597823597
8C_R,2.1487852204527735
44_R,2.4906749680217373
45_R,2.3632222365591806
47l_R,2.09781059159783
a47r_R,1.7725912879374421
6r_R,2.1394717285100424
IFJa_R,2.2792569481377534
IFJp_R,2.1088110758023464
IFSp_R,2.4241740163401886
IFSa_R,2.385579248437768
p9-46v_R,2.433442759829985
46_R,2.263943804768596
a9-46v_R,2.7968132440654347
9-46d_R,2.723839045262886
9a_R,2.6562377704063738
10v_R,1.999631424662177
a10p_R,2.2938839622019267
10pp_R,2.4100407646481474
11l_R,1.9191560251607394
13l_R,1.4581470166706676
OFC_R,2.3566091778562996
47s_R,1.5283093650197621
LIPd_R,1.6127537609260965
6a_R,1.964110359139902
i6-8_R,2.1757197971021864
s6-8_R,2.7423499323624254
43_R,2.128646347276076
OP4_R,1.8155743161730045
OP1_R,1.9100124437293062
OP2-3_R,1.5737622737019583
52_R,1.6997827684627673
RI_R,1.4826428288366893
PFcm_R,1.9216716602855732
PoI2_R,1.6060290466863674
TA2_R,2.047232806393525
FOP4_R,1.914931565553961
MI_R,1.7250262420588605
Pir_R,1.5508997507034157
AVI_R,1.775224483439185
AAIC_R,1.7210536871645592
FOP1_R,2.462440992760275
FOP3_R,1.9390197613790419
FOP2_R,1.9527398536964062
PFt_R,1.5824263959814733
AIP_R,1.4015634228951355
EC_R,1.2362839790220834
PreS_R,1.4038512211917207
H_R,1.1630656607427312
ProS_R,1.488714276218145
PeEc_R,1.378787497766064
STGa_R,2.4297095078531354
PBelt_R,1.7040790489610567
A5_R,1.6018754885577295
PHA1_R,1.3998242603538447
PHA3_R,1.7513267786617013
STSda_R,2.0073249903477755
STSdp_R,1.4952238304197447
STSvp_R,1.4990936805794224
TGd_R,1.7949341250931659
TE1a_R,2.157742468868798
TE1p_R,1.329623880065521
TE2a_R,1.7385933680431005
TF_R,1.6430084271007692
TE2p_R,1.6933430658686248
PHT_R,1.3387401013941
PH_R,1.3352511182124271
TPOJ1_R,1.2642489207162049
TPOJ2_R,1.6734439118412423
TPOJ3_R,1.438674249335944
DVT_R,1.5211729152251676
PGp_R,1.2343394898845574
IP2_R,1.308043542060906
IP1_R,1.4689145595037167
IP0_R,1.9850335815177287
PFop_R,1.7805143873217177
PF_R,1.479624608245767
PFm_R,1.3348698058202915
PGi_R,1.311471495009619
PGs_R,1.3039728614042074
V6A_R,1.6669728954385916
VMV1_R,1.5294502999830202
VMV3_R,1.618101121940844
PHA2_R,1.5640319441427413
V4t_R,1.509700446811104
FST_R,1.3322960903633596
V3CD_R,1.5999228113087665
LO3_R,1.5260430873443138
VMV2_R,1.5095070379945796
31pd_R,1.3422221532500356
31a_R,1.5314281730265953
VVC_R,1.3635715542895432
25_R,1.4580786343083776
s32_R,1.6730888879789598
pOFC_R,1.5481313741492633
PoI1_R,1.4391097442319076
Ig_R,1.656177878341446
FOP5_R,2.048109363400321
p10p_R,2.621373916843322
p47r_R,2.0558543709730768
TGv_R,1.6982285575302796
MBelt_R,1.459138837070971
LBelt_R,1.5000577561118784
A4_R,1.9322797342211224
STSva_R,1.8610604082161992
TE1m_R,1.509817223998997
PI_R,1.889818348794761
a32pr_R,2.0476637008147
p24_R,2.2410885753571184
