region,rd_retest_cov
IFJa_R,1.0692886286053018
IFJp_R,1.1373256464215917
IFSp_R,1.2313552140569621
IFSa_R,1.534733723581443
p9-46v_R,0.961387826981611
46_R,0.9485551875024438
a9-46v_R,1.1754937272964145
9-46d_R,0.82600285205028
9a_R,1.0719092376290824
10v_R,1.2712753726009898
a10p_R,1.4129398561551048
10pp_R,1.1288449303500496
11l_R,1.217013088921976
13l_R,1.7194243197744712
OFC_R,1.7081415053489823
47s_R,1.344782925175596
LIPd_R,1.1000067198992158
6a_R,0.9975392092391915
i6-8_R,1.3163770078814176
s6-8_R,1.2167749662326919
43_R,0.8644387366307457
OP4_R,1.2945559841756384
OP1_R,1.3330038350805782
OP2-3_R,1.0052227873245003
52_R,1.169035424747298
RI_R,1.384808198849544
PFcm_R,1.4652089950118719
PoI2_R,1.0806164641216147
TA2_R,1.3146012637893385
FOP4_R,0.9454881843904864
MI_R,1.2893356493914458
Pir_R,2.122444019081748
AVI_R,1.295562173746757
AAIC_R,1.2717262467027375
FOP1_R,0.9790661236471928
FOP3_R,1.235935081490912
FOP2_R,1.1981779163238937
PFt_R,0.986957554586985
AIP_R,0.9365856321355535
EC_R,1.3568633196136988
PreS_R,1.4802016780316092
H_R,1.0024021197713253
ProS_R,1.2018451406657327
PeEc_R,1.3867584036713734
STGa_R,1.486231994375116
PBelt_R,1.2499103971128582
A5_R,1.086067038522285
PHA1_R,0.9701638045663445
PHA3_R,1.2722601982349964
STSda_R,1.1514116019112537
STSdp_R,1.0725317042217422
STSvp_R,1.3709155159296251
TGd_R,1.202071032258064
TE1a_R,1.3585579354358048
TE1p_R,1.2224058016705714
TE2a_R,1.2664627914941968
TF_R,1.4234952173152076
TE2p_R,1.500607257576348
PHT_R,1.2785251999858618
PH_R,1.1367276832928646
TPOJ1_R,1.0554088852277566
TPOJ2_R,0.947664355214306
TPOJ3_R,1.0889117684024323
DVT_R,0.7947289940743985
PGp_R,0.8457201236117694
IP2_R,0.9975286694619853
IP1_R,1.094748952768395
IP0_R,0.9505328980322447
PFop_R,1.2546562955036038
PF_R,1.1455501725435322
PFm_R,1.0541495650669372
PGi_R,0.9383618143265166
PGs_R,1.0236541136695168
V6A_R,1.4668093730038103
VMV1_R,1.004413410915009
VMV3_R,1.552089238775787
PHA2_R,0.999272375938495
V4t_R,1.1298672630691864
FST_R,1.159743936572051
V3CD_R,0.7537795698237187
LO3_R,1.0664800049070344
VMV2_R,1.2717186287077502
31pd_R,1.1041873950802297
31a_R,1.1767023585005547
VVC_R,1.0708548811817822
25_R,1.4267665164075594
s32_R,1.2856313118145524
pOFC_R,1.5897151923008717
PoI1_R,1.2306964135296463
Ig_R,1.187487838096484
FOP5_R,1.0033475138719419
p10p_R,1.1831783302475674
p47r_R,1.7802346931570894
TGv_R,1.050592614353446
MBelt_R,1.142770777391258
LBelt_R,1.1838776935325814
A4_R,1.294493074463887
STSva_R,1.4233970023949605
TE1m_R,1.2933293303748035
PI_R,1.4094795560512345
a32pr_R,1.0484694882534469
p24_R,1.2631820007903973
