region,rtop_retest_cov
IFSa_L,2.402338191620488
p9-46v_L,2.468359220568944
46_L,2.373533203076157
a9-46v_L,2.1214469201944373
9-46d_L,2.287888558794456
9a_L,2.213738317713556
10v_L,2.219459317038273
a10p_L,2.483983746698476
10pp_L,2.82580397505866
11l_L,2.3591076385977834
13l_L,2.01509284505093
OFC_L,2.0968235531233383
47s_L,2.226102815999069
LIPd_L,1.885170685326723
6a_L,1.86975236012557
i6-8_L,1.913434230965028
s6-8_L,1.9191985917540928
43_L,1.5770632652399548
OP4_L,1.9052692470007135
OP1_L,2.741643353249134
OP2-3_L,2.8469583690549536
52_L,2.3770417463551694
RI_L,2.5230538747650217
PFcm_L,2.836879542393684
PoI2_L,2.0193721642554427
TA2_L,1.7229054169614
FOP4_L,2.384274430579207
MI_L,2.1360240218611937
Pir_L,2.8041122736084603
AVI_L,1.9723343880884652
AAIC_L,2.186138554384642
FOP1_L,2.104343790052966
FOP3_L,2.955083598732583
FOP2_L,2.540342031724656
PFt_L,1.7478467417882255
AIP_L,1.869888690631472
EC_L,2.4727205176539293
PreS_L,1.9075210595265888
H_L,1.609447126304693
ProS_L,2.2782392819121684
PeEc_L,1.769648070447265
STGa_L,2.270752931566768
PBelt_L,1.7814237707061304
A5_L,1.8360954345081095
PHA1_L,2.1857851520239224
PHA3_L,1.8393038158013817
STSda_L,1.914963967786356
STSdp_L,1.575480291460116
STSvp_L,1.5586956504739216
TGd_L,2.19331904994474
TE1a_L,2.105628536447441
TE1p_L,1.7143915346097802
TE2a_L,2.0468234560442475
TF_L,1.841046187853813
TE2p_L,1.6605641337611925
PHT_L,1.5496939484194774
PH_L,1.6497557134398246
TPOJ1_L,1.626756957760357
TPOJ2_L,1.5645479048524529
TPOJ3_L,1.7238703983805783
DVT_L,1.4659717885635857
PGp_L,1.6117356374162397
IP2_L,2.197451325454413
IP1_L,2.033698679894615
IP0_L,1.4989481668361175
PFop_L,2.3465452850084256
PF_L,1.6691821811646117
PFm_L,1.9866369943113145
PGi_L,1.49417944769067
PGs_L,1.844855724769433
V6A_L,2.1700047014955373
VMV1_L,2.181573858270079
VMV3_L,2.404399115540841
PHA2_L,2.2050136731583376
V4t_L,2.148046013788284
FST_L,1.7081859086837723
V3CD_L,1.6021433156120035
LO3_L,1.419722458947664
VMV2_L,2.76468178923255
31pd_L,1.7908908671887016
31a_L,2.2269954091247843
VVC_L,2.2474592390696984
25_L,1.8895590805484452
s32_L,2.3330686937471903
pOFC_L,1.8572422509432067
PoI1_L,1.8171382127003688
Ig_L,2.594153393599239
FOP5_L,2.5058958112139087
p10p_L,2.4494610830615176
p47r_L,1.7165560101990935
TGv_L,2.285187096564338
MBelt_L,2.010858617217644
LBelt_L,1.9411978435773167
A4_L,1.832411622934072
STSva_L,2.0225687016778826
TE1m_L,1.748042064796067
PI_L,1.8678091850661445
a32pr_L,2.6640601867666303
p24_L,2.914195031593568
V1_R,1.2682666688670283
MST_R,1.9462435651665448
V6_R,1.3878077531898176
V2_R,1.2488787889253463
V3_R,1.1240397213933515
V4_R,1.275258321327973
V8_R,1.765851287782363
4_R,1.308529544524876
3b_R,1.8597656655786827
FEF_R,1.6514736424657055
PEF_R,1.5731891684562322
55b_R,1.6499316376301771
V3A_R,1.3218319889426713
RSC_R,1.5867964581703329
POS2_R,1.515659100657443
V7_R,1.6113287228831434
IPS1_R,1.5535105162561915
FFC_R,1.8480936855872647
V3B_R,1.561862012943891
LO1_R,1.7796827190563131
LO2_R,1.5501824978277703
PIT_R,1.6702185729458936
MT_R,1.679411929632466
A1_R,2.387975904663022
