region,rtap
V4_R,3591.962544862658
V8_R,3618.2411902476283
4_R,3748.089659059194
3b_R,3117.469854794197
FEF_R,3538.9235776603946
PEF_R,3447.299177724387
55b_R,3557.6436789992204
V3A_R,3571.244564754189
RSC_R,3819.969221401513
POS2_R,3580.045141862147
V7_R,3671.5301016629037
IPS1_R,3551.4590173654983
FFC_R,3707.1840876485244
V3B_R,3460.749622950806
LO1_R,3446.444215533036
LO2_R,3538.9305107312357
PIT_R,3636.512688625705
MT_R,3515.4215234882063
A1_R,3393.764752142863
PSL_R,3393.4928351255858
SFL_R,3473.6823998979557
PCV_R,3402.1678338212732
STV_R,3469.2842745961766
7Pm_R,3446.6125484382965
7m_R,3398.9263613416424
POS1_R,3763.815213181082
23d_R,3344.947336069033
v23ab_R,3540.939880794418
d23ab_R,3523.794717253705
31pv_R,3406.2951226853615
5m_R,3652.963561828554
5mv_R,3394.794844932275
23c_R,3356.9766754838656
5L_R,3484.9474098430924
24dd_R,3536.348440047675
24dv_R,3395.2385395607753
7AL_R,3551.336721099286
SCEF_R,3453.07587611116
6ma_R,3580.1987258811073
7Am_R,3456.4532949949244
7Pl_R,3527.1082333974323
7PC_R,3634.0055373102427
LIPv_R,3598.675526930301
VIP_R,3574.5512775438087
MIP_R,3605.436767523047
1_R,3625.6371307901777
2_R,3628.3634430980637
3a_R,3334.1732627024558
6d_R,3522.9660720488555
6mp_R,3513.8455420803894
6v_R,3460.6294080598095
p24pr_R,3247.097636446885
33pr_R,3491.2988197225923
a24pr_R,3228.1988691117126
p32pr_R,3360.420222223127
a24_R,3319.262145615105
d32_R,3297.700734892129
8BM_R,3391.6586826144467
p32_R,3280.2022805755687
10r_R,3278.8617840448824
47m_R,3457.449889997712
8Av_R,3484.814625321781
8Ad_R,3420.020134512287
9m_R,3218.625881992898
8BL_R,3396.3065317290166
9p_R,3271.2033213618865
10d_R,3137.9603988686335
8C_R,3531.025472409215
44_R,3478.4353233349807
45_R,3374.3644739465853
47l_R,3344.2151528085565
a47r_R,3228.0875298979563
6r_R,3375.4107768416734
IFJa_R,3436.602859186817
IFJp_R,3477.3857641376003
IFSp_R,3319.9872905109987
IFSa_R,3194.7784358171507
p9-46v_R,3389.222362910466
46_R,3245.631763045228
