region,icvf
LIPd_L,0.26363347977191237
6a_L,0.26080048584958027
i6-8_L,0.2498824183426597
s6-8_L,0.2517766682928169
43_L,0.24516312834830548
OP4_L,0.24772883110187505
OP1_L,0.26713664882291394
OP2-3_L,0.2776475450384611
52_L,0.2555410004175956
RI_L,0.27341531672144403
PFcm_L,0.2552201341579019
PoI2_L,0.24387257374479743
TA2_L,0.24882330862698057
FOP4_L,0.24402343274793523
MI_L,0.22941017859531954
Pir_L,0.2785919147484406
AVI_L,0.2500538132911947
AAIC_L,0.24325251051118185
FOP1_L,0.24885073219070208
FOP3_L,0.24239649859607848
FOP2_L,0.2534357725269276
PFt_L,0.23343156405505344
AIP_L,0.25228040115420236
EC_L,0.32014816161235066
PreS_L,0.3351787585372998
H_L,0.268879804230605
ProS_L,0.2815065719730827
PeEc_L,0.29212706254830617
STGa_L,0.22720589588289314
PBelt_L,0.26108814079838116
A5_L,0.2484218528331914
PHA1_L,0.27279750505815037
PHA3_L,0.2684595476633385
STSda_L,0.24063741669202598
STSdp_L,0.2468265748807312
STSvp_L,0.22759725531561
TGd_L,0.2564747713149918
TE1a_L,0.2332714119774025
TE1p_L,0.23504792578896178
TE2a_L,0.2597826310930129
TF_L,0.2953852582629899
TE2p_L,0.2721319422049136
PHT_L,0.23423370476167618
PH_L,0.2466926507681105
TPOJ1_L,0.2486437603296194
TPOJ2_L,0.24167956890526635
TPOJ3_L,0.24544960562146445
DVT_L,0.25179206215123057
PGp_L,0.24329182697376456
IP2_L,0.23912697361121196
IP1_L,0.24448627652310825
IP0_L,0.23656864011524237
PFop_L,0.23214552048482184
PF_L,0.23794344763256456
PFm_L,0.23980829073112284
PGi_L,0.23714438560418696
PGs_L,0.24378913829898172
V6A_L,0.2591938670640706
VMV1_L,0.294338156645431
VMV3_L,0.27578047725273835
PHA2_L,0.2602348441007907
V4t_L,0.2619024031621435
FST_L,0.2437722204853787
V3CD_L,0.2526548129380534
LO3_L,0.24742014144789856
VMV2_L,0.27765466092817553
31pd_L,0.24656371714700867
31a_L,0.24231774168067832
VVC_L,0.28203718144832546
25_L,0.30520718334241503
s32_L,0.2825784233590026
pOFC_L,0.32617358778979744
PoI1_L,0.24209317984724213
Ig_L,0.2655519942357431
FOP5_L,0.2576778695843824
p10p_L,0.2177888464686751
p47r_L,0.21847245015106959
TGv_L,0.28820714862861063
MBelt_L,0.2935047782405132
LBelt_L,0.28535427262176283
A4_L,0.24966673848466842
STSva_L,0.22615986053437093
TE1m_L,0.23356441855296814
PI_L,0.24627382130158618
a32pr_L,0.22530675597087885
p24_L,0.2121977563378918
V1_R,0.2875319865666333
MST_R,0.2528791642663598
V6_R,0.26474355400410915
V2_R,0.28150198817096467
V3_R,0.2721071585589574
V4_R,0.2648721516957939
V8_R,0.26899137745193
4_R,0.3076232137925926
3b_R,0.29844858174151884
FEF_R,0.27034319155117603
PEF_R,0.25258004092420283
55b_R,0.25950802949375795
V3A_R,0.2650401931761927
RSC_R,0.3166858586258363
POS2_R,0.26386762645405865
V7_R,0.2595108070876771
IPS1_R,0.24849566596746633
FFC_R,0.26978727488814425
V3B_R,0.24593406225600722
LO1_R,0.24589152950948273
LO2_R,0.2574435838168411
