region,thick
IP2_R,2.539246942105263
IP1_R,2.501178702631579
IP0_R,2.531398689473684
PFop_R,2.8115295657894737
PF_R,2.763143752631579
PFm_R,2.703709865789474
PGi_R,2.7634064263157896
PGs_R,2.7578954763157895
V6A_R,2.3350042684210526
VMV1_R,2.6435060736842106
VMV3_R,2.6473670157894738
PHA2_R,2.4782943342105264
V4t_R,2.6437026552631577
FST_R,2.6602881789473685
V3CD_R,2.434478165789473
LO3_R,2.5867446973684207
VMV2_R,2.501906084210526
31pd_R,2.569965384210527
31a_R,2.788757734210526
VVC_R,2.9730842236842108
25_R,3.105948465789474
s32_R,2.9100065236842103
pOFC_R,2.8912807973684207
PoI1_R,3.0935792236842103
Ig_R,2.8558555236842094
FOP5_R,2.7462777526315785
p10p_R,2.4272914552631577
p47r_R,2.6272332894736845
TGv_R,3.2831591447368416
MBelt_R,2.6054367868421053
LBelt_R,2.6529022789473684
A4_R,3.0773851684210527
STSva_R,2.8622407368421054
TE1m_R,3.082883284210526
PI_R,2.615195942105263
a32pr_R,3.0269129684210525
p24_R,3.1277871815789475
