region,msd
STSva_L,0.00021500192815107367
TE1m_L,0.0002119930663855421
PI_L,0.00020521317916763157
a32pr_L,0.00019691689289954737
p24_L,0.00020236275355807367
V1_R,0.00020224750484750263
MST_R,0.00020109833619443948
V6_R,0.0002078276558832869
V2_R,0.00020087537954142367
V3_R,0.0001980791042533079
V4_R,0.00019623187714702103
V8_R,0.0001968454087506947
4_R,0.00019175866204796844
3b_R,0.00020752847268283947
FEF_R,0.0001984467833427132
PEF_R,0.00020315852643047104
55b_R,0.00019786762678817104
V3A_R,0.00019771746859303685
RSC_R,0.0002029250416475921
POS2_R,0.00019909040586848947
V7_R,0.00019302982527328946
IPS1_R,0.00019574440034038685
FFC_R,0.0001943741715115263
V3B_R,0.00020113919419468686
LO1_R,0.00020185766057601842
LO2_R,0.00019739571865295263
