region,odi
IFJa_L,0.3755904662093148
IFJp_L,0.35912978915532384
IFSp_L,0.38133291366343247
IFSa_L,0.3613075941308718
p9-46v_L,0.34752168395086724
46_L,0.34357409140927936
a9-46v_L,0.34189774327098293
9-46d_L,0.3475532092927959
9a_L,0.3367429258253231
10v_L,0.41610669244127785
a10p_L,0.37028743132653236
10pp_L,0.3834067228210576
11l_L,0.38333520065975296
13l_L,0.4314529126020222
OFC_L,0.48510030170026025
47s_L,0.35174738909004455
LIPd_L,0.3912079820672478
6a_L,0.38666433714305587
i6-8_L,0.3766765369288401
s6-8_L,0.359443348915944
43_L,0.33462532869916317
OP4_L,0.33203427183102135
OP1_L,0.3503043879259129
OP2-3_L,0.3604025856208003
52_L,0.3898429423605395
RI_L,0.39260392342690054
PFcm_L,0.3499244138854786
PoI2_L,0.3056776271749013
TA2_L,0.36443591244503876
FOP4_L,0.34251781526655434
MI_L,0.32055495883982876
Pir_L,0.2873589588176915
AVI_L,0.3398813195701885
AAIC_L,0.29219768847016026
FOP1_L,0.3279523001981448
FOP3_L,0.35022350694660165
FOP2_L,0.35715512484319445
PFt_L,0.36962755525072366
AIP_L,0.3820594120626046
EC_L,0.35792756025018874
PreS_L,0.3328295752656267
H_L,0.38264893321464494
ProS_L,0.35644695575067536
PeEc_L,0.39286380994064346
STGa_L,0.3253347306220124
PBelt_L,0.42509733731901717
A5_L,0.3452597590146813
PHA1_L,0.3518291523301065
PHA3_L,0.393777839410617
STSda_L,0.3607889439810958
STSdp_L,0.368268705243215
STSvp_L,0.3823380716634192
TGd_L,0.3569344698215257
TE1a_L,0.3595593624565315
TE1p_L,0.36165236488583924
TE2a_L,0.38362685223791143
TF_L,0.39790900132033885
TE2p_L,0.38303661792880367
PHT_L,0.3644132070957992
PH_L,0.3718753853431218
TPOJ1_L,0.3597627687576249
TPOJ2_L,0.3790900428564227
TPOJ3_L,0.3701284235860703
DVT_L,0.3824007703230033
PGp_L,0.35876743437354514
IP2_L,0.3888471495935381
IP1_L,0.38809376890829433
IP0_L,0.3827913656490809
PFop_L,0.33822300333018857
PF_L,0.3406724907690412
PFm_L,0.3620871857550435
PGi_L,0.36048438552377726
PGs_L,0.36604918525984953
V6A_L,0.38359999760968877
VMV1_L,0.38764888514621754
VMV3_L,0.3866856239241454
PHA2_L,0.38163532079709134
V4t_L,0.38567666471208273
FST_L,0.37764709790755285
V3CD_L,0.36974162325999915
LO3_L,0.37762820044597606
VMV2_L,0.3855381802227087
31pd_L,0.37703919383002815
31a_L,0.36746159658521693
VVC_L,0.3771843890718526
25_L,0.40765686792769074
s32_L,0.4034657671267428
pOFC_L,0.4141521251629868
PoI1_L,0.3332256314038126
Ig_L,0.3637513203394619
FOP5_L,0.35962566805249924
p10p_L,0.3545808251662172
p47r_L,0.3526005407380694
TGv_L,0.3865364782081948
MBelt_L,0.4093130494247093
LBelt_L,0.42574633178581267
A4_L,0.3849916599127986
STSva_L,0.39101112537521754
TE1m_L,0.3640464866404742
PI_L,0.3824968218983013
a32pr_L,0.35258831731658996
p24_L,0.3295482600022374
V1_R,0.4039794576426803
MST_R,0.3886172803039141
V6_R,0.4000154685540751
V2_R,0.39697962777239737
V3_R,0.392586699070595
V4_R,0.3857652347589709
V8_R,0.3708979620051433
4_R,0.380566183882802
3b_R,0.42814656196532097
FEF_R,0.3866391783759048
PEF_R,0.3720006728796758
55b_R,0.37154149038328443
V3A_R,0.38329505793293006
RSC_R,0.3508679071003266
POS2_R,0.38374149064718244
V7_R,0.38400434435332237
IPS1_R,0.3940497042066898
FFC_R,0.3814270296276393
V3B_R,0.38639622079197045
