region,mkt
3b_R,0.6720777026044272
FEF_R,0.6290832273874534
PEF_R,0.6118021905457108
55b_R,0.6084672231658225
V3A_R,0.601596901192478
RSC_R,0.751169843569222
POS2_R,0.6095258585319561
V7_R,0.5942629559577874
IPS1_R,0.5763872126682007
FFC_R,0.6497138301359368
V3B_R,0.5802198432188058
LO1_R,0.576353455635129
LO2_R,0.5966411097518393
PIT_R,0.6074574747231278
MT_R,0.5939755277960034
A1_R,0.7207905176551301
PSL_R,0.5456646556496415
SFL_R,0.6116408670510435
PCV_R,0.5937561598755515
STV_R,0.5545123988045697
7Pm_R,0.5745893485708602
7m_R,0.606796604359761
POS1_R,0.658367663457401
23d_R,0.6547471208790803
v23ab_R,0.6613888866181357
d23ab_R,0.6506848634563133
31pv_R,0.6146772247483581
